Rank,Team,Years,PTS,win_rate,G,GA,xG,xGA,Value totale,Value attaque,Value défense,coef défense,coef attaque
6,Hoffenheim,2019,52,0.441,53,53,56.66,58.75,226,85.8,38.0,1.0080923076923076,0.96898
11,Hoffenheim,2020,43,0.324,52,54,50.32,52.88,228,74.0,36.375,1.019122307692308,1.032165
9,Eintracht Frankfurt,2014,43,0.324,56,62,47.37,55.04,74,16.1,15.938,0.9880978947368423,1.00562375
16,Eintracht Frankfurt,2015,36,0.265,34,52,32.95,54.31,76,17.3,16.688,1.002705,0.964
11,Eintracht Frankfurt,2016,42,0.324,36,43,43.59,38.33,72,14.3,18.938,1.0044205555555556,0.9883844444444444
8,Eintracht Frankfurt,2017,49,0.412,45,45,41.06,40.91,126,37.4,24.875,1.0143883333333334,1.01387375
7,Eintracht Frankfurt,2018,54,0.441,60,48,61.84,51.02,313,123.7,62.812,1.0115492857142858,0.9974341176470588
9,Eintracht Frankfurt,2019,45,0.382,59,60,58.33,50.93,208,57.2,43.0,1.0125694444444444,0.9915991666666666
5,Eintracht Frankfurt,2020,60,0.471,69,53,60.53,47.73,269,72.9,54.188,1.03544125,0.9525199999999998
10,Werder Bremen,2014,43,0.324,50,65,42.67,52.38,67,21.1,13.562,0.9996336842105266,0.9629540000000001
13,Werder Bremen,2015,38,0.294,50,65,50.12,51.8,64,13.3,16.812,0.9831547368421054,0.9642625
8,Werder Bremen,2016,45,0.382,61,64,42.99,60.55,89,33.9,13.938,0.9716768421052631,0.9627845454545454
11,Werder Bremen,2017,42,0.294,37,40,38.51,43.47,107,31.4,19.625,1.011251333333333,0.9906919999999999
8,Werder Bremen,2018,53,0.412,58,49,49.36,56.71,168,52.8,24.375,1.0162366666666667,1.014570909090909
16,Werder Bremen,2019,31,0.235,42,69,37.74,56.94,135,49.1,24.312,0.9744333333333332,0.986988
17,Werder Bremen,2020,31,0.206,36,57,32.51,53.7,111,31.3,20.938,0.9730317647058824,0.989024
11,Mainz 05,2014,40,0.265,45,47,43.91,48.11,88,24.8,15.375,1.0132810526315787,1.0329
6,Mainz 05,2015,50,0.412,46,42,47.91,47.27,85,22.9,16.562,1.006935333333333,1.0172890909090908
15,Mainz 05,2016,37,0.294,44,55,42.36,43.23,96,34.3,16.062,1.0311933333333332,0.9923325000000002
