Position,Valeur maximum,Years,Crew
Milieu,40.0,2017,bayer-04-leverkusen
Attaquant,45.0,2017,bayer-04-leverkusen
Total,45.0,2017,bayer-04-leverkusen
Gardien,8.0,2018,bayer-04-leverkusen
Défense,40.0,2018,bayer-04-leverkusen
Milieu,90.0,2018,bayer-04-leverkusen
Attaquant,40.0,2018,bayer-04-leverkusen
Total,90.0,2018,bayer-04-leverkusen
Gardien,8.0,2019,bayer-04-leverkusen
Défense,29.5,2019,bayer-04-leverkusen
Milieu,81.0,2019,bayer-04-leverkusen
Attaquant,29.5,2019,bayer-04-leverkusen
Total,81.0,2019,bayer-04-leverkusen
Gardien,6.0,2020,bayer-04-leverkusen
Défense,40.0,2020,bayer-04-leverkusen
Milieu,45.0,2020,bayer-04-leverkusen
Attaquant,38.0,2020,bayer-04-leverkusen
Total,45.0,2020,bayer-04-leverkusen
Gardien,2.5,2014,fc-augsburg
Défense,5.0,2014,fc-augsburg
Milieu,4.0,2014,fc-augsburg
Attaquant,3.5,2014,fc-augsburg
Total,5.0,2014,fc-augsburg
Gardien,4.5,2015,fc-augsburg
Défense,13.0,2015,fc-augsburg
Milieu,4.5,2015,fc-augsburg
Attaquant,5.5,2015,fc-augsburg
Total,13.0,2015,fc-augsburg
Gardien,4.0,2016,fc-augsburg
Défense,8.0,2016,fc-augsburg
Milieu,4.5,2016,fc-augsburg
Attaquant,4.5,2016,fc-augsburg
Total,8.0,2016,fc-augsburg
Gardien,4.0,2017,fc-augsburg
Défense,15.0,2017,fc-augsburg
Milieu,3.5,2017,fc-augsburg
Attaquant,10.0,2017,fc-augsburg
Total,15.0,2017,fc-augsburg
Gardien,6.0,2018,fc-augsburg
Défense,17.0,2018,fc-augsburg
Milieu,10.0,2018,fc-augsburg
Attaquant,15.0,2018,fc-augsburg
Total,17.0,2018,fc-augsburg
Gardien,3.5,2019,fc-augsburg
Défense,13.5,2019,fc-augsburg
Milieu,8.0,2019,fc-augsburg
Attaquant,9.0,2019,fc-augsburg
Total,13.5,2019,fc-augsburg
Gardien,1.5,2020,fc-augsburg
Défense,16.0,2020,fc-augsburg
Milieu,5.0,2020,fc-augsburg
Attaquant,13.0,2020,fc-augsburg
Total,16.0,2020,fc-augsburg
Gardien,6.0,2014,fc-schalke-04
Défense,18.0,2014,fc-schalke-04
Milieu,15.0,2014,fc-schalke-04
Attaquant,25.0,2014,fc-schalke-04
Total,25.0,2014,fc-schalke-04
Gardien,9.0,2015,fc-schalke-04
Défense,18.0,2015,fc-schalke-04
Milieu,16.0,2015,fc-schalke-04
Attaquant,24.0,2015,fc-schalke-04
Total,24.0,2015,fc-schalke-04
Gardien,9.0,2016,fc-schalke-04
Défense,18.0,2016,fc-schalke-04
Milieu,23.0,2016,fc-schalke-04
Attaquant,20.0,2016,fc-schalke-04
Total,23.0,2016,fc-schalke-04
Gardien,13.0,2017,fc-schalke-04
Défense,18.0,2017,fc-schalke-04
Milieu,40.0,2017,fc-schalke-04
Attaquant,18.0,2017,fc-schalke-04
Total,40.0,2017,fc-schalke-04
Gardien,12.0,2018,fc-schalke-04
Défense,18.0,2018,fc-schalke-04
Milieu,20.0,2018,fc-schalke-04
Attaquant,14.0,2018,fc-schalke-04
Total,20.0,2018,fc-schalke-04
Gardien,9.5,2019,fc-schalke-04
Défense,29.0,2019,fc-schalke-04
Milieu,24.0,2019,fc-schalke-04
Attaquant,8.0,2019,fc-schalke-04
Total,29.0,2019,fc-schalke-04
Gardien,2.5,2020,fc-schalke-04
Défense,25.0,2020,fc-schalke-04
Milieu,10.0,2020,fc-schalke-04
Attaquant,5.0,2020,fc-schalke-04
Total,25.0,2020,fc-schalke-04
Gardien,3.0,2014,borussia-dortmund
Défense,35.0,2014,borussia-dortmund
Milieu,50.0,2014,borussia-dortmund
Attaquant,19.0,2014,borussia-dortmund
Total,50.0,2014,borussia-dortmund
Gardien,6.0,2015,borussia-dortmund
Défense,38.0,2015,borussia-dortmund
Milieu,45.0,2015,borussia-dortmund
Attaquant,45.0,2015,borussia-dortmund
Total,45.0,2015,borussia-dortmund
Gardien,9.0,2016,borussia-dortmund
Défense,28.0,2016,borussia-dortmund
Milieu,35.0,2016,borussia-dortmund
Attaquant,65.0,2016,borussia-dortmund
Total,65.0,2016,borussia-dortmund
Gardien,7.0,2017,borussia-dortmund
Défense,22.0,2017,borussia-dortmund
Milieu,35.0,2017,borussia-dortmund
Attaquant,80.0,2017,borussia-dortmund
Total,80.0,2017,borussia-dortmund
Gardien,14.0,2018,borussia-dortmund
Défense,40.0,2018,borussia-dortmund
Milieu,50.0,2018,borussia-dortmund
Attaquant,100.0,2018,borussia-dortmund
Total,100.0,2018,borussia-dortmund
Gardien,11.0,2019,borussia-dortmund
Défense,54.0,2019,borussia-dortmund
Milieu,40.0,2019,borussia-dortmund
Attaquant,117.0,2019,borussia-dortmund
Total,117.0,2019,borussia-dortmund
Gardien,4.0,2020,borussia-dortmund
Défense,40.0,2020,borussia-dortmund
Milieu,55.0,2020,borussia-dortmund
Attaquant,130.0,2020,borussia-dortmund
Total,130.0,2020,borussia-dortmund
Gardien,8.0,2014,tsg-1899-hoffenheim
Défense,5.5,2014,tsg-1899-hoffenheim
Milieu,5.5,2014,tsg-1899-hoffenheim
Attaquant,25.0,2014,tsg-1899-hoffenheim
Total,25.0,2014,tsg-1899-hoffenheim
Gardien,5.5,2015,tsg-1899-hoffenheim
Défense,10.0,2015,tsg-1899-hoffenheim
Milieu,4.0,2015,tsg-1899-hoffenheim
Attaquant,17.0,2015,tsg-1899-hoffenheim
Total,17.0,2015,tsg-1899-hoffenheim
Gardien,7.0,2016,tsg-1899-hoffenheim
Défense,25.0,2016,tsg-1899-hoffenheim
Milieu,10.0,2016,tsg-1899-hoffenheim
Attaquant,15.0,2016,tsg-1899-hoffenheim
Total,25.0,2016,tsg-1899-hoffenheim
Gardien,10.0,2017,tsg-1899-hoffenheim
Défense,12.0,2017,tsg-1899-hoffenheim
Milieu,17.0,2017,tsg-1899-hoffenheim
Attaquant,27.0,2017,tsg-1899-hoffenheim
Total,27.0,2017,tsg-1899-hoffenheim
Gardien,8.0,2018,tsg-1899-hoffenheim
Défense,25.0,2018,tsg-1899-hoffenheim
Milieu,32.0,2018,tsg-1899-hoffenheim
Attaquant,38.0,2018,tsg-1899-hoffenheim
Total,38.0,2018,tsg-1899-hoffenheim
Gardien,5.5,2019,tsg-1899-hoffenheim
Défense,13.5,2019,tsg-1899-hoffenheim
Milieu,20.0,2019,tsg-1899-hoffenheim
Attaquant,30.5,2019,tsg-1899-hoffenheim
Total,30.5,2019,tsg-1899-hoffenheim
Gardien,5.0,2020,tsg-1899-hoffenheim
Défense,13.0,2020,tsg-1899-hoffenheim
Milieu,22.0,2020,tsg-1899-hoffenheim
Attaquant,28.0,2020,tsg-1899-hoffenheim
Total,28.0,2020,tsg-1899-hoffenheim
Gardien,8.0,2014,eintracht-frankfurt
Défense,8.0,2014,eintracht-frankfurt
Milieu,5.0,2014,eintracht-frankfurt
Attaquant,6.0,2014,eintracht-frankfurt
Total,8.0,2014,eintracht-frankfurt
Gardien,3.5,2015,eintracht-frankfurt
Défense,6.5,2015,eintracht-frankfurt
Milieu,8.0,2015,eintracht-frankfurt
Attaquant,5.5,2015,eintracht-frankfurt
Total,8.0,2015,eintracht-frankfurt
Gardien,4.5,2016,eintracht-frankfurt
Défense,8.0,2016,eintracht-frankfurt
Milieu,7.0,2016,eintracht-frankfurt
Attaquant,3.0,2016,eintracht-frankfurt
Total,8.0,2016,eintracht-frankfurt
Gardien,10.0,2017,eintracht-frankfurt
Défense,7.0,2017,eintracht-frankfurt
Milieu,8.0,2017,eintracht-frankfurt
Attaquant,12.0,2017,eintracht-frankfurt
Total,12.0,2017,eintracht-frankfurt
Gardien,10.0,2018,eintracht-frankfurt
Défense,25.0,2018,eintracht-frankfurt
Milieu,11.0,2018,eintracht-frankfurt
Attaquant,60.0,2018,eintracht-frankfurt
Total,60.0,2018,eintracht-frankfurt
Gardien,8.0,2019,eintracht-frankfurt
Défense,22.5,2019,eintracht-frankfurt
Milieu,9.5,2019,eintracht-frankfurt
Attaquant,24.0,2019,eintracht-frankfurt
Total,32.0,2019,eintracht-frankfurt
Gardien,6.5,2020,eintracht-frankfurt
Défense,28.0,2020,eintracht-frankfurt
Milieu,25.0,2020,eintracht-frankfurt
Attaquant,45.0,2020,eintracht-frankfurt
Total,45.0,2020,eintracht-frankfurt
Gardien,2.0,2014,sv-werder-bremen
Défense,3.5,2014,sv-werder-bremen
Milieu,7.0,2014,sv-werder-bremen
Attaquant,7.5,2014,sv-werder-bremen
Total,7.5,2014,sv-werder-bremen
Gardien,2.5,2015,sv-werder-bremen
Défense,7.0,2015,sv-werder-bremen
Milieu,7.0,2015,sv-werder-bremen
Attaquant,5.5,2015,sv-werder-bremen
Total,7.0,2015,sv-werder-bremen
Gardien,2.0,2016,sv-werder-bremen
Défense,3.5,2016,sv-werder-bremen
Milieu,6.5,2016,sv-werder-bremen
Attaquant,15.0,2016,sv-werder-bremen
Total,15.0,2016,sv-werder-bremen
Gardien,10.0,2017,sv-werder-bremen
Défense,7.5,2017,sv-werder-bremen
Milieu,12.0,2017,sv-werder-bremen
Attaquant,7.0,2017,sv-werder-bremen
Total,12.0,2017,sv-werder-bremen
Gardien,12.0,2018,sv-werder-bremen
Défense,12.0,2018,sv-werder-bremen
Milieu,30.0,2018,sv-werder-bremen
Attaquant,20.0,2018,sv-werder-bremen
Total,30.0,2018,sv-werder-bremen
Gardien,6.5,2019,sv-werder-bremen
Défense,9.5,2019,sv-werder-bremen
Milieu,13.0,2019,sv-werder-bremen
Attaquant,28.0,2019,sv-werder-bremen
Total,28.0,2019,sv-werder-bremen
Gardien,5.5,2020,sv-werder-bremen
Défense,10.0,2020,sv-werder-bremen
Milieu,17.0,2020,sv-werder-bremen
Attaquant,9.0,2020,sv-werder-bremen
Total,17.0,2020,sv-werder-bremen
Gardien,5.0,2014,1-fsv-mainz-05
Défense,4.0,2014,1-fsv-mainz-05
Milieu,9.0,2014,1-fsv-mainz-05
Attaquant,8.0,2014,1-fsv-mainz-05
Total,9.0,2014,1-fsv-mainz-05
Gardien,7.0,2015,1-fsv-mainz-05
Défense,5.0,2015,1-fsv-mainz-05
Milieu,10.0,2015,1-fsv-mainz-05
Attaquant,5.5,2015,1-fsv-mainz-05
Total,10.0,2015,1-fsv-mainz-05
Gardien,1.5,2016,1-fsv-mainz-05
Défense,6.0,2016,1-fsv-mainz-05
Milieu,10.0,2016,1-fsv-mainz-05
Attaquant,7.0,2016,1-fsv-mainz-05
Total,10.0,2016,1-fsv-mainz-05
Gardien,1.0,2017,1-fsv-mainz-05
Défense,12.0,2017,1-fsv-mainz-05
Milieu,15.0,2017,1-fsv-mainz-05
Attaquant,6.0,2017,1-fsv-mainz-05
Total,15.0,2017,1-fsv-mainz-05
Gardien,10.0,2018,1-fsv-mainz-05
Défense,20.0,2018,1-fsv-mainz-05
Milieu,28.0,2018,1-fsv-mainz-05
Attaquant,22.0,2018,1-fsv-mainz-05
Total,28.0,2018,1-fsv-mainz-05
Gardien,3.2,2019,1-fsv-mainz-05
Défense,11.0,2019,1-fsv-mainz-05
Milieu,8.0,2019,1-fsv-mainz-05
Attaquant,17.5,2019,1-fsv-mainz-05
Total,17.5,2019,1-fsv-mainz-05
Gardien,8.0,2020,1-fsv-mainz-05
Défense,25.0,2020,1-fsv-mainz-05
Milieu,11.0,2020,1-fsv-mainz-05
Attaquant,13.0,2020,1-fsv-mainz-05
Total,25.0,2020,1-fsv-mainz-05
Gardien,5.0,2014,1-fc-koln
Défense,6.0,2014,1-fc-koln
Milieu,3.5,2014,1-fc-koln
Attaquant,3.0,2014,1-fc-koln
Total,6.0,2014,1-fc-koln
Gardien,8.0,2015,1-fc-koln
Défense,4.0,2015,1-fc-koln
Milieu,11.0,2015,1-fc-koln
Attaquant,6.0,2015,1-fc-koln
Total,11.0,2015,1-fc-koln
Gardien,12.0,2016,1-fc-koln
