id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
301,Zlatko Junuzovic,33,2901,6,3.8483,12,8.3321,61,77,6,0,M S,Werder Bremen,6,3.8483,9.288,5.7603,2014
308,Ricardo Rodríguez,26,2295,6,3.2846,4,4.2287,33,54,2,0,D,Wolfsburg,3,1.0112,9.9361,7.2589,2014
60,Christian Gentner,33,2941,5,4.5586,3,5.2775,44,40,6,0,M,VfB Stuttgart,5,4.5586,12.7425,6.9604,2014
86,Eugen Polanski,30,2546,5,2.7585,0,1.0933,38,15,7,0,M S,Hoffenheim,3,1.2429,8.7139,7.0906,2014
132,Matthias Lehmann,32,2848,5,3.8546,1,1.4761,25,29,9,0,M,FC Cologne,1,0.8235,6.3836,5.5463,2014
134,Marcel Risse,29,2266,5,2.7119,3,3.9181,60,31,3,0,M S,FC Cologne,5,2.7119,8.114,2.234,2014
271,Ja-Cheol Koo,23,1489,5,5.8147,1,1.2292,34,14,3,0,M S,Mainz 05,2,3.5413,7.1383,3.5569,2014
321,Shinji Kagawa,28,1883,5,5.0519,5,3.9177,38,49,2,0,M S,Borussia Dortmund,5,5.0519,14.9113,7.4531,2014
329,Franck Ribéry,15,958,5,2.0827,7,3.764,22,29,2,0,F M S,Bayern Munich,5,2.0827,8.992,5.3842,2014
338,Max Meyer,28,1861,5,2.8387,1,2.2113,32,30,0,0,M S,Schalke 04,5,2.8387,6.8318,2.4116,2014
396,Hiroshi Kiyotake,32,2541,5,2.6976,5,5.5801,33,69,2,0,M S,Hannover 96,5,2.6976,10.7564,6.3213,2014
448,Ivan Perisic,24,1739,5,6.0883,4,4.9264,43,26,4,0,M S,Wolfsburg,5,5.3305,10.7234,4.8905,2014
907,Bastian Schweinsteiger,20,1361,5,2.1745,4,2.2191,29,31,4,0,M S,Bayern Munich,5,2.1745,7.0168,4.2644,2014
36,Roy Beerens,27,2078,4,2.6981,1,1.6396,27,21,2,0,M S,Hertha Berlin,4,2.6981,5.4204,1.8613,2014
62,Lukas Rupp,31,2010,4,2.5874,1,2.2077,32,30,3,0,F M S,Paderborn,4,2.5874,6.8884,2.8806,2014
78,Tarik Elyounoussi,25,1490,4,4.8189,1,1.7612,25,23,1,0,M S,Hoffenheim,4,4.8189,7.9246,1.9783,2014
81,Jonathan Schmid,33,2826,4,5.1484,8,6.2213,60,64,2,0,F M S,Freiburg,4,5.1484,9.1495,3.1017,2014
90,Sebastian Rudy,29,2246,4,2.971,3,3.3963,23,45,9,0,D M S,Hoffenheim,4,2.2132,6.7263,4.6628,2014
115,Fin Bartels,29,2420,4,3.9004,4,4.0143,46,30,5,0,F M S,Werder Bremen,4,3.9004,9.6861,2.9661,2014
153,Maximilian Arnold,27,1668,4,3.5824,2,2.1666,34,24,8,0,M S,Wolfsburg,4,3.5824,8.828,4.0465,2014
173,Pierre-Michel Lasogga,26,1862,4,5.359,0,2.131,66,14,2,0,F S,Hamburger SV,4,5.359,7.9765,1.3819,2014
194,Admir Mehmedi,28,2254,4,5.1448,1,1.5701,51,29,3,0,F M S,Freiburg,4,4.387,8.2665,4.1621,2014
261,Julian Brandt,25,1095,4,2.0156,2,2.4578,20,25,0,0,M S,Bayer Leverkusen,4,2.0156,7.0281,3.959,2014
300,Daniel Didavi,11,742,4,2.7108,0,0.6329,32,11,3,0,F M S,VfB Stuttgart,4,2.7108,3.0398,1.2883,2014
