Positions,Âge,Valeur marchande (millions),Valeur marchande moyenne (millions),Years,Crew
Défense,"23,73",25.25,2.3,2014,vfb stuttgart
Milieu de terrain,"23,20",31.05,3.11,2014,vfb stuttgart
Attaquant,"24,33",24.7,4.12,2014,vfb stuttgart
Total,"23,70",86.95,2.9,2014,vfb stuttgart
Gardien,"24,00",5.2,1.3,2015,vfb stuttgart
Défense,"24,67",21.23,1.77,2015,vfb stuttgart
Milieu de terrain,"22,91",33.85,3.08,2015,vfb stuttgart
Attaquant,"23,57",20.9,2.99,2015,vfb stuttgart
Total,"23,79",81.18,2.39,2015,vfb stuttgart
Gardien,"25,33",2.0,0.667,2016,vfb stuttgart
Défense,"24,00",19.05,1.73,2016,vfb stuttgart
Milieu de terrain,"22,20",11.8,1.18,2016,vfb stuttgart
Attaquant,"23,50",18.05,2.26,2016,vfb stuttgart
Total,"23,44",50.9,1.59,2016,vfb stuttgart
Gardien,"27,50",8.65,2.16,2017,vfb stuttgart
Défense,"25,00",60.0,7.5,2017,vfb stuttgart
Milieu de terrain,"22,00",34.78,2.9,2017,vfb stuttgart
Attaquant,"23,50",31.28,3.13,2017,vfb stuttgart
Total,"23,79",134.7,3.96,2017,vfb stuttgart
Gardien,"28,33",5.05,1.68,2018,vfb stuttgart
Défense,"23,33",79.0,6.58,2018,vfb stuttgart
Milieu de terrain,"23,69",43.9,3.38,2018,vfb stuttgart
Attaquant,"23,50",15.8,2.63,2018,vfb stuttgart
Total,"23,94",143.75,4.23,2018,vfb stuttgart
Gardien,"25,00",4.65,1.55,2019,vfb stuttgart
Défense,"23,45",16.0,1.45,2019,vfb stuttgart
Milieu de terrain,"22,23",36.25,2.79,2019,vfb stuttgart
Attaquant,"23,00",13.8,1.97,2019,vfb stuttgart
Total,"23,03",70.7,2.08,2019,vfb stuttgart
Gardien,"26,00",13.7,4.57,2020,vfb stuttgart
Défense,"23,25",44.6,5.58,2020,vfb stuttgart
Milieu de terrain,"23,00",78.95,5.64,2020,vfb stuttgart
Attaquant,"20,57",52.0,7.43,2020,vfb stuttgart
Total,"22,81",189.25,5.91,2020,vfb stuttgart
Gardien,"24,25",4.05,1.01,2014,hertha bsc
Défense,"24,11",23.5,2.61,2014,hertha bsc
Milieu de terrain,"26,00",25.1,2.09,2014,hertha bsc
Attaquant,"26,60",13.35,2.67,2014,hertha bsc
Total,"25,30",66.0,2.2,2014,hertha bsc
Gardien,"23,80",4.05,0.81,2015,hertha bsc
Défense,"22,46",34.23,2.63,2015,hertha bsc
Milieu de terrain,"25,50",27.4,2.74,2015,hertha bsc
Attaquant,"26,50",13.25,2.21,2015,hertha bsc
Total,"24,26",78.93,2.32,2015,hertha bsc
Gardien,"25,67",3.65,1.22,2016,hertha bsc
Défense,"22,91",51.63,4.69,2016,hertha bsc
Milieu de terrain,"23,50",29.05,2.42,2016,hertha bsc
Attaquant,"25,71",12.2,1.74,2016,hertha bsc
Total,"23,97",96.53,2.93,2016,hertha bsc
Gardien,"24,50",3.68,0.919,2017,hertha bsc
Défense,"23,70",65.15,6.52,2017,hertha bsc
Milieu de terrain,"22,70",37.4,3.74,2017,hertha bsc
Attaquant,"25,50",25.23,3.15,2017,hertha bsc
Total,"23,94",131.45,4.11,2017,hertha bsc
Gardien,"25,00",3.45,0.69,2018,hertha bsc
Défense,"23,70",75.7,7.57,2018,hertha bsc
Milieu de terrain,"22,20",85.2,8.52,2018,hertha bsc
Attaquant,"23,64",43.28,3.93,2018,hertha bsc
Total,"23,44",207.63,5.77,2018,hertha bsc
Gardien,"25,75",1.88,0.469,2019,hertha bsc
Défense,"22,58",61.7,5.14,2019,hertha bsc
Milieu de terrain,"22,45",61.35,5.58,2019,hertha bsc
Attaquant,"23,73",92.33,6.16,2019,hertha bsc
Total,"23,26",217.25,5.17,2019,hertha bsc
Gardien,"26,25",5.98,1.49,2020,hertha bsc
Défense,"24,08",63.3,5.28,2020,hertha bsc
Milieu de terrain,"22,91",66.85,6.08,2020,hertha bsc
Attaquant,"22,18",92.75,8.43,2020,hertha bsc
Total,"23,42",228.88,6.02,2020,hertha bsc
Gardien,"27,00",3.35,1.12,2014,hamburger sv
Défense,"23,80",24.05,2.41,2014,hamburger sv
Milieu de terrain,"24,27",39.45,2.63,2014,hamburger sv
Attaquant,"23,80",20.3,2.03,2014,hamburger sv
Total,"24,24",87.15,2.29,2014,hamburger sv
Gardien,"27,20",3.85,0.77,2015,hamburger sv
Défense,"25,13",14.35,1.79,2015,hamburger sv
Milieu de terrain,"24,44",22.95,2.55,2015,hamburger sv
Attaquant,"23,85",22.05,1.7,2015,hamburger sv
Total,"24,77",63.2,1.81,2015,hamburger sv
Gardien,"26,25",3.9,0.975,2016,hamburger sv
Défense,"25,25",27.23,2.27,2016,hamburger sv
Milieu de terrain,"22,64",34.9,3.17,2016,hamburger sv
Attaquant,"21,64",14.45,1.31,2016,hamburger sv
Total,"23,55",80.48,2.12,2016,hamburger sv
Gardien,"24,75",3.85,0.963,2017,hamburger sv
Défense,"23,00",20.25,1.84,2017,hamburger sv
Milieu de terrain,"25,40",21.6,2.16,2017,hamburger sv
Attaquant,"21,44",16.7,1.86,2017,hamburger sv
Total,"23,50",62.4,1.84,2017,hamburger sv
Gardien,"24,33",3.4,1.13,2018,hamburger sv
Défense,"21,46",27.6,2.12,2018,hamburger sv
Milieu de terrain,"23,73",39.85,3.62,2018,hamburger sv
Attaquant,"21,17",16.0,1.33,2018,hamburger sv
Total,"22,23",86.85,2.23,2018,hamburger sv
Gardien,"26,67",1.78,0.592,2019,hamburger sv
Défense,"22,69",21.18,1.63,2019,hamburger sv
Milieu de terrain,"24,33",17.68,1.96,2019,hamburger sv
Attaquant,"24,25",9.2,1.15,2019,hamburger sv
Total,"23,88",49.83,1.51,2019,hamburger sv
Gardien,"26,75",1.7,0.425,2020,hamburger sv
Défense,"23,09",16.5,1.5,2020,hamburger sv
Milieu de terrain,"25,43",10.1,1.44,2020,hamburger sv
Attaquant,"23,33",7.3,0.811,2020,hamburger sv
Total,"24,16",35.6,1.15,2020,hamburger sv
Gardien,"23,33",5.5,1.83,2014,sc freiburg
Défense,"25,27",22.4,2.04,2014,sc freiburg
Milieu de terrain,"23,14",14.85,2.12,2014,sc freiburg
Attaquant,"23,78",14.65,1.63,2014,sc freiburg
Total,"24,13",57.4,1.91,2014,sc freiburg
Gardien,"24,67",1.5,0.5,2015,sc freiburg
Défense,"22,27",10.43,0.948,2015,sc freiburg
Milieu de terrain,"23,63",7.73,0.966,2015,sc freiburg
Attaquant,"22,25",13.15,1.1,2015,sc freiburg
Total,"22,79",32.8,0.965,2015,sc freiburg
Gardien,"28,00",4.95,1.65,2016,sc freiburg
Défense,"23,27",24.95,2.27,2016,sc freiburg
Milieu de terrain,"23,92",19.2,1.6,2016,sc freiburg
Attaquant,"23,80",37.63,3.76,2016,sc freiburg
Total,"24,03",86.73,2.41,2016,sc freiburg
Gardien,"29,00",6.6,2.2,2017,sc freiburg
Défense,"23,00",47.4,3.65,2017,sc freiburg
Milieu de terrain,"24,75",20.9,1.74,2017,sc freiburg
Attaquant,"24,75",25.7,3.21,2017,sc freiburg
Total,"24,47",100.6,2.79,2017,sc freiburg
Gardien,"23,67",9.8,3.27,2018,sc freiburg
Défense,"22,45",43.25,3.93,2018,sc freiburg
Milieu de terrain,"26,38",23.9,2.99,2018,sc freiburg
Attaquant,"24,00",45.15,3.76,2018,sc freiburg
Total,"24,03",122.1,3.59,2018,sc freiburg
Gardien,"24,33",8.15,2.72,2019,sc freiburg
Défense,"24,11",55.2,6.13,2019,sc freiburg
Milieu de terrain,"26,43",15.33,2.19,2019,sc freiburg
Attaquant,"24,36",43.98,4.0,2019,sc freiburg
Total,"24,77",122.65,4.09,2019,sc freiburg
Gardien,"24,00",11.2,2.8,2020,sc freiburg
Défense,"24,89",47.1,5.23,2020,sc freiburg
Milieu de terrain,"24,38",31.0,3.88,2020,sc freiburg
Attaquant,"23,56",49.6,5.51,2020,sc freiburg
Total,"24,23",138.9,4.63,2020,sc freiburg
Gardien,"24,25",1.5,0.375,2014,sc paderborn 07
Défense,"25,80",8.65,0.865,2014,sc paderborn 07
Milieu de terrain,"23,60",7.1,1.42,2014,sc paderborn 07
Attaquant,"25,67",11.25,1.25,2014,sc paderborn 07
Total,"25,14",28.5,1.02,2014,sc paderborn 07
Gardien,"22,00",1.2,0.3,2015,sc paderborn 07
Défense,"25,75",6.6,0.55,2015,sc paderborn 07
Milieu de terrain,"24,50",4.25,0.531,2015,sc paderborn 07
Attaquant,"26,60",5.9,0.59,2015,sc paderborn 07
Total,"25,26",17.95,0.528,2015,sc paderborn 07
Gardien,"26,60",0.425,0.085,2016,sc paderborn 07
Défense,"23,70",1.58,0.158,2016,sc paderborn 07
Milieu de terrain,"23,18",1.95,0.177,2016,sc paderborn 07
Attaquant,"24,63",1.6,0.2,2016,sc paderborn 07
Total,"24,18",5.55,0.163,2016,sc paderborn 07
Gardien,"26,33",0.5,0.167,2017,sc paderborn 07
Défense,"23,78",2.48,0.275,2017,sc paderborn 07
Milieu de terrain,"22,50",2.5,0.208,2017,sc paderborn 07
Attaquant,"22,92",3.83,0.319,2017,sc paderborn 07
Total,"23,28",9.3,0.258,2017,sc paderborn 07
Gardien,"26,67",1.2,0.4,2018,sc paderborn 07
Défense,"23,70",6.8,0.68,2018,sc paderborn 07
Milieu de terrain,"24,00",8.4,1.05,2018,sc paderborn 07
Attaquant,"22,43",9.35,0.668,2018,sc paderborn 07
Total,"23,51",25.75,0.736,2018,sc paderborn 07
Gardien,"27,00",2.0,0.5,2019,sc paderborn 07
Défense,"24,88",8.4,1.05,2019,sc paderborn 07
Milieu de terrain,"22,20",8.85,0.885,2019,sc paderborn 07
Attaquant,"25,00",9.65,0.965,2019,sc paderborn 07
Total,"24,34",28.9,0.903,2019,sc paderborn 07
Gardien,"22,75",1.1,0.275,2020,sc paderborn 07
Défense,"25,70",6.05,0.605,2020,sc paderborn 07
Milieu de terrain,"23,40",6.38,0.638,2020,sc paderborn 07
Attaquant,"24,27",9.15,0.832,2020,sc paderborn 07
Total,"24,26",22.68,0.648,2020,sc paderborn 07
Gardien,"24,33",1.2,0.4,2014, ingolstadt 04
Défense,"25,18",6.23,0.566,2014, ingolstadt 04
Milieu de terrain,"22,57",5.5,0.786,2014, ingolstadt 04
Attaquant,"24,22",6.3,0.7,2014, ingolstadt 04
Total,"24,20",19.23,0.641,2014, ingolstadt 04
Gardien,"25,00",2.35,0.783,2015, ingolstadt 04
Défense,"25,22",10.05,1.12,2015, ingolstadt 04
Milieu de terrain,"23,57",11.4,1.63,2015, ingolstadt 04
Attaquant,"23,40",11.85,1.19,2015, ingolstadt 04
Total,"24,17",35.65,1.23,2015, ingolstadt 04
Gardien,"22,75",2.2,0.55,2016, ingolstadt 04
Défense,"23,91",12.38,1.13,2016, ingolstadt 04
Milieu de terrain,"24,43",10.4,1.49,2016, ingolstadt 04
Attaquant,"23,60",13.65,1.37,2016, ingolstadt 04
Total,"23,78",38.63,1.21,2016, ingolstadt 04
Gardien,"25,75",2.55,0.638,2017, ingolstadt 04
Défense,"24,40",17.0,1.7,2017, ingolstadt 04
Milieu de terrain,"25,11",8.65,0.961,2017, ingolstadt 04
Attaquant,"24,11",6.13,0.681,2017, ingolstadt 04
Total,"24,69",34.33,1.07,2017, ingolstadt 04
Gardien,"29,75",1.0,0.25,2018, ingolstadt 04
Défense,"24,91",5.7,0.518,2018, ingolstadt 04
Milieu de terrain,"24,40",6.6,0.66,2018, ingolstadt 04
Attaquant,"24,60",6.65,0.665,2018, ingolstadt 04
Total,"25,23",19.95,0.57,2018, ingolstadt 04
Gardien,"22,50",0.5,0.125,2019, ingolstadt 04
Défense,"22,24",2.65,0.156,2019, ingolstadt 04
Milieu de terrain,"22,75",2.3,0.288,2019, ingolstadt 04
Attaquant,"21,23",2.7,0.208,2019, ingolstadt 04
Total,"22,05",8.15,0.194,2019, ingolstadt 04
Gardien,"22,00",0.55,0.183,2020, ingolstadt 04
Défense,"24,55",2.63,0.239,2020, ingolstadt 04
Milieu de terrain,"24,00",1.83,0.365,2020, ingolstadt 04
Attaquant,"23,31",3.73,0.287,2020, ingolstadt 04
Total,"23,72",8.73,0.273,2020, ingolstadt 04
Gardien,"24,67",0.95,0.317,2014,sv darmstadt 98
Défense,"24,50",4.45,0.445,2014,sv darmstadt 98
Milieu de terrain,"24,00",4.55,0.455,2014,sv darmstadt 98
Attaquant,"27,60",3.0,0.6,2014,sv darmstadt 98
Total,"24,89",12.95,0.463,2014,sv darmstadt 98
Gardien,"29,33",3.05,1.02,2015,sv darmstadt 98
Défense,"27,70",10.35,1.04,2015,sv darmstadt 98
Milieu de terrain,"24,82",7.05,0.641,2015,sv darmstadt 98
Attaquant,"25,17",4.7,0.783,2015,sv darmstadt 98
Total,"26,30",25.15,0.838,2015,sv darmstadt 98
Gardien,"25,33",2.85,0.95,2016,sv darmstadt 98
Défense,"24,40",8.6,0.573,2016,sv darmstadt 98
Milieu de terrain,"27,70",8.43,0.843,2016,sv darmstadt 98
Attaquant,"25,82",6.6,0.6,2016,sv darmstadt 98
Total,"25,72",26.48,0.679,2016,sv darmstadt 98
Gardien,"24,33",1.45,0.483,2017,sv darmstadt 98
Défense,"24,17",5.55,0.463,2017,sv darmstadt 98
Milieu de terrain,"25,58",5.75,0.479,2017,sv darmstadt 98
Attaquant,"25,13",5.1,0.638,2017,sv darmstadt 98
Total,"24,89",17.85,0.51,2017,sv darmstadt 98
Gardien,"25,83",1.9,0.317,2018,sv darmstadt 98
Défense,"26,30",5.75,0.575,2018,sv darmstadt 98
Milieu de terrain,"25,29",7.15,0.511,2018,sv darmstadt 98
Attaquant,"24,57",3.3,0.471,2018,sv darmstadt 98
Total,"25,51",18.1,0.489,2018,sv darmstadt 98
Gardien,"24,40",1.25,0.25,2019,sv darmstadt 98
Défense,"25,89",3.68,0.408,2019,sv darmstadt 98
Milieu de terrain,"25,22",4.98,0.553,2019,sv darmstadt 98
Attaquant,"23,22",3.9,0.433,2019,sv darmstadt 98
Total,"24,72",13.8,0.431,2019,sv darmstadt 98
Gardien,"26,33",0.975,0.325,2020,sv darmstadt 98
Défense,"25,11",5.4,0.6,2020,sv darmstadt 98
Milieu de terrain,"23,20",5.1,0.51,2020,sv darmstadt 98
Attaquant,"23,30",5.55,0.555,2020,sv darmstadt 98
Total,"24,06",17.03,0.532,2020,sv darmstadt 98
Gardien,"25,33",0.85,0.283,2014,rasenballsport leipzig
Défense,"24,83",6.35,0.529,2014,rasenballsport leipzig
Milieu de terrain,"22,38",10.05,1.26,2014,rasenballsport leipzig
Attaquant,"22,00",15.4,1.28,2014,rasenballsport leipzig
Total,"23,34",32.65,0.933,2014,rasenballsport leipzig
Gardien,"27,67",1.25,0.417,2015,rasenballsport leipzig
Défense,"23,00",12.45,1.13,2015,rasenballsport leipzig
Milieu de terrain,"21,10",10.3,1.03,2015,rasenballsport leipzig
Attaquant,"21,00",17.05,2.44,2015,rasenballsport leipzig
Total,"22,39",41.05,1.32,2015,rasenballsport leipzig
Gardien,"27,00",4.1,1.03,2016,rasenballsport leipzig
Défense,"21,85",42.6,3.28,2016,rasenballsport leipzig
Milieu de terrain,"22,75",56.9,7.11,2016,rasenballsport leipzig
Attaquant,"21,38",72.73,9.09,2016,rasenballsport leipzig
Total,"22,58",176.33,5.34,2016,rasenballsport leipzig
Gardien,"26,25",11.3,2.83,2017,rasenballsport leipzig
Défense,"22,75",81.0,10.13,2017,rasenballsport leipzig
Milieu de terrain,"23,63",131.0,16.38,2017,rasenballsport leipzig
Attaquant,"21,50",150.0,18.75,2017,rasenballsport leipzig
Total,"23,14",373.3,13.33,2017,rasenballsport leipzig
Gardien,"23,50",15.7,3.93,2018,rasenballsport leipzig
Défense,"21,88",172.5,21.56,2018,rasenballsport leipzig
Milieu de terrain,"21,08",123.1,10.26,2018,rasenballsport leipzig
Attaquant,"21,10",167.7,16.77,2018,rasenballsport leipzig
Total,"21,56",479.0,14.09,2018,rasenballsport leipzig
Gardien,"26,00",12.23,3.06,2019,rasenballsport leipzig
Défense,"21,18",202.8,18.44,2019,rasenballsport leipzig
Milieu de terrain,"22,08",188.1,14.47,2019,rasenballsport leipzig
Attaquant,"21,20",167.35,16.74,2019,rasenballsport leipzig
Total,"22,00",570.48,15.01,2019,rasenballsport leipzig
Gardien,"28,67",15.8,5.27,2020,rasenballsport leipzig
Défense,"23,63",224.0,28.0,2020,rasenballsport leipzig
Milieu de terrain,"21,18",215.2,19.56,2020,rasenballsport leipzig
Attaquant,"21,80",119.95,12.0,2020,rasenballsport leipzig
Total,"22,69",574.95,17.97,2020,rasenballsport leipzig
Gardien,"24,00",1.25,0.417,2014,fortuna dusseldorf
Défense,"23,70",8.7,0.87,2014,fortuna dusseldorf
Milieu de terrain,"26,00",5.6,0.509,2014,fortuna dusseldorf
Attaquant,"22,50",5.95,0.992,2014,fortuna dusseldorf
Total,"24,33",21.5,0.717,2014,fortuna dusseldorf
Gardien,"24,33",1.35,0.45,2015,fortuna dusseldorf
Défense,"25,11",5.3,0.589,2015,fortuna dusseldorf
Milieu de terrain,"25,07",6.2,0.443,2015,fortuna dusseldorf
Attaquant,"23,13",5.45,0.681,2015,fortuna dusseldorf
Total,"24,56",18.3,0.538,2015,fortuna dusseldorf
Gardien,"23,75",1.1,0.275,2016,fortuna dusseldorf
Défense,"23,88",5.6,0.7,2016,fortuna dusseldorf
Milieu de terrain,"23,50",4.08,0.34,2016,fortuna dusseldorf
Attaquant,"22,88",4.45,0.556,2016,fortuna dusseldorf
Total,"23,47",15.23,0.476,2016,fortuna dusseldorf
Gardien,"27,00",1.6,0.32,2017,fortuna dusseldorf
Défense,"23,50",8.45,1.06,2017,fortuna dusseldorf
Milieu de terrain,"25,00",11.5,1.15,2017,fortuna dusseldorf
Attaquant,"23,56",15.73,1.75,2017,fortuna dusseldorf
Total,"24,53",37.28,1.16,2017,fortuna dusseldorf
Gardien,"28,60",1.3,0.26,2018,fortuna dusseldorf
Défense,"25,00",28.45,3.16,2018,fortuna dusseldorf
Milieu de terrain,"25,56",16.7,1.86,2018,fortuna dusseldorf
Attaquant,"23,73",48.5,4.41,2018,fortuna dusseldorf
Total,"25,26",94.95,2.79,2018,fortuna dusseldorf
Gardien,"24,86",7.65,1.09,2019,fortuna dusseldorf
Défense,"26,10",24.38,2.44,2019,fortuna dusseldorf
Milieu de terrain,"25,00",24.95,1.92,2019,fortuna dusseldorf
Attaquant,"24,71",14.8,2.11,2019,fortuna dusseldorf
Total,"25,22",71.78,1.94,2019,fortuna dusseldorf
Gardien,"24,25",1.9,0.475,2020,fortuna dusseldorf
Défense,"22,73",13.73,1.25,2020,fortuna dusseldorf
Milieu de terrain,"25,73",7.53,0.684,2020,fortuna dusseldorf
Attaquant,"25,00",12.78,1.28,2020,fortuna dusseldorf
Total,"24,44",35.93,0.998,2020,fortuna dusseldorf
Gardien,"24,80",1.7,0.34,2014,1  nurnberg
Défense,"22,10",7.85,0.785,2014,1  nurnberg
Milieu de terrain,"23,78",6.25,0.694,2014,1  nurnberg
Attaquant,"22,23",8.65,0.665,2014,1  nurnberg
Total,"22,92",24.45,0.661,2014,1  nurnberg
Gardien,"26,40",0.95,0.19,2015,1  nurnberg
Défense,"23,78",9.15,1.02,2015,1  nurnberg
Milieu de terrain,"24,55",11.8,1.07,2015,1  nurnberg
Attaquant,"24,00",5.9,0.843,2015,1  nurnberg
Total,"24,50",27.8,0.869,2015,1  nurnberg
Gardien,"29,67",0.95,0.317,2016,1  nurnberg
Défense,"24,55",5.83,0.53,2016,1  nurnberg
Milieu de terrain,"23,23",7.83,0.602,2016,1  nurnberg
Attaquant,"24,11",11.88,1.32,2016,1  nurnberg
Total,"24,39",26.48,0.735,2016,1  nurnberg
Gardien,"24,33",1.5,0.5,2017,1  nurnberg
Défense,"25,78",10.0,1.11,2017,1  nurnberg
Milieu de terrain,"23,69",15.45,1.19,2017,1  nurnberg
Attaquant,"24,00",6.25,1.04,2017,1  nurnberg
Total,"24,42",33.2,1.07,2017,1  nurnberg
Gardien,"27,67",1.6,0.533,2018,1  nurnberg
Défense,"24,71",13.35,1.91,2018,1  nurnberg
Milieu de terrain,"22,90",20.45,2.05,2018,1  nurnberg
Attaquant,"24,22",19.0,2.11,2018,1  nurnberg
Total,"24,24",54.4,1.88,2018,1  nurnberg
Gardien,"26,17",1.53,0.254,2019,1  nurnberg
Défense,"24,40",8.55,0.855,2019,1  nurnberg
Milieu de terrain,"23,25",10.33,0.86,2019,1  nurnberg
Attaquant,"23,45",11.4,1.04,2019,1  nurnberg
Total,"24,05",31.8,0.815,2019,1  nurnberg
Gardien,"29,00",1.5,0.375,2020,1  nurnberg
Défense,"23,82",4.83,0.439,2020,1  nurnberg
Milieu de terrain,"23,10",11.55,1.16,2020,1  nurnberg
Attaquant,"23,60",9.5,0.95,2020,1  nurnberg
Total,"24,14",27.38,0.782,2020,1  nurnberg
Gardien,"24,00",1.35,0.45,2014,1  union berlin
Défense,"24,80",5.15,0.515,2014,1  union berlin
Milieu de terrain,"24,50",4.7,0.47,2014,1  union berlin
Attaquant,"23,25",4.2,0.525,2014,1  union berlin
Total,"24,23",15.4,0.497,2014,1  union berlin
Gardien,"24,00",1.3,0.325,2015,1  union berlin
Défense,"26,75",5.6,0.7,2015,1  union berlin
Milieu de terrain,"23,10",6.5,0.65,2015,1  union berlin
Attaquant,"24,11",5.3,0.589,2015,1  union berlin
Total,"24,45",18.7,0.603,2015,1  union berlin
Gardien,"24,00",1.48,0.369,2016,1  union berlin
Défense,"26,67",6.65,0.739,2016,1  union berlin
Milieu de terrain,"24,44",5.5,0.611,2016,1  union berlin
Attaquant,"24,55",8.08,0.734,2016,1  union berlin
Total,"25,03",21.7,0.658,2016,1  union berlin
Gardien,"24,25",1.2,0.3,2017,1  union berlin
Défense,"25,67",8.05,0.671,2017,1  union berlin
Milieu de terrain,"24,43",4.9,0.7,2017,1  union berlin
Attaquant,"23,86",9.0,1.29,2017,1  union berlin
Total,"24,77",23.15,0.772,2017,1  union berlin
Gardien,"24,00",1.5,0.5,2018,1  union berlin
Défense,"26,23",8.6,0.662,2018,1  union berlin
Milieu de terrain,"23,75",7.9,0.988,2018,1  union berlin
Attaquant,"23,67",12.48,1.39,2018,1  union berlin
Total,"24,73",30.48,0.923,2018,1  union berlin
Gardien,"23,50",1.7,0.425,2019,1  union berlin
Défense,"26,70",13.05,1.31,2019,1  union berlin
Milieu de terrain,"24,17",12.28,1.02,2019,1  union berlin
Attaquant,"25,63",14.2,1.78,2019,1  union berlin
Total,"25,18",41.23,1.21,2019,1  union berlin
Gardien,"24,60",3.6,0.72,2020,1  union berlin
Défense,"25,00",35.8,3.98,2020,1  union berlin
Milieu de terrain,"25,67",16.2,2.7,2020,1  union berlin
Attaquant,"24,38",26.45,2.03,2020,1  union berlin
Total,"24,82",82.05,2.49,2020,1  union berlin
Gardien,"22,17",0.6,0.1,2014,arminia bielefeld
Défense,"23,64",2.33,0.211,2014,arminia bielefeld
Milieu de terrain,"26,33",2.73,0.227,2014,arminia bielefeld
Attaquant,"23,88",2.1,0.263,2014,arminia bielefeld
Total,"24,32",7.75,0.209,2014,arminia bielefeld
Gardien,"24,67",1.2,0.4,2015,arminia bielefeld
Défense,"25,89",4.0,0.444,2015,arminia bielefeld
Milieu de terrain,"24,92",4.23,0.352,2015,arminia bielefeld
Attaquant,"25,57",3.75,0.536,2015,arminia bielefeld
Total,"25,32",13.18,0.425,2015,arminia bielefeld
Gardien,"23,75",0.975,0.244,2016,arminia bielefeld
Défense,"25,20",4.7,0.47,2016,arminia bielefeld
Milieu de terrain,"24,20",4.4,0.44,2016,arminia bielefeld
Attaquant,"26,00",4.45,0.556,2016,arminia bielefeld
Total,"24,91",14.53,0.454,2016,arminia bielefeld
Gardien,"21,00",1.15,0.383,2017,arminia bielefeld
Défense,"25,50",4.45,0.742,2017,arminia bielefeld
Milieu de terrain,"22,73",6.75,0.614,2017,arminia bielefeld
Attaquant,"25,88",5.65,0.706,2017,arminia bielefeld
Total,"24,04",18.0,0.643,2017,arminia bielefeld
Gardien,"22,50",1.5,0.375,2018,arminia bielefeld
Défense,"24,38",5.8,0.725,2018,arminia bielefeld
Milieu de terrain,"22,00",6.95,0.632,2018,arminia bielefeld
Attaquant,"26,67",4.95,0.55,2018,arminia bielefeld
Total,"23,97",19.2,0.6,2018,arminia bielefeld
Gardien,"22,75",1.8,0.45,2019,arminia bielefeld
Défense,"25,22",8.03,0.892,2019,arminia bielefeld
Milieu de terrain,"23,89",5.78,0.642,2019,arminia bielefeld
Attaquant,"26,29",4.75,0.679,2019,arminia bielefeld
Total,"24,72",20.35,0.702,2019,arminia bielefeld
Gardien,"22,50",6.7,1.68,2020,arminia bielefeld
Défense,"24,75",17.15,2.14,2020,arminia bielefeld
Milieu de terrain,"22,27",19.2,1.75,2020,arminia bielefeld
Attaquant,"25,50",13.68,1.37,2020,arminia bielefeld
Total,"23,88",56.73,1.72,2020,arminia bielefeld
