Positions,Âge,Valeur marchande (millions),Valeur marchande moyenne (millions),Years,Crew
Défense,"23,11",80.8,8.98,2018,borussia monchengladbach
Milieu de terrain,"21,50",67.85,8.48,2018,borussia monchengladbach
Attaquant,"26,80",102.75,10.28,2018,borussia monchengladbach
Total,"24,23",264.3,8.81,2018,borussia monchengladbach
Gardien,"31,00",10.05,3.35,2019,borussia monchengladbach
Défense,"23,91",88.8,8.07,2019,borussia monchengladbach
Milieu de terrain,"22,11",73.75,8.19,2019,borussia monchengladbach
Attaquant,"26,27",82.1,7.46,2019,borussia monchengladbach
Total,"24,82",254.7,7.49,2019,borussia monchengladbach
Gardien,"28,50",6.85,1.71,2020,borussia monchengladbach
Défense,"24,25",100.45,8.37,2020,borussia monchengladbach
Milieu de terrain,"22,00",95.0,10.56,2020,borussia monchengladbach
Attaquant,"26,50",98.45,12.31,2020,borussia monchengladbach
Total,"24,70",300.75,9.11,2020,borussia monchengladbach
Gardien,"28,00",16.65,5.55,2014,bayer 04 leverkusen
Défense,"23,78",48.5,5.39,2014,bayer 04 leverkusen
Milieu de terrain,"22,56",68.45,7.61,2014,bayer 04 leverkusen
Attaquant,"24,20",43.5,8.7,2014,bayer 04 leverkusen
Total,"23,92",177.1,6.81,2014,bayer 04 leverkusen
Gardien,"29,00",16.65,5.55,2015,bayer 04 leverkusen
Défense,"21,79",71.0,5.07,2015,bayer 04 leverkusen
Milieu de terrain,"22,00",82.5,9.17,2015,bayer 04 leverkusen
Attaquant,"25,14",71.15,10.16,2015,bayer 04 leverkusen
Total,"23,21",241.3,7.31,2015,bayer 04 leverkusen
Gardien,"26,00",17.05,5.68,2016,bayer 04 leverkusen
Défense,"22,23",89.83,6.91,2016,bayer 04 leverkusen
Milieu de terrain,"21,69",87.15,6.7,2016,bayer 04 leverkusen
Attaquant,"24,10",71.0,7.1,2016,bayer 04 leverkusen
Total,"22,82",265.03,6.8,2016,bayer 04 leverkusen
Gardien,"27,00",20.75,6.92,2017,bayer 04 leverkusen
Défense,"22,00",97.5,13.93,2017,bayer 04 leverkusen
Milieu de terrain,"24,50",133.6,13.36,2017,bayer 04 leverkusen
Attaquant,"25,00",105.5,15.07,2017,bayer 04 leverkusen
Total,"24,26",357.35,13.24,2017,bayer 04 leverkusen
Gardien,"27,00",9.0,1.8,2018,bayer 04 leverkusen
Défense,"22,13",118.7,14.84,2018,bayer 04 leverkusen
Milieu de terrain,"24,33",180.95,20.11,2018,bayer 04 leverkusen
Attaquant,"22,33",120.75,13.42,2018,bayer 04 leverkusen
Total,"23,61",429.4,13.85,2018,bayer 04 leverkusen
Gardien,"29,67",8.55,2.85,2019,bayer 04 leverkusen
