Team,Value
FC Bayern,852.90
Bor. Dortmund,565.90
RB Leipzig,505.55
Bay. Leverkusen,352.75
Bor. M'gladbach,300.00
VfL Wolfsburg,287.83
E. Frankfurt,231.25
TSG Hoffenheim,207.65
VfB Stuttgart,169.63
Hertha BSC,137.05
SC Fribourg,125.15
1.FSV Mainz 05,100.50
FC Augsburg,97.10
Union Berlin,77.80
1. FC Köln,76.66
Arm. Bielefeld,53.45
Greuther Fürth,39.23
VfL Bochum,36.90
