Rank,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS,Years,xG coef,xGA coef,xPTS coef
15,Freiburg,34,8,12,14,32,56,36,36.98,45.66,40.82,2017,0.889,1.244,0.9
16,Wolfsburg,34,6,15,13,36,48,33,32.11,49.43,34.8,2017,1.125,0.98,0.971
17,Hamburger SV,34,8,7,19,29,53,31,36.04,54.06,38.59,2017,0.806,0.981,0.816
18,FC Cologne,34,5,7,22,35,70,22,41.5,67.17,32.18,2017,0.854,1.045,0.688
1,Bayern Munich,34,24,6,4,88,32,78,92.24,27.41,82.0,2018,0.957,1.185,0.951
2,Borussia Dortmund,34,23,7,4,81,44,76,64.99,42.88,62.85,2018,1.266,1.048,1.226
3,RasenBallsport Leipzig,34,19,9,6,63,29,66,68.25,39.65,63.06,2018,0.926,0.744,1.048
4,Bayer Leverkusen,34,18,4,12,69,52,58,61.49,45.71,57.4,2018,1.131,1.156,1.018
5,Borussia M.Gladbach,34,16,7,11,55,42,55,54.93,52.87,51.38,2018,1.019,0.808,1.078
6,Wolfsburg,34,16,7,11,62,50,55,49.49,49.84,47.04,2018,1.265,1.02,1.17
7,Eintracht Frankfurt,34,15,9,10,60,48,54,61.84,51.02,54.38,2018,0.984,0.941,1.0
8,Werder Bremen,34,14,11,9,58,49,53,49.36,56.71,44.36,2018,1.184,0.875,1.205
9,Hoffenheim,34,13,12,9,70,52,51,79.95,53.29,62.96,2018,0.886,0.981,0.823
10,Fortuna Duesseldorf,34,13,5,16,49,65,44,49.47,63.06,39.21,2018,1.0,1.032,1.128
11,Hertha Berlin,34,11,10,13,49,57,43,50.52,61.58,41.95,2018,0.98,0.934,1.049
12,Mainz 05,34,12,7,15,46,57,43,49.21,62.8,39.34,2018,0.939,0.919,1.103
13,Freiburg,34,8,12,14,46,61,36,41.23,61.43,35.67,2018,1.122,1.0,1.029
14,Schalke 04,34,8,9,17,37,55,33,46.62,51.94,44.16,2018,0.804,1.078,0.75
15,Augsburg,34,8,8,18,51,71,32,47.44,63.79,37.08,2018,1.085,1.127,0.865
16,VfB Stuttgart,34,7,7,20,32,70,28,37.38,62.7,31.99,2018,0.865,1.129,0.903
17,Hannover 96,34,5,6,23,31,71,21,34.81,73.12,25.21,2018,0.912,0.973,0.84
18,Nuernberg,34,3,10,21,26,68,19,35.37,54.8,35.12,2018,0.743,1.259,0.543
1,Bayern Munich,34,26,4,4,100,32,82,92.85,36.47,77.33,2019,1.087,0.889,1.065
2,Borussia Dortmund,34,21,6,7,84,41,69,64.26,42.02,62.48,2019,1.312,0.976,1.113
