Rank,Team,Years,PTS,win_rate,G,GA,xG,xGA,Value totale,Value attaque,Value défense
13,Mainz 05,2019,37,0.324,44,65,46.19,62.9,121,34.1,31.312
12,Mainz 05,2020,39,0.294,39,56,48.46,52.2,163,31.0,51.125
12,FC Cologne,2014,40,0.265,34,40,32.22,40.52,50,9.3,14.562
9,FC Cologne,2015,43,0.294,38,42,42.87,44.43,68,12.2,15.125
5,FC Cologne,2016,49,0.353,51,42,45.34,41.27,116,30.2,22.625
18,FC Cologne,2017,22,0.147,35,70,41.5,67.17,91,17.1,22.438
15,FC Cologne,2019,36,0.294,51,69,49.28,54.54,98,26.6,20.75
16,FC Cologne,2020,33,0.235,34,60,39.64,53.18,118,36.9,21.938
13,Hannover 96,2014,37,0.265,40,56,36.43,46.28,76,18.1,17.562
18,Hannover 96,2015,25,0.206,31,62,32.43,63.58,60,14.2,14.375
13,Hannover 96,2017,39,0.294,44,54,41.22,54.36,92,28.3,28.438
17,Hannover 96,2018,21,0.147,31,71,34.81,73.12,91,30.9,20.812
14,VfB Stuttgart,2014,36,0.265,42,60,45.64,48.1,86,22.3,18.188
17,VfB Stuttgart,2015,33,0.265,50,75,57.7,65.06,81,19.3,15.812
7,VfB Stuttgart,2017,51,0.441,36,36,37.91,39.35,134,28.2,40.625
16,VfB Stuttgart,2018,28,0.206,32,70,37.38,62.7,143,16.3,52.688
9,VfB Stuttgart,2020,45,0.353,56,55,52.18,53.79,189,49.4,34.0
15,Hertha Berlin,2014,35,0.265,36,52,32.66,46.2,66,12.9,16.438
7,Hertha Berlin,2015,50,0.412,42,42,35.9,43.94,78,13.1,23.438
6,Hertha Berlin,2016,49,0.441,43,47,38.15,49.39,96,12.5,34.062
10,Hertha Berlin,2017,43,0.294,43,46,38.58,44.71,131,23.7,43.312
11,Hertha Berlin,2018,43,0.324,49,57,50.52,61.58,207,42.9,52.562
10,Hertha Berlin,2019,41,0.324,48,59,44.3,55.58,217,79.7,42.062
14,Hertha Berlin,2020,35,0.235,41,52,40.71,46.69,228,80.2,44.125
16,Hamburger SV,2014,35,0.265,25,50,32.86,55.83,87,19.9,17.812
10,Hamburger SV,2015,41,0.324,40,46,38.75,51.19,63,19.8,10.5
14,Hamburger SV,2016,38,0.294,33,61,31.91,57.14,80,14.6,19.375
17,Hamburger SV,2017,31,0.235,29,53,36.04,54.06,62,14.9,14.188
17,Freiburg,2014,34,0.206,36,47,38.69,45.91,57,12.6,15.25
7,Freiburg,2016,48,0.412,42,60,39.41,54.62,86,31.5,16.688
15,Freiburg,2017,36,0.235,32,56,36.98,45.66,100,22.0,31.375
13,Freiburg,2018,36,0.235,46,61,41.23,61.43,122,38.3,29.438
8,Freiburg,2019,48,0.382,48,47,46.14,63.37,122,35.9,36.312
10,Freiburg,2020,45,0.353,52,52,45.11,52.98,138,42.3,32.688
18,Paderborn,2014,31,0.206,31,65,36.08,55.77,28,9.5,5.562
18,Paderborn,2019,20,0.118,37,74,38.47,67.83,28,8.0,5.75
11,Ingolstadt,2015,40,0.294,33,42,41.02,45.82,35,9.9,7.188
17,Ingolstadt,2016,32,0.235,36,57,44.51,49.19,38,11.4,8.375
14,Darmstadt,2015,38,0.265,38,53,39.03,51.06,25,3.9,7.062
18,Darmstadt,2016,25,0.206,28,63,33.91,68.04,26,5.6,5.75
2,RasenBallsport Leipzig,2016,67,0.588,66,39,55.09,40.06,176,63.2,30.25
6,RasenBallsport Leipzig,2017,53,0.441,57,53,51.42,47.42,373,133.1,60.188
3,RasenBallsport Leipzig,2018,66,0.559,63,29,68.25,39.65,479,145.9,117.062
3,RasenBallsport Leipzig,2019,66,0.529,81,37,76.13,37.58,570,152.4,139.5
2,RasenBallsport Leipzig,2020,65,0.559,60,32,67.14,29.24,574,116.7,155.312
10,Fortuna Duesseldorf,2018,44,0.382,49,65,49.47,63.06,94,40.0,18.625
17,Fortuna Duesseldorf,2019,30,0.176,36,67,35.69,64.45,71,13.6,17.375
18,Nuernberg,2018,19,0.088,26,68,35.37,54.8,54,17.2,9.5
11,Union Berlin,2019,41,0.353,41,58,41.58,54.94,41,12.4,9.0
7,Union Berlin,2020,50,0.353,50,43,46.0,43.51,82,22.4,23.25
15,Arminia Bielefeld,2020,35,0.265,26,52,31.14,58.98,56,12.3,12.562
