Position,Valeur maximum,Years,Crew
Milieu,30.0,2015,fc-sevilla
Attaquant,25.0,2015,fc-sevilla
Total,30.0,2015,fc-sevilla
Gardien,20.0,2016,fc-sevilla
Défense,8.0,2016,fc-sevilla
Milieu,30.0,2016,fc-sevilla
Attaquant,25.0,2016,fc-sevilla
Total,30.0,2016,fc-sevilla
Gardien,12.0,2017,fc-sevilla
Défense,25.0,2017,fc-sevilla
Milieu,30.0,2017,fc-sevilla
Attaquant,28.0,2017,fc-sevilla
Total,30.0,2017,fc-sevilla
Gardien,18.0,2018,fc-sevilla
Défense,10.0,2018,fc-sevilla
Milieu,15.0,2018,fc-sevilla
Attaquant,40.0,2018,fc-sevilla
Total,40.0,2018,fc-sevilla
Gardien,14.5,2019,fc-sevilla
Défense,32.0,2019,fc-sevilla
Milieu,14.5,2019,fc-sevilla
Attaquant,32.0,2019,fc-sevilla
Total,32.0,2019,fc-sevilla
Gardien,18.0,2020,fc-sevilla
Défense,60.0,2020,fc-sevilla
Milieu,30.0,2020,fc-sevilla
Attaquant,40.0,2020,fc-sevilla
Total,60.0,2020,fc-sevilla
Gardien,7.0,2014,fc-villarreal
Défense,12.0,2014,fc-villarreal
Milieu,8.0,2014,fc-villarreal
Attaquant,10.0,2014,fc-villarreal
Total,15.0,2014,fc-villarreal
Gardien,7.5,2015,fc-villarreal
Défense,10.0,2015,fc-villarreal
Milieu,12.0,2015,fc-villarreal
Attaquant,16.0,2015,fc-villarreal
Total,16.0,2015,fc-villarreal
Gardien,7.5,2016,fc-villarreal
Défense,18.0,2016,fc-villarreal
Milieu,16.0,2016,fc-villarreal
Attaquant,16.0,2016,fc-villarreal
Total,18.0,2016,fc-villarreal
Gardien,8.0,2017,fc-villarreal
Défense,18.0,2017,fc-villarreal
Milieu,25.0,2017,fc-villarreal
Attaquant,22.0,2017,fc-villarreal
Total,25.0,2017,fc-villarreal
Gardien,12.0,2018,fc-villarreal
Défense,22.0,2018,fc-villarreal
Milieu,25.0,2018,fc-villarreal
Attaquant,30.0,2018,fc-villarreal
Total,30.0,2018,fc-villarreal
Gardien,9.5,2019,fc-villarreal
Défense,16.0,2019,fc-villarreal
Milieu,20.0,2019,fc-villarreal
Attaquant,28.0,2019,fc-villarreal
Total,28.0,2019,fc-villarreal
Gardien,9.0,2020,fc-villarreal
Défense,50.0,2020,fc-villarreal
Milieu,12.0,2020,fc-villarreal
Attaquant,40.0,2020,fc-villarreal
Total,50.0,2020,fc-villarreal
