Position,Valeur maximum,Years,Crew
Gardien,0.8,2015,ud-las-palmas
Défense,1.5,2015,ud-las-palmas
Milieu,3.5,2015,ud-las-palmas
Attaquant,3.0,2015,ud-las-palmas
Total,3.5,2015,ud-las-palmas
Gardien,0.8,2016,ud-las-palmas
Défense,10.0,2016,ud-las-palmas
Milieu,12.0,2016,ud-las-palmas
Attaquant,7.5,2016,ud-las-palmas
Total,12.0,2016,ud-las-palmas
Gardien,1.0,2017,ud-las-palmas
Défense,5.5,2017,ud-las-palmas
Milieu,8.0,2017,ud-las-palmas
Attaquant,25.0,2017,ud-las-palmas
Total,25.0,2017,ud-las-palmas
Gardien,1.0,2018,ud-las-palmas
Défense,3.5,2018,ud-las-palmas
Milieu,2.5,2018,ud-las-palmas
Attaquant,3.0,2018,ud-las-palmas
Total,3.5,2018,ud-las-palmas
Gardien,2.3,2019,ud-las-palmas
Défense,1.6,2019,ud-las-palmas
Milieu,7.2,2019,ud-las-palmas
Attaquant,1.2,2019,ud-las-palmas
Total,7.2,2019,ud-las-palmas
Gardien,0.4,2020,ud-las-palmas
Défense,0.8,2020,ud-las-palmas
Milieu,1.5,2020,ud-las-palmas
Attaquant,1.5,2020,ud-las-palmas
Total,1.5,2020,ud-las-palmas
Gardien,0.8,2014,sporting-gijon
Défense,1.8,2014,sporting-gijon
Milieu,1.8,2014,sporting-gijon
Attaquant,1.2,2014,sporting-gijon
Total,1.8,2014,sporting-gijon
Gardien,1.5,2015,sporting-gijon
Défense,2.5,2015,sporting-gijon
Milieu,10.0,2015,sporting-gijon
Attaquant,7.5,2015,sporting-gijon
Total,10.0,2015,sporting-gijon
Gardien,0.8,2016,sporting-gijon
Défense,6.0,2016,sporting-gijon
Milieu,3.0,2016,sporting-gijon
Attaquant,3.5,2016,sporting-gijon
Total,6.0,2016,sporting-gijon
Gardien,1.0,2017,sporting-gijon
Défense,1.5,2017,sporting-gijon
Milieu,2.5,2017,sporting-gijon
Attaquant,2.0,2017,sporting-gijon
Total,2.5,2017,sporting-gijon
Gardien,1.0,2018,sporting-gijon
Défense,1.0,2018,sporting-gijon
Milieu,1.2,2018,sporting-gijon
Attaquant,5.0,2018,sporting-gijon
Total,5.0,2018,sporting-gijon
Gardien,0.8,2019,sporting-gijon
Défense,0.8,2019,sporting-gijon
Milieu,3.6,2019,sporting-gijon
Attaquant,1.6,2019,sporting-gijon
Total,3.6,2019,sporting-gijon
Gardien,0.5,2020,sporting-gijon
Défense,0.8,2020,sporting-gijon
Milieu,4.0,2020,sporting-gijon
Attaquant,6.0,2020,sporting-gijon
Total,6.0,2020,sporting-gijon
Gardien,0.5,2014,deportivo-alaves
Défense,0.5,2014,deportivo-alaves
Milieu,0.5,2014,deportivo-alaves
Attaquant,1.0,2014,deportivo-alaves
Total,1.0,2014,deportivo-alaves
Gardien,0.8,2015,deportivo-alaves
Défense,1.0,2015,deportivo-alaves
Milieu,0.8,2015,deportivo-alaves
Attaquant,1.0,2015,deportivo-alaves
Total,1.0,2015,deportivo-alaves
Gardien,5.0,2016,deportivo-alaves
Défense,15.0,2016,deportivo-alaves
Milieu,15.0,2016,deportivo-alaves
Attaquant,5.0,2016,deportivo-alaves
Total,15.0,2016,deportivo-alaves
Gardien,9.0,2017,deportivo-alaves
Défense,6.0,2017,deportivo-alaves
Milieu,4.0,2017,deportivo-alaves
Attaquant,12.0,2017,deportivo-alaves
Total,12.0,2017,deportivo-alaves
Gardien,15.0,2018,deportivo-alaves
Défense,15.0,2018,deportivo-alaves
Milieu,2.5,2018,deportivo-alaves
Attaquant,10.0,2018,deportivo-alaves
Total,15.0,2018,deportivo-alaves
Gardien,14.5,2019,deportivo-alaves
Défense,11.0,2019,deportivo-alaves
Milieu,4.0,2019,deportivo-alaves
Attaquant,12.0,2019,deportivo-alaves
Total,14.5,2019,deportivo-alaves
Gardien,8.0,2020,deportivo-alaves
Défense,5.5,2020,deportivo-alaves
Milieu,4.0,2020,deportivo-alaves
Attaquant,8.0,2020,deportivo-alaves
Total,8.0,2020,deportivo-alaves
Gardien,0.4,2014,cd-leganes
Défense,0.5,2014,cd-leganes
Milieu,1.0,2014,cd-leganes
Attaquant,0.8,2014,cd-leganes
Total,1.0,2014,cd-leganes
Gardien,0.8,2015,cd-leganes
Défense,2.0,2015,cd-leganes
Milieu,1.2,2015,cd-leganes
Attaquant,1.2,2015,cd-leganes
Total,2.0,2015,cd-leganes
Gardien,3.0,2016,cd-leganes
Défense,3.0,2016,cd-leganes
Milieu,4.0,2016,cd-leganes
Attaquant,5.0,2016,cd-leganes
Total,5.0,2016,cd-leganes
Gardien,0.8,2017,cd-leganes
Défense,4.0,2017,cd-leganes
Milieu,10.0,2017,cd-leganes
Attaquant,3.0,2017,cd-leganes
Total,10.0,2017,cd-leganes
Gardien,7.5,2018,cd-leganes
Défense,6.0,2018,cd-leganes
Milieu,10.0,2018,cd-leganes
Attaquant,12.0,2018,cd-leganes
Total,12.0,2018,cd-leganes
Gardien,1.6,2019,cd-leganes
Défense,4.8,2019,cd-leganes
Milieu,11.0,2019,cd-leganes
Attaquant,12.0,2019,cd-leganes
Total,12.0,2019,cd-leganes
Gardien,0.3,2020,cd-leganes
Défense,2.8,2020,cd-leganes
Milieu,2.4,2020,cd-leganes
Attaquant,2.0,2020,cd-leganes
Total,2.8,2020,cd-leganes
Gardien,1.0,2014,ca-osasuna
Défense,1.2,2014,ca-osasuna
Milieu,2.0,2014,ca-osasuna
Attaquant,1.4,2014,ca-osasuna
Total,2.0,2014,ca-osasuna
Gardien,0.7,2015,ca-osasuna
Défense,0.8,2015,ca-osasuna
Milieu,2.0,2015,ca-osasuna
Attaquant,1.0,2015,ca-osasuna
Total,2.0,2015,ca-osasuna
Gardien,4.0,2016,ca-osasuna
Défense,1.8,2016,ca-osasuna
Milieu,3.0,2016,ca-osasuna
Attaquant,6.0,2016,ca-osasuna
Total,6.0,2016,ca-osasuna
Gardien,0.8,2017,ca-osasuna
Défense,1.0,2017,ca-osasuna
Milieu,1.5,2017,ca-osasuna
Attaquant,1.2,2017,ca-osasuna
Total,1.5,2017,ca-osasuna
Gardien,0.7,2018,ca-osasuna
Défense,2.0,2018,ca-osasuna
Milieu,2.0,2018,ca-osasuna
Attaquant,3.5,2018,ca-osasuna
Total,3.5,2018,ca-osasuna
Gardien,1.2,2019,ca-osasuna
Défense,6.7,2019,ca-osasuna
Milieu,4.0,2019,ca-osasuna
Attaquant,12.0,2019,ca-osasuna
Total,12.0,2019,ca-osasuna
Gardien,6.0,2020,ca-osasuna
Défense,8.0,2020,ca-osasuna
Milieu,7.0,2020,ca-osasuna
Attaquant,10.0,2020,ca-osasuna
Total,10.0,2020,ca-osasuna
Gardien,1.0,2014,fc-girona
Défense,1.0,2014,fc-girona
Milieu,0.7,2014,fc-girona
Attaquant,0.5,2014,fc-girona
Total,1.0,2014,fc-girona
Gardien,1.0,2015,fc-girona
Défense,0.8,2015,fc-girona
Milieu,1.0,2015,fc-girona
Attaquant,1.0,2015,fc-girona
Total,1.0,2015,fc-girona
Gardien,1.0,2016,fc-girona
Défense,1.5,2016,fc-girona
Milieu,2.5,2016,fc-girona
Attaquant,1.8,2016,fc-girona
Total,2.5,2016,fc-girona
Gardien,3.0,2017,fc-girona
Défense,10.0,2017,fc-girona
Milieu,5.0,2017,fc-girona
Attaquant,10.0,2017,fc-girona
Total,10.0,2017,fc-girona
Gardien,5.0,2018,fc-girona
Défense,10.0,2018,fc-girona
Milieu,7.0,2018,fc-girona
Attaquant,10.0,2018,fc-girona
Total,10.0,2018,fc-girona
Gardien,4.0,2019,fc-girona
Défense,2.4,2019,fc-girona
Milieu,3.2,2019,fc-girona
Attaquant,4.0,2019,fc-girona
Total,4.0,2019,fc-girona
Gardien,1.3,2020,fc-girona
Défense,4.0,2020,fc-girona
Milieu,4.0,2020,fc-girona
Attaquant,3.5,2020,fc-girona
Total,4.0,2020,fc-girona
Gardien,0.8,2014,real-valladolid
Défense,2.5,2014,real-valladolid
Milieu,2.5,2014,real-valladolid
Attaquant,2.0,2014,real-valladolid
Total,2.5,2014,real-valladolid
Gardien,1.5,2015,real-valladolid
Défense,1.8,2015,real-valladolid
Milieu,2.0,2015,real-valladolid
Attaquant,1.5,2015,real-valladolid
Total,2.0,2015,real-valladolid
Gardien,0.8,2016,real-valladolid
Défense,1.5,2016,real-valladolid
Milieu,1.8,2016,real-valladolid
Attaquant,2.5,2016,real-valladolid
Total,2.5,2016,real-valladolid
Gardien,1.0,2017,real-valladolid
Défense,1.0,2017,real-valladolid
Milieu,0.8,2017,real-valladolid
Attaquant,5.0,2017,real-valladolid
Total,5.0,2017,real-valladolid
Gardien,6.0,2018,real-valladolid
Défense,10.0,2018,real-valladolid
Milieu,10.0,2018,real-valladolid
Attaquant,5.0,2018,real-valladolid
Total,10.0,2018,real-valladolid
Gardien,4.8,2019,real-valladolid
Défense,11.0,2019,real-valladolid
Milieu,8.0,2019,real-valladolid
Attaquant,4.8,2019,real-valladolid
Total,11.0,2019,real-valladolid
Gardien,2.0,2020,real-valladolid
Défense,6.0,2020,real-valladolid
Milieu,4.0,2020,real-valladolid
Attaquant,6.0,2020,real-valladolid
Total,6.0,2020,real-valladolid
Défense,0.2,2014,sd-huesca
Milieu,0.3,2014,sd-huesca
Total,0.3,2014,sd-huesca
Gardien,0.3,2015,sd-huesca
Défense,0.7,2015,sd-huesca
Milieu,0.6,2015,sd-huesca
Attaquant,0.8,2015,sd-huesca
Total,0.8,2015,sd-huesca
Gardien,0.7,2016,sd-huesca
Défense,1.0,2016,sd-huesca
Milieu,1.2,2016,sd-huesca
Attaquant,1.0,2016,sd-huesca
Total,1.2,2016,sd-huesca
Gardien,1.5,2017,sd-huesca
Défense,0.8,2017,sd-huesca
Milieu,3.5,2017,sd-huesca
Attaquant,5.0,2017,sd-huesca
Total,5.0,2017,sd-huesca
Gardien,1.0,2018,sd-huesca
Défense,3.0,2018,sd-huesca
Milieu,4.0,2018,sd-huesca
Attaquant,10.0,2018,sd-huesca
Total,10.0,2018,sd-huesca
Gardien,1.3,2019,sd-huesca
Défense,2.4,2019,sd-huesca
Milieu,1.0,2019,sd-huesca
Attaquant,2.8,2019,sd-huesca
Total,2.8,2019,sd-huesca
Gardien,4.0,2020,sd-huesca
Défense,6.0,2020,sd-huesca
Milieu,3.5,2020,sd-huesca
Attaquant,12.0,2020,sd-huesca
Total,12.0,2020,sd-huesca
Gardien,0.4,2014,rcd-mallorca
Défense,1.0,2014,rcd-mallorca
Milieu,0.5,2014,rcd-mallorca
Attaquant,3.5,2014,rcd-mallorca
Total,3.5,2014,rcd-mallorca
Gardien,0.7,2015,rcd-mallorca
Défense,1.0,2015,rcd-mallorca
Milieu,0.8,2015,rcd-mallorca
Attaquant,1.0,2015,rcd-mallorca
Total,1.0,2015,rcd-mallorca
Gardien,0.5,2016,rcd-mallorca
Défense,0.8,2016,rcd-mallorca
Milieu,1.25,2016,rcd-mallorca
Attaquant,0.8,2016,rcd-mallorca
Total,1.25,2016,rcd-mallorca
Gardien,0.3,2017,rcd-mallorca
Défense,1.0,2017,rcd-mallorca
Milieu,0.4,2017,rcd-mallorca
Attaquant,0.5,2017,rcd-mallorca
Total,1.0,2017,rcd-mallorca
Gardien,0.3,2018,rcd-mallorca
Défense,2.0,2018,rcd-mallorca
Milieu,0.7,2018,rcd-mallorca
Attaquant,2.0,2018,rcd-mallorca
Total,2.0,2018,rcd-mallorca
Gardien,1.2,2019,rcd-mallorca
Défense,4.5,2019,rcd-mallorca
Milieu,2.8,2019,rcd-mallorca
Attaquant,13.5,2019,rcd-mallorca
Total,13.5,2019,rcd-mallorca
Gardien,0.5,2020,rcd-mallorca
Défense,5.0,2020,rcd-mallorca
Milieu,3.0,2020,rcd-mallorca
Attaquant,9.0,2020,rcd-mallorca
Total,9.0,2020,rcd-mallorca
Gardien,0.1,2014,fc-cadiz
Total,0.1,2014,fc-cadiz
Défense,0.3,2015,fc-cadiz
Attaquant,0.5,2015,fc-cadiz
Total,0.5,2015,fc-cadiz
Gardien,0.4,2016,fc-cadiz
Défense,0.6,2016,fc-cadiz
Milieu,1.0,2016,fc-cadiz
Attaquant,2.0,2016,fc-cadiz
Total,2.0,2016,fc-cadiz
Gardien,0.3,2017,fc-cadiz
Défense,0.9,2017,fc-cadiz
Milieu,0.8,2017,fc-cadiz
Attaquant,5.0,2017,fc-cadiz
Total,5.0,2017,fc-cadiz
Gardien,0.15,2018,fc-cadiz
Défense,0.9,2018,fc-cadiz
Milieu,2.0,2018,fc-cadiz
Attaquant,5.0,2018,fc-cadiz
Total,5.0,2018,fc-cadiz
Gardien,0.15,2019,fc-cadiz
Défense,1.2,2019,fc-cadiz
Milieu,2.8,2019,fc-cadiz
Attaquant,1.2,2019,fc-cadiz
Total,2.8,2019,fc-cadiz
Gardien,5.0,2020,fc-cadiz
Défense,3.0,2020,fc-cadiz
Milieu,6.0,2020,fc-cadiz
Attaquant,2.2,2020,fc-cadiz
Total,6.0,2020,fc-cadiz
Gardien,2.0,2014,eibar
Défense,2.0,2014,eibar
Milieu,2.0,2014,eibar
Attaquant,2.5,2014,eibar
Total,2.5,2014,eibar
Gardien,0.8,2015,eibar
Défense,4.0,2015,eibar
Milieu,3.0,2015,eibar
Attaquant,4.0,2015,eibar
Total,4.0,2015,eibar
Gardien,2.5,2016,eibar
Défense,5.0,2016,eibar
Milieu,5.0,2016,eibar
Attaquant,10.0,2016,eibar
Total,10.0,2016,eibar
Gardien,4.0,2017,eibar
Défense,3.0,2017,eibar
Milieu,4.0,2017,eibar
Attaquant,5.0,2017,eibar
Total,5.0,2017,eibar
Gardien,10.0,2018,eibar
Défense,10.0,2018,eibar
Milieu,12.0,2018,eibar
Attaquant,7.5,2018,eibar
Total,12.0,2018,eibar
Gardien,9.5,2019,eibar
Défense,4.8,2019,eibar
Milieu,3.2,2019,eibar
Attaquant,2.4,2019,eibar
Total,9.5,2019,eibar
Gardien,8.0,2020,eibar
Défense,4.0,2020,eibar
Milieu,3.5,2020,eibar
Attaquant,30.0,2020,eibar
Total,30.0,2020,eibar
