Positions,Âge,Valeur marchande (millions),Valeur marchande moyenne (millions),Years,Crew
Milieu de terrain,"23,77",289.0,22.23,2020,atletico madrid
Attaquant,"24,18",214.0,19.45,2020,atletico madrid
Total,"23,92",773.1,19.82,2020,atletico madrid
Gardien,"25,67",10.5,3.5,2014, valencia
Défense,"22,25",60.5,7.56,2014, valencia
Milieu de terrain,"22,67",74.0,8.22,2014, valencia
Attaquant,"23,50",85.0,14.17,2014, valencia
Total,"23,08",230.0,8.85,2014, valencia
Gardien,"25,75",17.5,4.38,2015, valencia
Défense,"22,92",78.0,6.5,2015, valencia
Milieu de terrain,"22,30",68.5,6.85,2015, valencia
Attaquant,"21,75",90.0,7.5,2015, valencia
Total,"22,68",254.0,6.68,2015, valencia
Gardien,"26,75",13.5,3.38,2016, valencia
Défense,"23,77",124.1,9.55,2016, valencia
Milieu de terrain,"24,67",39.3,6.55,2016, valencia
Attaquant,"23,35",89.1,5.24,2016, valencia
Total,"24,03",266.0,6.65,2016, valencia
Gardien,"24,00",17.75,5.92,2017, valencia
Défense,"23,60",140.3,14.03,2017, valencia
Milieu de terrain,"22,88",103.0,12.88,2017, valencia
Attaquant,"23,22",137.0,15.22,2017, valencia
Total,"23,33",398.05,13.27,2017, valencia
Gardien,"25,00",20.75,6.92,2018, valencia
Défense,"24,69",148.7,11.44,2018, valencia
Milieu de terrain,"23,29",144.3,20.61,2018, valencia
Attaquant,"23,46",199.7,15.36,2018, valencia
Total,"24,00",513.45,14.26,2018, valencia
Gardien,"26,33",20.75,6.92,2019, valencia
Défense,"25,00",125.55,8.97,2019, valencia
Milieu de terrain,"22,38",123.5,15.44,2019, valencia
Attaquant,"25,00",158.0,19.75,2019, valencia
Total,"24,48",427.8,12.96,2019, valencia
Gardien,"26,25",9.45,2.36,2020, valencia
Défense,"23,43",95.8,6.84,2020, valencia
Milieu de terrain,"22,00",80.6,11.51,2020, valencia
Attaquant,"24,40",93.0,9.3,2020, valencia
Total,"23,74",278.85,7.97,2020, valencia
Gardien,"23,60",7.3,1.46,2014, sevilla
Défense,"25,73",45.7,4.15,2014, sevilla
Milieu de terrain,"24,60",50.05,5.01,2014, sevilla
Attaquant,"23,33",63.75,7.08,2014, sevilla
Total,"24,49",166.8,4.77,2014, sevilla
Gardien,"25,33",17.8,5.93,2015, sevilla
Défense,"25,64",55.5,3.96,2015, sevilla
Milieu de terrain,"24,18",84.5,7.68,2015, sevilla
Attaquant,"24,20",72.5,7.25,2015, sevilla
Total,"24,82",230.3,6.06,2015, sevilla
Gardien,"24,00",26.3,6.58,2016, sevilla
Défense,"24,47",50.8,3.39,2016, sevilla
Milieu de terrain,"25,55",94.7,8.61,2016, sevilla
Attaquant,"23,20",101.5,10.15,2016, sevilla
Total,"24,40",273.3,6.83,2016, sevilla
Gardien,"22,00",16.6,5.53,2017, sevilla
Défense,"26,50",73.3,6.11,2017, sevilla
Milieu de terrain,"27,44",72.8,8.09,2017, sevilla
Attaquant,"23,44",90.5,10.06,2017, sevilla
Total,"25,52",253.2,7.67,2017, sevilla
Gardien,"22,80",32.95,6.59,2018, sevilla
Défense,"25,86",60.1,4.29,2018, sevilla
Milieu de terrain,"26,22",56.95,6.33,2018, sevilla
Attaquant,"23,91",158.3,14.39,2018, sevilla
Total,"25,00",308.3,7.91,2018, sevilla
Gardien,"24,60",27.1,5.42,2019, sevilla
Défense,"24,18",93.4,8.49,2019, sevilla
Milieu de terrain,"26,86",58.3,8.33,2019, sevilla
Attaquant,"23,92",115.95,9.66,2019, sevilla
Total,"24,69",294.75,8.42,2019, sevilla
Gardien,"24,40",22.7,4.54,2020, sevilla
Défense,"24,92",139.3,10.72,2020, sevilla
Milieu de terrain,"26,38",79.3,9.91,2020, sevilla
Attaquant,"23,25",176.95,14.75,2020, sevilla
Total,"24,63",418.25,11.01,2020, sevilla
Gardien,"23,75",8.0,2.0,2014, villarreal
Défense,"23,14",41.9,2.99,2014, villarreal
Milieu de terrain,"23,89",27.8,3.09,2014, villarreal
Attaquant,"22,00",55.0,5.5,2014, villarreal
Total,"23,08",132.7,3.59,2014, villarreal
Gardien,"26,00",12.3,4.1,2015, villarreal
Défense,"24,42",43.3,3.61,2015, villarreal
Milieu de terrain,"24,33",36.5,6.08,2015, villarreal
Attaquant,"23,57",48.5,6.93,2015, villarreal
Total,"24,36",140.6,5.02,2015, villarreal
Gardien,"29,00",9.6,3.2,2016, villarreal
Défense,"25,33",68.8,5.73,2016, villarreal
Milieu de terrain,"24,50",51.9,6.49,2016, villarreal
Attaquant,"22,44",65.8,4.11,2016, villarreal
Total,"24,26",196.1,5.03,2016, villarreal
Gardien,"28,00",9.9,2.48,2017, villarreal
Défense,"25,45",51.8,4.71,2017, villarreal
Milieu de terrain,"23,38",85.85,6.6,2017, villarreal
Attaquant,"23,33",71.6,5.97,2017, villarreal
Total,"24,40",219.15,5.48,2017, villarreal
Gardien,"31,00",13.9,4.63,2018, villarreal
Défense,"25,27",71.05,4.74,2018, villarreal
Milieu de terrain,"26,67",75.0,6.25,2018, villarreal
Attaquant,"23,67",89.0,9.89,2018, villarreal
Total,"25,77",248.95,6.38,2018, villarreal
Gardien,"32,00",10.6,3.53,2019, villarreal
Défense,"25,40",47.8,4.78,2019, villarreal
Milieu de terrain,"25,40",48.98,4.9,2019, villarreal
Attaquant,"23,40",101.3,10.13,2019, villarreal
Total,"25,39",208.68,6.32,2019, villarreal
Gardien,"23,75",13.3,3.33,2020, villarreal
Défense,"25,92",113.3,8.72,2020, villarreal
Milieu de terrain,"27,29",32.5,4.64,2020, villarreal
Attaquant,"22,75",133.5,11.13,2020, villarreal
Total,"24,89",292.6,8.13,2020, villarreal
Gardien,"26,00",3.0,1.0,2014,athletic bilbao
Défense,"25,75",32.3,4.04,2014,athletic bilbao
Milieu de terrain,"23,50",51.4,6.43,2014,athletic bilbao
Attaquant,"26,00",25.4,3.18,2014,athletic bilbao
Total,"25,19",112.1,4.15,2014,athletic bilbao
Gardien,"27,00",4.5,1.5,2015,athletic bilbao
Défense,"25,11",47.0,5.22,2015,athletic bilbao
Milieu de terrain,"25,75",48.5,6.06,2015,athletic bilbao
Attaquant,"26,88",48.0,6.0,2015,athletic bilbao
Total,"26,00",148.0,5.29,2015,athletic bilbao
Gardien,"24,80",12.4,2.48,2016,athletic bilbao
Défense,"23,91",64.0,5.82,2016,athletic bilbao
Milieu de terrain,"25,70",49.0,4.9,2016,athletic bilbao
Attaquant,"26,11",50.6,5.62,2016,athletic bilbao
Total,"25,11",176.0,5.03,2016,athletic bilbao
Gardien,"23,67",23.5,7.83,2017,athletic bilbao
Défense,"24,15",134.85,10.37,2017,athletic bilbao
Milieu de terrain,"24,89",34.85,3.87,2017,athletic bilbao
