id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
1715,Álvaro Negredo,30,1524,5,7.1248,4,4.4159,54,22,4,0,F S,Valencia,4,6.3815,11.0373,1.8386,2014
2085,Lombán,34,2986,5,3.3466,0,0.0997,19,3,10,0,D S,Elche,2,1.1169,3.7686,3.7171,2014
2089,Robert Ibáñez,21,1104,5,3.2557,1,1.7829,23,12,0,0,M S,"Granada,Valencia",5,3.2557,4.4415,0.7322,2014
2092,Gerard Piqué,27,2383,5,3.7534,1,0.8372,20,4,6,0,D S,Barcelona,5,3.7534,14.0404,12.0081,2014
2094,Ivan Rakitic,32,2042,5,3.1062,7,4.0248,34,35,1,0,M S,Barcelona,5,3.1062,21.613,16.8749,2014
2167,Javi Guerra,13,681,5,4.9142,0,1.0543,28,8,0,0,F S,Malaga,5,4.9142,6.1746,1.0851,2014
2171,Manucho,37,1596,5,6.8282,1,1.7725,61,15,5,0,F S,Rayo Vallecano,5,6.8282,8.9585,1.1964,2014
2273,Tiago,31,2594,5,3.3834,4,3.5373,23,18,5,0,M,Atletico Madrid,5,3.3834,7.1941,5.319,2014
2285,Fabián Orellana,35,2970,5,8.8509,6,9.1156,70,75,13,1,F M S,Celta Vigo,5,8.1076,18.0191,6.4934,2014
2300,Samu García,32,2250,5,3.1883,1,3.5275,36,34,7,1,F M S,Malaga,5,3.1883,8.3851,3.4427,2014
2395,San José,28,2138,5,2.5964,1,1.0591,21,11,9,1,D M S,Athletic Club,5,2.5964,4.8658,4.2523,2014
2400,Raúl García,31,1682,5,5.876,3,3.4629,52,12,8,0,F M S,Atletico Madrid,3,4.3895,6.6932,1.7526,2014
2549,Gaël Kakuta,35,3067,5,6.4067,7,7.1432,69,63,1,0,D M,Rayo Vallecano,5,6.4067,15.119,4.9936,2014
4068,Florin Andone,20,1533,5,5.9017,0,0.4489,38,10,5,0,F S,Cordoba,5,5.9017,5.8137,1.9574,2014
