Rank,Team,Years,PTS,win_rate,G,GA,xG,xGA,Value totale,Value attaque,Value défense
19,Getafe,2015,36,0.237,37,67,41.77,63.35,49,21.3,8.812
8,Getafe,2017,55,0.395,42,33,49.03,39.65,65,18.6,17.625
6,Getafe,2018,59,0.395,48,35,47.03,44.23,135,33.1,32.938
8,Getafe,2019,54,0.368,43,37,45.19,43.02,175,33.2,38.0
15,Getafe,2020,38,0.237,28,43,35.62,40.4,170,43.4,30.375
15,Levante,2014,37,0.237,34,67,35.3,60.27,43,14.9,6.812
20,Levante,2015,32,0.211,37,70,39.22,63.55,53,21.9,7.938
15,Levante,2017,46,0.289,44,58,44.2,65.12,61,22.4,10.125
15,Levante,2018,44,0.289,59,66,54.09,78.86,108,36.6,16.75
12,Levante,2019,49,0.368,47,53,49.43,64.25,90,23.3,16.438
14,Levante,2020,41,0.237,46,57,40.93,55.13,112,34.9,16.188
16,Eibar,2014,35,0.237,34,55,29.56,53.72,29,7.0,8.125
13,Eibar,2015,43,0.289,49,61,52.92,50.58,56,20.5,11.562
10,Eibar,2016,54,0.395,56,51,42.98,45.17,70,22.4,15.875
9,Eibar,2017,51,0.368,44,50,41.42,45.53,60,16.5,14.062
12,Eibar,2018,47,0.289,46,50,56.63,47.88,96,22.2,21.5
14,Eibar,2019,42,0.289,39,56,42.35,54.33,53,11.4,13.125
20,Eibar,2020,30,0.158,29,52,42.45,48.84,83,34.5,15.438
17,Deportivo La Coruna,2014,35,0.184,35,60,37.87,50.98,53,14.4,12.5
15,Deportivo La Coruna,2015,42,0.211,45,61,43.75,52.37,61,16.0,11.875
16,Deportivo La Coruna,2016,36,0.211,43,61,41.0,48.6,94,32.4,17.125
18,Deportivo La Coruna,2017,29,0.158,38,76,49.78,60.87,66,20.3,13.562
18,Granada,2014,35,0.184,29,64,37.39,54.28,67,17.6,19.25
17,Granada,2015,39,0.263,46,69,41.35,62.37,71,26.6,12.625
20,Granada,2016,20,0.105,30,82,29.69,74.03,69,19.7,13.812
7,Granada,2019,56,0.421,52,45,45.02,43.44,56,12.8,14.625
10,Granada,2020,46,0.342,47,65,41.05,59.82,122,29.9,24.312
19,Almeria,2014,32,0.211,35,64,38.67,58.87,38,10.0,7.875
20,Cordoba,2014,20,0.079,22,68,29.76,57.34,50,21.5,6.562
10,Real Betis,2015,45,0.289,34,52,40.11,64.39,56,13.9,12.188
15,Real Betis,2016,39,0.263,41,64,35.72,48.27,88,15.3,21.812
6,Real Betis,2017,60,0.474,60,61,46.72,49.76,132,29.1,35.188
10,Real Betis,2018,50,0.368,44,52,51.68,53.54,303,59.3,67.438
15,Real Betis,2019,41,0.263,48,60,48.9,56.3,244,49.5,58.688
6,Real Betis,2020,61,0.447,50,50,49.77,47.51,207,47.2,45.875
12,Las Palmas,2015,44,0.316,45,53,38.68,59.24,32,7.8,6.0
14,Las Palmas,2016,39,0.263,53,74,40.8,58.39,84,16.8,18.25
19,Las Palmas,2017,22,0.132,24,74,37.88,74.43,91,40.0,12.875
16,Sporting Gijon,2015,39,0.263,40,62,42.57,60.62,53,15.0,9.0
18,Sporting Gijon,2016,31,0.184,42,72,36.35,64.43,47,15.4,11.375
9,Alaves,2016,55,0.368,41,43,42.6,43.97,85,15.8,22.5
14,Alaves,2017,47,0.395,40,50,37.88,58.2,74,25.3,14.562
11,Alaves,2018,50,0.342,39,50,40.87,54.53,114,33.8,30.75
16,Alaves,2019,39,0.263,34,59,38.15,57.93,106,25.0,28.75
16,Alaves,2020,38,0.237,36,57,39.11,51.55,79,26.5,18.562
17,Leganes,2016,35,0.211,36,55,33.19,46.39,53,16.6,9.625
17,Leganes,2017,43,0.316,34,51,39.26,48.77,58,14.4,11.625
13,Leganes,2018,45,0.289,37,43,41.25,43.94,112,35.0,23.0
18,Leganes,2019,36,0.211,30,51,38.92,45.62,109,41.0,18.0
19,Osasuna,2016,22,0.105,40,94,33.13,64.82,42,15.4,6.25
10,Osasuna,2019,52,0.342,46,54,49.04,49.58,62,22.7,13.438
11,Osasuna,2020,44,0.289,37,48,39.61,49.83,96,36.2,18.25
10,Girona,2017,51,0.368,50,59,52.1,51.6,81,20.2,24.0
18,Girona,2018,37,0.237,37,53,42.99,55.33,97,27.1,24.562
17,Real Valladolid,2018,41,0.263,32,51,41.64,57.65,83,26.0,17.25
13,Real Valladolid,2019,42,0.237,32,43,35.66,53.94,87,20.6,23.0
19,Real Valladolid,2020,31,0.132,34,57,37.92,52.56,62,22.0,13.625
19,SD Huesca,2018,33,0.184,43,65,51.38,63.43,61,24.6,10.5
18,SD Huesca,2020,34,0.184,34,53,37.98,48.64,64,20.3,15.562
19,Mallorca,2019,33,0.237,40,65,40.46,65.17,64,28.1,12.562
12,Cadiz,2020,44,0.289,36,58,36.7,58.91,47,13.3,8.938
