Team,Value
Manchester City,1040.0
Manchester Utd.,937.25
Chelsea,882.50
FC Liverpool,879.50
Tottenham,697.00
Leicester City,550.10
FC Arsenal,548.50
FC Everton,461.75
Aston Villa,408.30
Wolverhampton,391.10
West Ham Utd.,354.75
Leeds United,250.80
Brighton,248.10
Newcastle Utd.,241.40
FC Southampton,241.30
Crystal Palace,239.45
Norwich,189.55
Brentford,166.45
Burnley FC,145.30
Watford,133.00
