Positions,Âge,Valeur marchande (millions),Valeur marchande moyenne (millions),Years,Crew
Total,"23,38",619.25,14.74,2020, arsenal
Gardien,"26,00",32.5,6.5,2014,manchester united
Défense,"22,38",122.6,7.66,2014,manchester united
Milieu de terrain,"24,73",108.5,9.86,2014,manchester united
Attaquant,"24,27",241.8,21.98,2014,manchester united
Total,"23,88",505.4,11.75,2014,manchester united
Gardien,"24,00",48.75,8.13,2015,manchester united
Défense,"21,65",133.5,7.85,2015,manchester united
Milieu de terrain,"23,46",131.6,10.12,2015,manchester united
Attaquant,"21,75",126.0,15.75,2015,manchester united
Total,"22,52",439.85,10.0,2015,manchester united
Gardien,"22,67",47.2,7.87,2016,manchester united
Défense,"23,36",156.25,11.16,2016,manchester united
Milieu de terrain,"24,21",227.0,16.21,2016,manchester united
Attaquant,"22,75",101.0,12.63,2016,manchester united
Total,"23,43",531.45,12.65,2016,manchester united
Gardien,"25,25",78.5,19.63,2017,manchester united
Défense,"24,54",185.0,14.23,2017,manchester united
Milieu de terrain,"25,27",280.0,25.45,2017,manchester united
Attaquant,"25,57",306.0,43.71,2017,manchester united
Total,"25,06",849.5,24.27,2017,manchester united
Gardien,"28,75",70.1,17.53,2018,manchester united
Défense,"24,29",197.0,14.07,2018,manchester united
Milieu de terrain,"24,45",279.0,25.36,2018,manchester united
Attaquant,"21,71",251.5,35.93,2018,manchester united
Total,"24,33",797.6,22.16,2018,manchester united
Gardien,"27,60",44.13,8.83,2019,manchester united
Défense,"22,41",215.1,12.65,2019,manchester united
Milieu de terrain,"22,92",235.78,18.14,2019,manchester united
Attaquant,"20,88",175.45,21.93,2019,manchester united
Total,"22,88",670.45,15.59,2019,manchester united
Gardien,"27,67",41.85,6.98,2020,manchester united
Défense,"22,92",218.0,16.77,2020,manchester united
Milieu de terrain,"25,10",274.9,27.49,2020,manchester united
Attaquant,"21,90",235.3,23.53,2020,manchester united
Total,"23,95",770.05,19.74,2020,manchester united
Gardien,"27,80",25.75,5.15,2014,tottenham hotspur
Défense,"24,07",104.1,6.94,2014,tottenham hotspur
Milieu de terrain,"21,43",89.0,6.36,2014,tottenham hotspur
Attaquant,"24,38",85.3,10.66,2014,tottenham hotspur
Total,"23,69",304.15,7.24,2014,tottenham hotspur
Gardien,"26,00",29.0,9.67,2015,tottenham hotspur
Défense,"23,00",127.5,10.63,2015,tottenham hotspur
Milieu de terrain,"21,50",94.35,9.44,2015,tottenham hotspur
Attaquant,"22,50",121.0,20.17,2015,tottenham hotspur
Total,"22,71",371.85,12.0,2015,tottenham hotspur
Gardien,"23,80",29.6,5.92,2016,tottenham hotspur
Défense,"23,75",184.85,15.4,2016,tottenham hotspur
Milieu de terrain,"22,58",187.2,15.6,2016,tottenham hotspur
Attaquant,"20,67",142.0,15.78,2016,tottenham hotspur
Total,"22,66",543.65,14.31,2016,tottenham hotspur
Gardien,"26,50",28.5,7.13,2017,tottenham hotspur
Défense,"23,67",266.0,22.17,2017,tottenham hotspur
Milieu de terrain,"22,60",264.1,26.41,2017,tottenham hotspur
Attaquant,"23,88",271.0,33.88,2017,tottenham hotspur
Total,"23,74",829.6,24.4,2017,tottenham hotspur
Gardien,"27,50",28.0,7.0,2018,tottenham hotspur
Défense,"24,08",286.0,23.83,2018,tottenham hotspur
Milieu de terrain,"23,30",280.1,28.01,2018,tottenham hotspur
Attaquant,"24,88",304.5,38.06,2018,tottenham hotspur
Total,"24,44",898.6,26.43,2018,tottenham hotspur
Gardien,"26,80",18.3,3.66,2019,tottenham hotspur
Défense,"23,69",186.7,14.36,2019,tottenham hotspur
Milieu de terrain,"22,64",334.7,30.43,2019,tottenham hotspur
Attaquant,"23,71",267.1,38.16,2019,tottenham hotspur
Total,"23,81",806.8,22.41,2019,tottenham hotspur
Gardien,"27,20",15.25,3.05,2020,tottenham hotspur
Défense,"24,38",165.2,12.71,2020,tottenham hotspur
Milieu de terrain,"21,31",213.8,16.45,2020,tottenham hotspur
Attaquant,"23,80",309.25,30.93,2020,tottenham hotspur
Total,"23,61",703.5,17.16,2020,tottenham hotspur
Gardien,"26,33",13.25,4.42,2014, liverpool
Défense,"24,82",97.0,8.82,2014, liverpool
Milieu de terrain,"22,82",108.5,9.86,2014, liverpool
Attaquant,"21,30",106.1,10.61,2014, liverpool
Total,"23,31",324.85,9.28,2014, liverpool
Gardien,"23,20",15.6,3.12,2015, liverpool
Défense,"22,94",106.85,6.29,2015, liverpool
Milieu de terrain,"23,00",134.35,11.2,2015, liverpool
Attaquant,"20,50",118.45,11.85,2015, liverpool
Total,"22,43",375.25,8.53,2015, liverpool
Gardien,"28,20",23.7,4.74,2016, liverpool
Défense,"23,27",103.75,9.43,2016, liverpool
Milieu de terrain,"22,92",168.1,12.93,2016, liverpool
Attaquant,"21,56",130.1,14.46,2016, liverpool
Total,"23,39",425.65,11.2,2016, liverpool
Gardien,"26,50",25.5,6.38,2017, liverpool
Défense,"23,50",203.5,16.96,2017, liverpool
Milieu de terrain,"23,80",275.0,27.5,2017, liverpool
Attaquant,"23,33",353.5,39.28,2017, liverpool
Total,"23,89",857.5,24.5,2017, liverpool
Gardien,"24,67",93.9,15.65,2018, liverpool
Défense,"23,40",336.5,33.65,2018, liverpool
Milieu de terrain,"24,09",285.0,25.91,2018, liverpool
Attaquant,"23,17",457.0,38.08,2018, liverpool
Total,"23,72",1170.0,30.06,2018, liverpool
Gardien,"25,50",88.35,11.04,2019, liverpool
Défense,"20,89",340.75,18.93,2019, liverpool
Milieu de terrain,"22,69",208.95,13.06,2019, liverpool
Attaquant,"21,64",364.6,26.04,2019, liverpool
Total,"22,25",1000.0,17.9,2019, liverpool
Gardien,"21,43",63.5,9.07,2020, liverpool
Défense,"22,31",302.5,23.27,2020, liverpool
Milieu de terrain,"24,83",240.15,20.01,2020, liverpool
Attaquant,"24,36",363.0,33.0,2020, liverpool
Total,"23,40",969.15,22.54,2020, liverpool
Gardien,"29,00",6.0,2.0,2014, southampton
Défense,"22,79",43.25,3.09,2014, southampton
Milieu de terrain,"25,20",43.5,4.35,2014, southampton
Attaquant,"25,89",43.15,4.79,2014, southampton
Total,"24,75",135.9,3.78,2014, southampton
Gardien,"23,75",8.5,2.13,2015, southampton
Défense,"22,00",66.28,3.31,2015, southampton
Milieu de terrain,"23,08",67.25,5.6,2015, southampton
Attaquant,"24,71",59.3,4.24,2015, southampton
Total,"23,16",201.33,4.03,2015, southampton
Gardien,"27,00",11.0,3.67,2016, southampton
Défense,"24,41",77.3,4.55,2016, southampton
Milieu de terrain,"21,60",62.75,6.28,2016, southampton
Attaquant,"23,50",122.0,8.71,2016, southampton
Total,"23,66",273.05,6.21,2016, southampton
Gardien,"26,00",15.0,5.0,2017, southampton
Défense,"25,47",66.1,4.41,2017, southampton
Milieu de terrain,"22,00",76.25,7.63,2017, southampton
Attaquant,"24,31",103.25,7.94,2017, southampton
Total,"24,29",260.6,6.36,2017, southampton
Gardien,"32,00",8.5,4.25,2018, southampton
Défense,"25,18",93.0,8.45,2018, southampton
Milieu de terrain,"24,42",104.5,8.71,2018, southampton
Attaquant,"26,25",153.0,12.75,2018, southampton
Total,"25,65",359.0,9.7,2018, southampton
Gardien,"30,20",7.05,1.41,2019, southampton
Défense,"25,36",67.55,6.14,2019, southampton
Milieu de terrain,"24,10",104.3,10.43,2019, southampton
Attaquant,"24,92",124.7,10.39,2019, southampton
Total,"25,53",303.6,7.99,2019, southampton
Gardien,"30,75",3.5,0.875,2020, southampton
Défense,"24,40",63.15,4.21,2020, southampton
Milieu de terrain,"25,44",162.7,18.08,2020, southampton
Attaquant,"25,18",107.55,9.78,2020, southampton
Total,"25,51",336.9,8.64,2020, southampton
Gardien,"29,00",5.5,1.83,2014,swansea city
Défense,"24,62",32.5,2.5,2014,swansea city
Milieu de terrain,"22,09",40.75,3.7,2014,swansea city
Attaquant,"24,78",52.0,5.78,2014,swansea city
Total,"24,25",130.75,3.63,2014,swansea city
Gardien,"27,75",10.0,2.5,2015,swansea city
Défense,"24,00",36.5,2.81,2015,swansea city
Milieu de terrain,"24,11",49.3,5.48,2015,swansea city
Attaquant,"25,40",50.0,5.0,2015,swansea city
Total,"24,83",145.8,4.05,2015,swansea city
Gardien,"30,00",11.75,2.94,2016,swansea city
Défense,"25,33",43.0,3.58,2016,swansea city
Milieu de terrain,"25,11",54.1,6.01,2016,swansea city
Attaquant,"25,58",48.25,4.02,2016,swansea city
Total,"25,86",157.1,4.25,2016,swansea city
Gardien,"29,33",8.5,2.83,2017,swansea city
Défense,"25,78",41.0,4.56,2017,swansea city
Milieu de terrain,"24,50",62.99,4.5,2017,swansea city
Attaquant,"24,70",53.0,5.3,2017,swansea city
Total,"25,28",165.49,4.6,2017,swansea city
Gardien,"25,67",2.6,0.867,2018,swansea city
Défense,"23,31",26.55,2.04,2018,swansea city
Milieu de terrain,"22,78",20.44,2.27,2018,swansea city
Attaquant,"24,79",42.95,3.07,2018,swansea city
Total,"23,90",92.54,2.37,2018,swansea city
Gardien,"24,80",4.7,0.94,2019,swansea city
Défense,"21,58",17.15,1.43,2019,swansea city
Milieu de terrain,"22,11",21.1,2.34,2019,swansea city
Attaquant,"24,77",19.15,1.47,2019,swansea city
Total,"23,18",62.1,1.59,2019,swansea city
Gardien,"23,40",10.75,2.15,2020,swansea city
Défense,"23,29",40.4,2.89,2020,swansea city
Milieu de terrain,"23,64",28.9,2.63,2020,swansea city
Attaquant,"24,45",16.7,1.52,2020,swansea city
Total,"23,71",96.75,2.36,2020,swansea city
Gardien,"28,67",17.0,5.67,2014,stoke city
Défense,"25,78",32.5,3.61,2014,stoke city
Milieu de terrain,"26,00",29.5,2.95,2014,stoke city
Attaquant,"26,75",31.5,3.94,2014,stoke city
Total,"26,40",110.5,3.68,2014,stoke city
Gardien,"26,00",10.25,2.56,2015,stoke city
Défense,"26,38",37.5,4.69,2015,stoke city
Milieu de terrain,"26,56",43.0,4.78,2015,stoke city
Attaquant,"26,20",56.25,5.63,2015,stoke city
Total,"26,32",147.0,4.74,2015,stoke city
Gardien,"28,20",17.25,3.45,2016,stoke city
Défense,"24,80",41.25,4.13,2016,stoke city
Milieu de terrain,"28,57",40.0,5.71,2016,stoke city
Attaquant,"24,92",87.5,7.29,2016,stoke city
Total,"26,12",186.0,5.47,2016,stoke city
Gardien,"27,67",23.5,7.83,2017,stoke city
Défense,"23,85",67.95,5.23,2017,stoke city
Milieu de terrain,"28,25",42.5,5.31,2017,stoke city
Attaquant,"24,00",58.5,5.32,2017,stoke city
Total,"25,23",192.45,5.5,2017,stoke city
Gardien,"28,00",15.7,5.23,2018,stoke city
Défense,"24,83",34.7,2.89,2018,stoke city
Milieu de terrain,"26,50",47.0,3.92,2018,stoke city
Attaquant,"25,89",31.9,3.54,2018,stoke city
Total,"25,92",129.3,3.59,2018,stoke city
Gardien,"25,75",7.08,1.77,2019,stoke city
Défense,"24,20",22.43,1.5,2019,stoke city
Milieu de terrain,"24,85",30.35,2.33,2019,stoke city
Attaquant,"25,44",23.08,2.56,2019,stoke city
Total,"24,83",82.93,2.02,2019,stoke city
Gardien,"25,17",8.1,1.35,2020,stoke city
Défense,"23,19",21.0,1.31,2020,stoke city
Milieu de terrain,"24,38",18.35,1.41,2020,stoke city
Attaquant,"24,36",23.85,2.17,2020,stoke city
Total,"24,07",71.3,1.55,2020,stoke city
Gardien,"28,00",3.0,0.75,2014,crystal palace
Défense,"26,55",24.75,2.25,2014,crystal palace
Milieu de terrain,"24,08",35.5,2.96,2014,crystal palace
Attaquant,"26,67",34.0,2.27,2014,crystal palace
Total,"26,02",97.25,2.32,2014,crystal palace
Gardien,"29,67",7.0,2.33,2015,crystal palace
Défense,"26,55",28.1,2.55,2015,crystal palace
Milieu de terrain,"23,73",44.25,4.02,2015,crystal palace
Attaquant,"25,54",56.35,4.33,2015,crystal palace
Total,"25,63",135.7,3.57,2015,crystal palace
Gardien,"29,50",12.25,3.06,2016,crystal palace
Défense,"24,62",52.58,4.04,2016,crystal palace
Milieu de terrain,"24,86",60.0,4.29,2016,crystal palace
Attaquant,"24,57",103.6,7.4,2016,crystal palace
Total,"25,11",228.43,5.08,2016,crystal palace
Gardien,"30,25",5.3,1.33,2017,crystal palace
Défense,"25,83",59.58,4.96,2017,crystal palace
Milieu de terrain,"23,92",69.5,5.79,2017,crystal palace
Attaquant,"22,85",86.35,6.64,2017,crystal palace
Total,"24,76",220.73,5.38,2017,crystal palace
Gardien,"28,20",10.3,2.06,2018,crystal palace
Défense,"26,27",91.15,8.29,2018,crystal palace
Milieu de terrain,"23,70",61.0,6.1,2018,crystal palace
Attaquant,"24,60",126.55,12.66,2018,crystal palace
Total,"25,36",289.0,8.03,2018,crystal palace
Gardien,"31,67",6.8,2.27,2019,crystal palace
Défense,"26,83",44.03,3.67,2019,crystal palace
Milieu de terrain,"24,67",52.3,5.81,2019,crystal palace
Attaquant,"23,78",86.2,9.58,2019,crystal palace
Total,"25,85",189.33,5.74,2019,crystal palace
Gardien,"31,25",5.3,1.33,2020,crystal palace
Défense,"27,07",43.5,2.9,2020,crystal palace
Milieu de terrain,"25,75",51.8,6.48,2020,crystal palace
Attaquant,"24,78",93.25,10.36,2020,crystal palace
Total,"26,67",193.85,5.38,2020,crystal palace
Gardien,"25,67",5.0,1.67,2014, everton
Défense,"24,85",57.25,4.4,2014, everton
Milieu de terrain,"22,17",45.75,3.81,2014, everton
Attaquant,"25,33",77.35,6.45,2014, everton
Total,"24,25",185.35,4.63,2014, everton
Gardien,"26,67",5.1,1.7,2015, everton
Défense,"24,00",87.5,6.25,2015, everton
Milieu de terrain,"23,45",60.0,5.45,2015, everton
Attaquant,"26,18",97.25,8.84,2015, everton
Total,"24,67",249.85,6.41,2015, everton
Gardien,"26,00",7.0,2.33,2016, everton
Défense,"24,75",64.25,5.35,2016, everton
Milieu de terrain,"24,80",104.0,10.4,2016, everton
Attaquant,"24,79",136.0,9.71,2016, everton
Total,"24,87",311.25,7.98,2016, everton
Gardien,"26,00",34.5,8.63,2017, everton
Défense,"24,56",91.5,5.72,2017, everton
Milieu de terrain,"23,08",125.25,9.63,2017, everton
Attaquant,"23,40",130.0,8.67,2017, everton
Total,"23,92",381.25,7.94,2017, everton
Gardien,"25,67",41.5,13.83,2018, everton
Défense,"25,93",149.1,9.94,2018, everton
Milieu de terrain,"23,90",153.0,15.3,2018, everton
Attaquant,"24,67",185.5,15.46,2018, everton
Total,"25,03",529.1,13.23,2018, everton
Gardien,"27,50",31.9,7.98,2019, everton
Défense,"25,18",103.9,9.45,2019, everton
Milieu de terrain,"24,67",108.7,12.08,2019, everton
Attaquant,"24,09",175.8,15.98,2019, everton
Total,"24,97",420.3,12.01,2019, everton
Gardien,"23,67",27.5,4.58,2020, everton
Défense,"21,93",142.5,10.18,2020, everton
Milieu de terrain,"24,75",147.2,12.27,2020, everton
Attaquant,"24,67",194.0,16.17,2020, everton
Total,"23,68",511.2,11.62,2020, everton
Gardien,"29,00",6.0,2.0,2014,west ham united
Défense,"22,79",43.25,3.09,2014,west ham united
Milieu de terrain,"25,20",43.5,4.35,2014,west ham united
Attaquant,"25,89",43.15,4.79,2014,west ham united
Total,"24,75",135.9,3.78,2014,west ham united
Gardien,"23,75",8.5,2.13,2015,west ham united
Défense,"22,00",66.28,3.31,2015,west ham united
Milieu de terrain,"23,08",67.25,5.6,2015,west ham united
Attaquant,"24,71",59.3,4.24,2015,west ham united
Total,"23,16",201.33,4.03,2015,west ham united
Gardien,"27,00",11.0,3.67,2016,west ham united
Défense,"24,41",77.3,4.55,2016,west ham united
Milieu de terrain,"21,60",62.75,6.28,2016,west ham united
Attaquant,"23,50",122.0,8.71,2016,west ham united
Total,"23,66",273.05,6.21,2016,west ham united
Gardien,"26,00",15.0,5.0,2017,west ham united
Défense,"25,47",66.1,4.41,2017,west ham united
Milieu de terrain,"22,00",76.25,7.63,2017,west ham united
Attaquant,"24,31",103.25,7.94,2017,west ham united
Total,"24,29",260.6,6.36,2017,west ham united
Gardien,"32,00",8.5,4.25,2018,west ham united
Défense,"25,18",93.0,8.45,2018,west ham united
Milieu de terrain,"24,42",104.5,8.71,2018,west ham united
Attaquant,"26,25",153.0,12.75,2018,west ham united
Total,"25,65",359.0,9.7,2018,west ham united
Gardien,"30,20",7.05,1.41,2019,west ham united
Défense,"25,36",67.55,6.14,2019,west ham united
Milieu de terrain,"24,10",104.3,10.43,2019,west ham united
Attaquant,"24,92",124.7,10.39,2019,west ham united
Total,"25,53",303.6,7.99,2019,west ham united
Gardien,"30,75",3.5,0.875,2020,west ham united
Défense,"24,40",63.15,4.21,2020,west ham united
Milieu de terrain,"25,44",162.7,18.08,2020,west ham united
Attaquant,"25,18",107.55,9.78,2020,west ham united
Total,"25,51",336.9,8.64,2020,west ham united
Gardien,"24,80",5.25,1.05,2014,west bromwich albion
Défense,"26,00",19.6,2.18,2014,west bromwich albion
Milieu de terrain,"26,91",29.6,2.69,2014,west bromwich albion
Attaquant,"23,78",41.5,4.61,2014,west bromwich albion
Total,"25,53",95.95,2.82,2014,west bromwich albion
Gardien,"26,60",7.6,1.52,2015,west bromwich albion
Défense,"27,30",29.5,2.95,2015,west bromwich albion
Milieu de terrain,"25,09",27.0,2.45,2015,west bromwich albion
Attaquant,"23,00",49.0,5.44,2015,west bromwich albion
Total,"25,40",113.1,3.23,2015,west bromwich albion
Gardien,"26,50",5.6,1.4,2016,west bromwich albion
Défense,"27,00",25.85,2.87,2016,west bromwich albion
Milieu de terrain,"26,33",28.75,3.19,2016,west bromwich albion
Attaquant,"25,25",63.0,7.88,2016,west bromwich albion
Total,"26,27",123.2,4.11,2016,west bromwich albion
Gardien,"29,33",4.0,1.33,2017,west bromwich albion
Défense,"24,73",43.35,3.94,2017,west bromwich albion
Milieu de terrain,"27,33",43.1,4.79,2017,west bromwich albion
Attaquant,"23,40",75.5,7.55,2017,west bromwich albion
Total,"25,45",165.95,5.03,2017,west bromwich albion
Gardien,"26,50",7.6,1.9,2018,west bromwich albion
Défense,"25,73",35.95,3.27,2018,west bromwich albion
Milieu de terrain,"27,10",31.1,3.11,2018,west bromwich albion
Attaquant,"24,42",71.0,5.92,2018,west bromwich albion
Total,"25,76",145.65,3.94,2018,west bromwich albion
Gardien,"27,75",6.0,1.5,2019,west bromwich albion
Défense,"24,36",23.5,2.14,2019,west bromwich albion
Milieu de terrain,"25,22",17.43,1.94,2019,west bromwich albion
Attaquant,"23,85",44.0,3.38,2019,west bromwich albion
