Positions,Âge,Valeur marchande (millions),Valeur marchande moyenne (millions),Years,Crew
Milieu de terrain,"24,17",83.4,6.95,2019,newcastle united
Attaquant,"24,10",66.9,6.69,2019,newcastle united
Total,"25,05",252.48,6.16,2019,newcastle united
Gardien,"26,00",18.65,3.73,2020,newcastle united
Défense,"27,20",60.5,6.05,2020,newcastle united
Milieu de terrain,"23,80",86.8,8.68,2020,newcastle united
Attaquant,"26,75",90.0,11.25,2020,newcastle united
Total,"25,88",255.95,7.76,2020,newcastle united
Gardien,"22,50",8.25,2.06,2014,a sunderland
Défense,"26,40",13.0,1.3,2014,a sunderland
Milieu de terrain,"24,36",40.5,3.68,2014,a sunderland
Attaquant,"24,44",29.25,3.25,2014,a sunderland
Total,"24,76",91.0,2.68,2014,a sunderland
Gardien,"26,80",8.25,1.65,2015,a sunderland
Défense,"25,21",26.0,1.86,2015,a sunderland
Milieu de terrain,"25,18",33.5,3.05,2015,a sunderland
Attaquant,"25,50",43.5,3.63,2015,a sunderland
Total,"25,48",111.25,2.65,2015,a sunderland
Gardien,"23,50",19.5,4.88,2016,a sunderland
Défense,"24,82",47.0,2.76,2016,a sunderland
Milieu de terrain,"23,33",22.25,2.47,2016,a sunderland
Attaquant,"24,67",43.25,3.6,2016,a sunderland
Total,"24,33",132.0,3.14,2016,a sunderland
Gardien,"27,00",3.0,0.75,2017,a sunderland
Défense,"24,07",29.25,1.95,2017,a sunderland
Milieu de terrain,"22,64",18.58,1.69,2017,a sunderland
Attaquant,"24,27",27.75,2.52,2017,a sunderland
Total,"24,02",78.58,1.92,2017,a sunderland
Gardien,"25,00",2.4,0.6,2018,a sunderland
Défense,"22,63",10.2,0.537,2018,a sunderland
Milieu de terrain,"22,80",7.6,0.76,2018,a sunderland
Attaquant,"21,93",12.2,0.813,2018,a sunderland
Total,"22,65",32.4,0.675,2018,a sunderland
Gardien,"25,33",0.425,0.142,2019,a sunderland
Défense,"24,57",4.68,0.334,2019,a sunderland
Milieu de terrain,"23,44",3.85,0.428,2019,a sunderland
Attaquant,"24,15",6.95,0.535,2019,a sunderland
Total,"24,23",15.9,0.408,2019,a sunderland
Gardien,"22,25",0.4,0.1,2020,a sunderland
Défense,"22,73",3.08,0.205,2020,a sunderland
Milieu de terrain,"23,00",3.3,0.3,2020,a sunderland
Attaquant,"26,00",4.8,0.4,2020,a sunderland
Total,"23,69",11.58,0.276,2020,a sunderland
Gardien,"29,33",6.5,2.17,2014,aston villa
Défense,"24,42",27.0,2.25,2014,aston villa
Milieu de terrain,"25,18",45.0,4.09,2014,aston villa
Attaquant,"22,25",35.75,2.98,2014,aston villa
Total,"24,34",114.25,3.01,2014,aston villa
Gardien,"25,00",4.5,0.9,2015,aston villa
Défense,"24,00",38.95,2.6,2015,aston villa
Milieu de terrain,"24,80",37.5,3.75,2015,aston villa
Attaquant,"21,50",37.0,2.64,2015,aston villa
Total,"23,50",117.95,2.68,2015,aston villa
Gardien,"23,20",6.0,1.2,2016,aston villa
Défense,"25,60",39.0,3.9,2016,aston villa
Milieu de terrain,"24,71",41.25,2.95,2016,aston villa
Attaquant,"23,14",58.5,4.18,2016,aston villa
Total,"24,23",144.75,3.37,2016,aston villa
Gardien,"24,75",3.6,0.9,2017,aston villa
Défense,"26,14",27.3,1.95,2017,aston villa
Milieu de terrain,"23,86",21.0,1.5,2017,aston villa
Attaquant,"24,50",45.0,3.75,2017,aston villa
Total,"24,84",96.9,2.2,2017,aston villa
Gardien,"25,83",12.65,2.11,2018,aston villa
Défense,"25,92",39.8,3.06,2018,aston villa
Milieu de terrain,"25,42",26.5,2.21,2018,aston villa
Attaquant,"24,00",85.5,7.13,2018,aston villa
Total,"25,23",164.45,3.82,2018,aston villa
Gardien,"28,83",10.75,1.79,2019,aston villa
Défense,"24,45",70.9,6.45,2019,aston villa
Milieu de terrain,"24,63",54.8,6.85,2019,aston villa
Attaquant,"22,92",95.25,7.33,2019,aston villa
Total,"24,66",231.7,6.1,2019,aston villa
Gardien,"25,86",35.5,5.07,2020,aston villa
Défense,"21,94",112.15,6.6,2020,aston villa
Milieu de terrain,"20,76",119.45,7.03,2020,aston villa
Attaquant,"22,92",163.65,13.64,2020,aston villa
Total,"22,30",430.75,8.13,2020,aston villa
Gardien,"28,20",2.4,0.48,2014,hull city
Défense,"26,00",26.2,2.18,2014,hull city
Milieu de terrain,"25,38",37.5,4.69,2014,hull city
Attaquant,"25,50",51.0,5.1,2014,hull city
Total,"26,03",117.1,3.35,2014,hull city
Gardien,"28,00",2.85,0.713,2015,hull city
Défense,"24,90",25.85,2.59,2015,hull city
Milieu de terrain,"24,89",22.0,2.44,2015,hull city
Attaquant,"24,00",19.28,2.41,2015,hull city
Total,"25,06",69.98,2.26,2015,hull city
Gardien,"29,00",6.0,1.2,2016,hull city
Défense,"24,46",40.85,3.14,2016,hull city
Milieu de terrain,"24,54",38.5,2.96,2016,hull city
Attaquant,"24,45",50.5,4.59,2016,hull city
Total,"25,02",135.85,3.23,2016,hull city
Gardien,"24,60",3.1,0.62,2017,hull city
Défense,"22,21",13.75,0.982,2017,hull city
Milieu de terrain,"22,75",26.35,1.65,2017,hull city
Attaquant,"23,64",27.25,2.48,2017,hull city
Total,"23,00",70.45,1.53,2017,hull city
Gardien,"24,50",1.9,0.475,2018,hull city
Défense,"24,58",14.0,1.17,2018,hull city
Milieu de terrain,"23,00",17.0,1.89,2018,hull city
Attaquant,"25,89",22.5,2.5,2018,hull city
Total,"24,50",55.4,1.63,2018,hull city
Gardien,"23,67",0.95,0.317,2019,hull city
Défense,"23,55",9.65,0.877,2019,hull city
Milieu de terrain,"22,08",14.88,1.14,2019,hull city
Attaquant,"22,92",24.4,1.88,2019,hull city
Total,"22,88",49.88,1.25,2019,hull city
Gardien,"22,00",0.85,0.213,2020,hull city
Défense,"21,50",5.85,0.418,2020,hull city
Milieu de terrain,"21,67",3.9,0.325,2020,hull city
Attaquant,"22,33",4.98,0.415,2020,hull city
Total,"21,83",15.58,0.371,2020,hull city
Gardien,"28,33",3.25,1.08,2014, burnley
Défense,"25,73",12.75,1.16,2014, burnley
Milieu de terrain,"26,00",16.05,1.78,2014, burnley
Attaquant,"23,43",20.5,2.93,2014, burnley
Total,"25,53",52.55,1.75,2014, burnley
Gardien,"27,20",3.75,0.75,2015, burnley
Défense,"24,50",13.1,1.09,2015, burnley
Milieu de terrain,"29,50",10.75,1.34,2015, burnley
Attaquant,"24,40",28.9,2.89,2015, burnley
Total,"26,00",56.5,1.61,2015, burnley
Gardien,"30,00",5.0,1.67,2016, burnley
Défense,"25,00",35.25,3.53,2016, burnley
Milieu de terrain,"26,91",34.35,3.12,2016, burnley
Attaquant,"23,92",32.58,2.71,2016, burnley
Total,"25,64",107.18,2.98,2016, burnley
Gardien,"29,75",14.75,3.69,2017, burnley
Défense,"27,29",42.0,6.0,2017, burnley
Milieu de terrain,"26,44",51.3,5.7,2017, burnley
Attaquant,"25,60",61.25,6.13,2017, burnley
Total,"26,80",169.3,5.64,2017, burnley
Gardien,"30,80",19.75,3.95,2018, burnley
Défense,"25,90",56.0,5.6,2018, burnley
Milieu de terrain,"25,14",45.5,6.5,2018, burnley
Attaquant,"27,64",76.0,6.91,2018, burnley
Total,"27,06",197.25,5.98,2018, burnley
Gardien,"26,60",13.38,2.68,2019, burnley
Défense,"25,42",49.2,4.1,2019, burnley
Milieu de terrain,"24,33",41.6,4.62,2019, burnley
Attaquant,"25,33",59.7,6.63,2019, burnley
Total,"25,29",163.88,4.68,2019, burnley
Gardien,"25,67",16.4,5.47,2020, burnley
Défense,"26,50",48.55,4.05,2020, burnley
Milieu de terrain,"24,44",23.55,2.62,2020, burnley
Attaquant,"25,50",43.8,5.48,2020, burnley
Total,"25,59",132.3,4.13,2020, burnley
Gardien,"29,67",4.0,1.33,2014,queens park rangers
Défense,"25,20",36.2,2.41,2014,queens park rangers
Milieu de terrain,"23,29",32.05,2.29,2014,queens park rangers
Attaquant,"26,00",40.0,4.44,2014,queens park rangers
Total,"25,05",112.25,2.74,2014,queens park rangers
Gardien,"22,50",2.9,0.483,2015,queens park rangers
Défense,"25,42",23.2,1.93,2015,queens park rangers
Milieu de terrain,"23,78",24.65,1.37,2015,queens park rangers
Attaquant,"23,89",27.75,3.08,2015,queens park rangers
Total,"24,07",78.5,1.74,2015,queens park rangers
Gardien,"23,00",2.9,0.967,2016,queens park rangers
Défense,"22,83",15.3,1.28,2016,queens park rangers
Milieu de terrain,"23,29",15.6,0.918,2016,queens park rangers
Attaquant,"24,00",13.6,1.24,2016,queens park rangers
Total,"23,33",47.4,1.1,2016,queens park rangers
Gardien,"23,50",3.5,0.875,2017,queens park rangers
Défense,"24,36",10.7,0.973,2017,queens park rangers
Milieu de terrain,"22,77",12.75,0.981,2017,queens park rangers
Attaquant,"23,92",11.95,0.996,2017,queens park rangers
Total,"23,63",38.9,0.973,2017,queens park rangers
Gardien,"22,25",1.15,0.288,2018,queens park rangers
Défense,"23,53",9.4,0.627,2018,queens park rangers
Milieu de terrain,"22,85",16.98,1.31,2018,queens park rangers
Attaquant,"23,58",12.2,1.02,2018,queens park rangers
Total,"23,23",39.73,0.903,2018,queens park rangers
Gardien,"23,50",1.5,0.375,2019,queens park rangers
Défense,"24,83",9.13,0.76,2019,queens park rangers
Milieu de terrain,"22,40",15.33,1.53,2019,queens park rangers
Attaquant,"22,73",18.95,1.72,2019,queens park rangers
Total,"23,41",44.9,1.21,2019,queens park rangers
Gardien,"23,20",1.8,0.36,2020,queens park rangers
Défense,"24,20",9.25,0.925,2020,queens park rangers
Milieu de terrain,"23,58",11.95,0.996,2020,queens park rangers
Attaquant,"23,45",13.85,1.26,2020,queens park rangers
Total,"23,66",36.85,0.97,2020,queens park rangers
Gardien,"27,00",1.35,0.45,2014, watford
Défense,"24,75",16.85,1.05,2014, watford
Milieu de terrain,"26,15",13.05,1.0,2014, watford
Attaquant,"22,75",13.28,1.66,2014, watford
Total,"24,98",44.53,1.11,2014, watford
Gardien,"27,40",7.25,1.45,2015, watford
Défense,"26,38",38.0,2.92,2015, watford
Milieu de terrain,"27,75",38.5,3.21,2015, watford
Attaquant,"24,00",53.25,5.92,2015, watford
Total,"26,38",137.0,3.51,2015, watford
Gardien,"30,25",5.25,1.31,2016, watford
Défense,"26,00",38.0,2.53,2016, watford
Milieu de terrain,"26,23",67.5,5.19,2016, watford
Attaquant,"23,86",64.9,4.64,2016, watford
Total,"25,78",175.65,3.82,2016, watford
Gardien,"29,75",5.75,1.44,2017, watford
Défense,"27,23",39.75,3.06,2017, watford
Milieu de terrain,"24,78",66.0,7.33,2017, watford
Attaquant,"23,64",84.5,7.68,2017, watford
Total,"25,84",196.0,5.3,2017, watford
Gardien,"28,50",5.5,1.38,2018, watford
Défense,"26,67",52.4,3.49,2018, watford
Milieu de terrain,"24,11",86.7,9.63,2018, watford
Attaquant,"22,82",94.5,8.59,2018, watford
Total,"25,18",239.1,6.13,2018, watford
Gardien,"27,40",2.9,0.58,2019, watford
Défense,"26,92",35.6,2.74,2019, watford
Milieu de terrain,"23,25",65.95,5.5,2019, watford
Attaquant,"22,69",95.15,7.32,2019, watford
Total,"24,67",199.6,4.64,2019, watford
Gardien,"29,00",1.55,0.388,2020, watford
Défense,"24,50",30.4,2.17,2020, watford
Milieu de terrain,"24,83",31.2,2.6,2020, watford
Attaquant,"23,87",50.4,3.36,2020, watford
Total,"24,78",113.55,2.52,2020, watford
Gardien,"28,80",2.0,0.4,2014,a bournemouth
Défense,"25,92",7.68,0.64,2014,a bournemouth
Milieu de terrain,"22,25",3.85,0.481,2014,a bournemouth
Attaquant,"23,50",12.0,0.857,2014,a bournemouth
Total,"24,67",25.53,0.654,2014,a bournemouth
Gardien,"24,80",2.3,0.46,2015,a bournemouth
Défense,"24,28",26.25,1.46,2015,a bournemouth
Milieu de terrain,"24,00",7.1,1.01,2015,a bournemouth
Attaquant,"23,68",64.25,3.38,2015,a bournemouth
Total,"24,06",99.9,2.04,2015,a bournemouth
Gardien,"25,60",2.75,0.55,2016,a bournemouth
Défense,"23,36",33.75,2.41,2016,a bournemouth
Milieu de terrain,"22,10",33.5,3.35,2016,a bournemouth
Attaquant,"23,50",61.6,5.13,2016,a bournemouth
Total,"23,37",131.6,3.21,2016,a bournemouth
Gardien,"28,60",10.5,2.1,2017,a bournemouth
Défense,"24,73",39.25,3.57,2017,a bournemouth
Milieu de terrain,"22,75",34.25,4.28,2017,a bournemouth
Attaquant,"25,18",60.5,5.5,2017,a bournemouth
Total,"24,97",144.5,4.13,2017,a bournemouth
Gardien,"27,00",9.0,2.25,2018,a bournemouth
Défense,"25,73",93.5,8.5,2018,a bournemouth
Milieu de terrain,"23,10",59.9,5.99,2018,a bournemouth
Attaquant,"24,33",147.6,12.3,2018,a bournemouth
Total,"24,70",310.0,8.38,2018,a bournemouth
Gardien,"24,50",13.15,3.29,2019,a bournemouth
Défense,"24,08",75.3,5.79,2019,a bournemouth
Milieu de terrain,"23,22",54.33,6.04,2019,a bournemouth
Attaquant,"23,85",129.4,9.95,2019,a bournemouth
Total,"23,85",272.18,6.98,2019,a bournemouth
Gardien,"24,33",2.6,0.867,2020,a bournemouth
Défense,"23,60",36.55,3.66,2020,a bournemouth
Milieu de terrain,"24,30",42.65,4.27,2020,a bournemouth
Attaquant,"22,91",52.95,4.81,2020,a bournemouth
Total,"23,65",134.75,3.96,2020,a bournemouth
Gardien,"24,75",5.6,1.4,2014,norwich city
Défense,"24,73",21.15,1.41,2014,norwich city
Milieu de terrain,"24,80",31.75,2.12,2014,norwich city
Attaquant,"23,10",18.1,1.81,2014,norwich city
Total,"24,39",76.6,1.74,2014,norwich city
Gardien,"24,25",5.85,1.46,2015,norwich city
Défense,"26,40",28.25,2.83,2015,norwich city
Milieu de terrain,"26,00",37.25,2.66,2015,norwich city
Attaquant,"24,92",45.55,3.5,2015,norwich city
Total,"25,59",116.9,2.85,2015,norwich city
Gardien,"27,40",4.95,0.99,2016,norwich city
Défense,"25,83",27.0,2.25,2016,norwich city
Milieu de terrain,"25,33",32.15,2.68,2016,norwich city
Attaquant,"23,73",25.6,2.33,2016,norwich city
Total,"25,30",89.7,2.24,2016,norwich city
Gardien,"26,75",2.85,0.713,2017,norwich city
Défense,"24,40",16.85,1.69,2017,norwich city
Milieu de terrain,"24,29",29.53,2.11,2017,norwich city
Attaquant,"25,40",19.5,1.95,2017,norwich city
Total,"24,87",68.73,1.81,2017,norwich city
Gardien,"27,67",3.4,1.13,2018,norwich city
Défense,"23,46",35.25,2.71,2018,norwich city
Milieu de terrain,"25,20",16.75,1.68,2018,norwich city
Attaquant,"25,64",30.9,2.81,2018,norwich city
Total,"24,92",86.3,2.33,2018,norwich city
Gardien,"28,25",5.9,1.48,2019,norwich city
Défense,"23,25",52.93,4.41,2019,norwich city
Milieu de terrain,"25,83",54.55,4.55,2019,norwich city
Attaquant,"23,00",32.03,3.2,2019,norwich city
Total,"24,53",145.4,3.83,2019,norwich city
Gardien,"26,17",4.1,0.683,2020,norwich city
Défense,"23,36",73.58,5.26,2020,norwich city
Milieu de terrain,"25,00",41.7,2.98,2020,norwich city
Attaquant,"22,00",38.6,3.86,2020,norwich city
Total,"23,95",157.98,3.59,2020,norwich city
Gardien,"25,25",0.975,0.244,2014, middlesbrough
Défense,"23,82",16.6,0.976,2014, middlesbrough
Milieu de terrain,"23,75",9.2,1.15,2014, middlesbrough
Attaquant,"22,82",17.1,1.55,2014, middlesbrough
Total,"23,68",43.88,1.1,2014, middlesbrough
Gardien,"28,50",1.5,0.375,2015, middlesbrough
Défense,"25,27",18.1,1.21,2015, middlesbrough
Milieu de terrain,"23,55",24.1,2.19,2015, middlesbrough
Attaquant,"26,22",27.25,3.03,2015, middlesbrough
Total,"25,33",70.95,1.82,2015, middlesbrough
Gardien,"30,40",3.8,0.76,2016, middlesbrough
Défense,"24,82",36.5,3.32,2016, middlesbrough
Milieu de terrain,"26,22",35.0,3.89,2016, middlesbrough
Attaquant,"25,90",53.5,5.35,2016, middlesbrough
Total,"26,29",128.8,3.68,2016, middlesbrough
Gardien,"27,80",5.1,1.02,2017, middlesbrough
Défense,"25,22",23.5,2.61,2017, middlesbrough
Milieu de terrain,"26,17",45.0,3.75,2017, middlesbrough
Attaquant,"22,63",45.1,5.64,2017, middlesbrough
Total,"25,32",118.7,3.49,2017, middlesbrough
Gardien,"34,67",4.85,1.62,2018, middlesbrough
Défense,"22,86",31.23,2.23,2018, middlesbrough
Milieu de terrain,"25,69",32.0,2.46,2018, middlesbrough
Attaquant,"22,73",33.25,3.02,2018, middlesbrough
Total,"24,59",101.33,2.47,2018, middlesbrough
Gardien,"25,20",4.83,0.965,2019, middlesbrough
Défense,"22,83",22.1,1.84,2019, middlesbrough
Milieu de terrain,"23,82",16.25,1.48,2019, middlesbrough
Attaquant,"22,57",16.95,2.42,2019, middlesbrough
Total,"23,43",60.13,1.72,2019, middlesbrough
Gardien,"24,40",4.45,0.89,2020, middlesbrough
Défense,"22,08",20.8,1.73,2020, middlesbrough
Milieu de terrain,"23,36",14.8,1.35,2020, middlesbrough
Attaquant,"23,54",17.3,1.33,2020, middlesbrough
Total,"23,17",57.35,1.4,2020, middlesbrough
Gardien,"28,00",2.35,0.588,2014,brighton amp hove albion
Défense,"27,00",5.6,0.56,2014,brighton amp hove albion
Milieu de terrain,"23,00",10.35,0.739,2014,brighton amp hove albion
Attaquant,"25,00",15.8,1.13,2014,brighton amp hove albion
Total,"25,10",34.1,0.812,2014,brighton amp hove albion
Gardien,"28,25",2.15,0.538,2015,brighton amp hove albion
Défense,"27,64",11.7,1.06,2015,brighton amp hove albion
Milieu de terrain,"24,90",8.25,0.825,2015,brighton amp hove albion
Attaquant,"24,58",18.75,1.56,2015,brighton amp hove albion
Total,"25,97",40.85,1.1,2015,brighton amp hove albion
Gardien,"29,25",2.65,0.663,2016,brighton amp hove albion
Défense,"24,40",17.9,1.19,2016,brighton amp hove albion
Milieu de terrain,"26,13",12.45,1.56,2016,brighton amp hove albion
Attaquant,"25,18",23.6,2.15,2016,brighton amp hove albion
Total,"25,50",56.6,1.49,2016,brighton amp hove albion
Gardien,"26,75",11.0,2.75,2017,brighton amp hove albion
Défense,"28,10",35.75,3.58,2017,brighton amp hove albion
Milieu de terrain,"24,23",42.7,3.28,2017,brighton amp hove albion
Attaquant,"25,08",58.75,4.9,2017,brighton amp hove albion
Total,"25,74",148.2,3.8,2017,brighton amp hove albion
Gardien,"24,80",13.25,2.65,2018,brighton amp hove albion
Défense,"26,46",53.4,4.11,2018,brighton amp hove albion
Milieu de terrain,"23,17",65.2,5.43,2018,brighton amp hove albion
Attaquant,"24,55",62.5,5.68,2018,brighton amp hove albion
Total,"24,78",194.35,4.74,2018,brighton amp hove albion
Gardien,"28,33",9.8,3.27,2019,brighton amp hove albion
Défense,"24,07",58.8,3.92,2019,brighton amp hove albion
Milieu de terrain,"22,81",71.8,4.49,2019,brighton amp hove albion
Attaquant,"23,36",60.38,5.49,2019,brighton amp hove albion
Total,"23,73",200.78,4.46,2019,brighton amp hove albion
Gardien,"24,60",15.6,3.12,2020,brighton amp hove albion
Défense,"22,73",120.75,8.05,2020,brighton amp hove albion
Milieu de terrain,"23,29",88.1,6.29,2020,brighton amp hove albion
Attaquant,"23,58",65.95,5.5,2020,brighton amp hove albion
Total,"23,33",290.4,6.31,2020,brighton amp hove albion
Gardien,"25,33",0.9,0.3,2014,huddersfield town
Défense,"23,00",7.35,0.459,2014,huddersfield town
Milieu de terrain,"21,27",6.15,0.559,2014,huddersfield town
Attaquant,"24,46",8.2,0.631,2014,huddersfield town
Total,"23,16",22.6,0.526,2014,huddersfield town
Gardien,"24,20",2.3,0.46,2015,huddersfield town
Défense,"23,50",4.95,0.413,2015,huddersfield town
Milieu de terrain,"21,58",9.25,0.771,2015,huddersfield town
Attaquant,"24,58",10.85,0.904,2015,huddersfield town
Total,"23,34",27.35,0.667,2015,huddersfield town
Gardien,"24,50",2.9,0.725,2016,huddersfield town
Défense,"26,25",8.75,1.09,2016,huddersfield town
Milieu de terrain,"22,64",9.7,0.882,2016,huddersfield town
Attaquant,"23,44",18.0,2.0,2016,huddersfield town
Total,"24,00",39.35,1.23,2016,huddersfield town
Gardien,"25,75",5.85,1.46,2017,huddersfield town
Défense,"24,73",35.85,3.26,2017,huddersfield town
Milieu de terrain,"23,91",31.6,2.87,2017,huddersfield town
Attaquant,"24,89",32.75,3.64,2017,huddersfield town
Total,"24,63",106.05,3.03,2017,huddersfield town
Gardien,"24,75",6.1,1.53,2018,huddersfield town
Défense,"25,38",41.0,5.13,2018,huddersfield town
Milieu de terrain,"23,67",45.35,3.78,2018,huddersfield town
Attaquant,"24,00",45.0,5.0,2018,huddersfield town
Total,"24,30",137.45,4.17,2018,huddersfield town
Gardien,"22,00",8.15,1.63,2019,huddersfield town
Défense,"24,31",22.98,1.77,2019,huddersfield town
Milieu de terrain,"22,31",26.2,2.02,2019,huddersfield town
Attaquant,"23,15",30.75,2.37,2019,huddersfield town
Total,"23,11",88.08,2.0,2019,huddersfield town
Gardien,"26,75",1.3,0.325,2020,huddersfield town
Défense,"23,25",9.95,0.622,2020,huddersfield town
Milieu de terrain,"22,00",19.55,1.4,2020,huddersfield town
Attaquant,"22,73",15.3,1.02,2020,huddersfield town
Total,"23,02",46.1,0.941,2020,huddersfield town
Gardien,"25,25",1.6,0.4,2014,wolverhampton wanderers
Défense,"23,00",5.15,0.515,2014,wolverhampton wanderers
Milieu de terrain,"23,17",4.65,0.775,2014,wolverhampton wanderers
Attaquant,"23,12",16.05,0.944,2014,wolverhampton wanderers
Total,"23,32",27.45,0.742,2014,wolverhampton wanderers
Gardien,"23,50",2.35,0.588,2015,wolverhampton wanderers
Défense,"22,83",9.0,0.75,2015,wolverhampton wanderers
Milieu de terrain,"22,89",5.78,0.642,2015,wolverhampton wanderers
Attaquant,"22,61",22.1,1.23,2015,wolverhampton wanderers
Total,"22,81",39.23,0.912,2015,wolverhampton wanderers
Gardien,"24,00",1.3,0.26,2016,wolverhampton wanderers
Défense,"23,54",17.0,1.31,2016,wolverhampton wanderers
Milieu de terrain,"22,78",7.75,0.861,2016,wolverhampton wanderers
Attaquant,"22,29",33.83,1.99,2016,wolverhampton wanderers
Total,"22,95",59.88,1.36,2016,wolverhampton wanderers
Gardien,"24,60",3.75,0.75,2017,wolverhampton wanderers
Défense,"23,50",28.7,1.79,2017,wolverhampton wanderers
Milieu de terrain,"22,56",24.0,2.67,2017,wolverhampton wanderers
Attaquant,"21,79",53.0,3.79,2017,wolverhampton wanderers
Total,"22,89",109.45,2.49,2017,wolverhampton wanderers
Gardien,"25,20",23.35,4.67,2018,wolverhampton wanderers
Défense,"24,07",79.4,5.67,2018,wolverhampton wanderers
Milieu de terrain,"21,22",81.75,9.08,2018,wolverhampton wanderers
Attaquant,"22,42",118.4,9.87,2018,wolverhampton wanderers
Total,"23,08",302.9,7.57,2018,wolverhampton wanderers
Gardien,"26,50",18.25,4.56,2019,wolverhampton wanderers
Défense,"22,93",86.25,5.75,2019,wolverhampton wanderers
Milieu de terrain,"20,53",81.13,5.41,2019,wolverhampton wanderers
Attaquant,"21,60",134.7,13.47,2019,wolverhampton wanderers
Total,"22,14",320.33,7.28,2019,wolverhampton wanderers
Gardien,"26,50",11.1,2.78,2020,wolverhampton wanderers
Défense,"22,73",128.6,8.57,2020,wolverhampton wanderers
Milieu de terrain,"21,89",94.8,10.53,2020,wolverhampton wanderers
Attaquant,"22,60",215.8,21.58,2020,wolverhampton wanderers
Total,"22,89",450.3,11.85,2020,wolverhampton wanderers
Gardien,"25,00",3.2,0.8,2014,cardiff city
Défense,"23,75",23.55,1.18,2014,cardiff city
Milieu de terrain,"22,92",19.28,1.48,2014,cardiff city
Attaquant,"25,13",18.3,1.22,2014,cardiff city
Total,"24,04",64.33,1.24,2014,cardiff city
Gardien,"26,00",3.15,0.788,2015,cardiff city
Défense,"24,25",15.75,1.31,2015,cardiff city
Milieu de terrain,"25,00",11.3,1.26,2015,cardiff city
Attaquant,"24,40",22.3,1.49,2015,cardiff city
Total,"24,65",52.5,1.31,2015,cardiff city
Gardien,"28,83",5.45,0.908,2016,cardiff city
Défense,"26,50",13.4,1.12,2016,cardiff city
Milieu de terrain,"25,50",10.6,1.33,2016,cardiff city
Attaquant,"25,31",14.85,1.14,2016,cardiff city
Total,"26,26",44.3,1.14,2016,cardiff city
Gardien,"29,25",1.35,0.338,2017,cardiff city
Défense,"27,36",15.6,1.42,2017,cardiff city
Milieu de terrain,"25,43",12.1,1.73,2017,cardiff city
Attaquant,"25,00",33.1,1.95,2017,cardiff city
Total,"26,18",62.15,1.59,2017,cardiff city
Gardien,"30,33",11.75,3.92,2018,cardiff city
Défense,"27,10",18.0,1.8,2018,cardiff city
Milieu de terrain,"25,56",29.5,3.28,2018,cardiff city
Attaquant,"25,15",53.75,4.13,2018,cardiff city
Total,"26,26",113.0,3.23,2018,cardiff city
Gardien,"30,50",5.2,1.3,2019,cardiff city
Défense,"25,73",16.43,1.1,2019,cardiff city
Milieu de terrain,"23,00",8.6,1.23,2019,cardiff city
Attaquant,"24,88",33.15,2.07,2019,cardiff city
Total,"25,40",63.38,1.51,2019,cardiff city
Gardien,"26,60",5.05,1.01,2020,cardiff city
Défense,"26,09",19.55,1.78,2020,cardiff city
Milieu de terrain,"22,64",11.45,1.04,2020,cardiff city
Attaquant,"24,14",37.2,2.66,2020,cardiff city
Total,"24,56",73.25,1.79,2020,cardiff city
Gardien,"24,50",0.75,0.188,2014, fulham
Défense,"23,07",13.15,0.877,2014, fulham
Milieu de terrain,"23,14",14.5,1.04,2014, fulham
Attaquant,"22,00",14.1,1.57,2014, fulham
Total,"23,00",42.5,1.01,2014, fulham
Gardien,"25,50",3.65,0.608,2015, fulham
Défense,"24,33",13.45,0.897,2015, fulham
Milieu de terrain,"24,14",16.35,1.17,2015, fulham
Attaquant,"22,20",12.75,2.55,2015, fulham
Total,"24,18",46.2,1.16,2015, fulham
Gardien,"24,67",3.75,1.25,2016, fulham
Défense,"24,58",17.35,1.45,2016, fulham
Milieu de terrain,"23,23",26.75,2.06,2016, fulham
Attaquant,"24,00",18.0,2.0,2016, fulham
Total,"23,97",65.85,1.78,2016, fulham
Gardien,"23,25",3.6,0.9,2017, fulham
Défense,"24,00",25.0,2.08,2017, fulham
Milieu de terrain,"22,30",56.2,5.62,2017, fulham
Attaquant,"23,50",40.75,4.08,2017, fulham
Total,"23,31",125.55,3.49,2017, fulham
Gardien,"26,67",20.0,6.67,2018, fulham
Défense,"24,91",61.5,5.59,2018, fulham
Milieu de terrain,"23,33",109.0,12.11,2018, fulham
Attaquant,"25,00",63.75,6.38,2018, fulham
Total,"24,67",254.25,7.7,2018, fulham
Gardien,"24,25",6.25,1.56,2019, fulham
Défense,"25,70",33.6,3.36,2019, fulham
Milieu de terrain,"22,67",28.0,2.33,2019, fulham
Attaquant,"24,70",48.75,4.88,2019, fulham
Total,"24,25",116.6,3.24,2019, fulham
Gardien,"27,50",25.1,6.28,2020, fulham
Défense,"25,79",74.2,5.3,2020, fulham
Milieu de terrain,"24,42",85.45,7.12,2020, fulham
Attaquant,"25,25",55.0,6.88,2020, fulham
Total,"25,42",239.75,6.31,2020, fulham
Gardien,"24,00",0.65,0.163,2014,sheffield united
Défense,"24,94",5.75,0.359,2014,sheffield united
Milieu de terrain,"22,17",2.95,0.246,2014,sheffield united
Attaquant,"23,64",3.3,0.3,2014,sheffield united
Total,"23,74",12.65,0.294,2014,sheffield united
Gardien,"21,50",0.4,0.1,2015,sheffield united
Défense,"24,06",6.23,0.366,2015,sheffield united
Milieu de terrain,"23,45",2.9,0.264,2015,sheffield united
