Rank,Team,Years,PTS,Win_rate,G,GA,xG,xGA,Value totale,Value attaque,Value défense
10,West Bromwich Albion,2016,45,0.316,43,51,38.21,47.9,123,53.2,18.0
20,West Bromwich Albion,2017,31,0.158,31,56,35.18,48.99,165,64.3,30.062
19,West Bromwich Albion,2020,26,0.132,35,76,34.97,74.04,142,48.3,20.562
14,Leicester,2014,41,0.289,46,55,48.21,56.39,66,24.1,11.062
1,Leicester,2015,81,0.605,68,36,68.42,45.02,161,64.0,23.75
12,Leicester,2016,44,0.316,48,63,44.34,51.3,218,94.5,25.688
9,Leicester,2017,47,0.316,56,60,50.29,49.36,304,129.2,46.125
9,Leicester,2018,52,0.395,51,48,52.11,44.64,434,76.9,114.188
5,Leicester,2019,62,0.474,67,41,61.02,47.89,411,71.6,100.0
5,Leicester,2020,66,0.526,68,50,58.8,47.07,510,83.7,128.688
15,Newcastle United,2014,39,0.263,40,63,40.22,51.01,140,30.5,24.438
18,Newcastle United,2015,37,0.237,44,65,37.61,55.42,198,65.7,25.938
10,Newcastle United,2017,44,0.316,39,47,44.63,52.47,208,62.8,49.5
13,Newcastle United,2018,45,0.316,42,48,39.91,57.55,244,67.5,57.438
13,Newcastle United,2019,44,0.289,38,58,36.49,67.03,252,61.1,64.312
12,Newcastle United,2020,45,0.316,46,62,43.96,60.02,255,80.6,45.125
17,Aston Villa,2014,38,0.263,31,57,33.1,49.71,114,32.5,20.438
20,Aston Villa,2015,17,0.079,27,76,26.53,59.01,117,33.3,26.562
17,Aston Villa,2019,35,0.237,41,67,45.09,71.6,231,81.4,48.375
11,Aston Villa,2020,55,0.421,55,46,56.72,53.25,430,142.3,81.812
18,Hull,2014,35,0.211,33,51,32.79,46.99,117,44.5,18.812
18,Hull,2016,34,0.237,37,80,33.84,71.77,135,43.8,28.125
19,Burnley,2014,33,0.184,28,53,39.37,57.89,52,17.6,8.875
16,Burnley,2016,40,0.289,39,55,35.59,55.27,107,29.0,24.625
7,Burnley,2017,54,0.368,36,39,32.77,52.16,169,53.9,31.188
15,Burnley,2018,40,0.289,45,68,44.74,66.12,197,65.3,40.188
10,Burnley,2019,54,0.395,43,50,49.35,53.84,163,51.3,34.812
17,Burnley,2020,39,0.263,33,55,38.13,59.06,132,36.7,33.438
20,Queens Park Rangers,2014,30,0.211,42,73,45.73,65.26,112,35.2,25.0
13,Watford,2015,45,0.316,40,50,43.2,51.85,137,46.2,27.0
17,Watford,2016,40,0.289,40,68,36.25,52.62,175,57.9,28.562
14,Watford,2017,41,0.289,44,64,45.85,53.98,196,73.8,29.125
11,Watford,2018,50,0.368,52,59,51.73,63.29,239,83.8,38.5
19,Watford,2019,34,0.211,36,64,48.56,59.53,199,82.5,26.188
16,Bournemouth,2015,42,0.289,45,67,38.71,53.97,99,51.9,16.938
9,Bournemouth,2016,46,0.316,55,67,50.02,62.99,131,52.1,22.938
12,Bournemouth,2017,44,0.289,45,61,39.99,64.93,144,51.4,27.75
14,Bournemouth,2018,45,0.342,56,70,58.81,62.42,310,123.5,62.938
18,Bournemouth,2019,34,0.237,40,65,44.67,63.29,272,108.6,51.875
19,Norwich,2015,34,0.237,39,67,39.19,58.93,116,39.7,20.438
20,Norwich,2019,21,0.132,26,75,37.23,71.61,145,31.0,36.5
19,Middlesbrough,2016,28,0.132,27,53,30.93,55.3,128,45.9,25.062
15,Brighton,2017,40,0.237,34,54,37.21,53.08,148,50.6,25.875
17,Brighton,2018,36,0.237,35,60,37.03,62.46,194,56.1,38.812
15,Brighton,2019,41,0.237,39,54,47.42,60.42,200,55.1,41.812
16,Brighton,2020,41,0.237,40,46,53.82,39.91,290,60.8,82.375
16,Huddersfield,2017,37,0.237,28,58,32.13,53.22,106,28.7,24.438
20,Huddersfield,2018,16,0.079,22,76,29.0,67.19,137,40.5,29.188
7,Wolverhampton Wanderers,2018,57,0.421,47,46,53.06,42.69,302,102.5,57.312
7,Wolverhampton Wanderers,2019,59,0.395,51,40,54.22,37.39,320,115.3,61.062
13,Wolverhampton Wanderers,2020,45,0.316,36,52,38.62,52.19,450,181.4,87.25
18,Cardiff,2018,34,0.263,34,69,41.77,66.5,113,45.3,14.438
19,Fulham,2018,26,0.184,34,81,42.62,73.59,254,61.3,47.438
18,Fulham,2020,28,0.132,27,53,41.06,57.64,239,52.5,54.688
9,Sheffield United,2019,54,0.368,39,39,45.81,52.04,138,26.6,33.125
20,Sheffield United,2020,23,0.184,20,63,33.16,66.11,149,36.0,38.5
9,Leeds,2020,59,0.474,62,54,59.26,63.02,238,88.1,48.938
