Position,Valeur maximum,Years,Crew
Attaquant,15.0,2015,afc-bournemouth
Total,15.0,2015,afc-bournemouth
Gardien,1.0,2016,afc-bournemouth
Défense,8.0,2016,afc-bournemouth
Milieu,18.0,2016,afc-bournemouth
Attaquant,10.0,2016,afc-bournemouth
Total,18.0,2016,afc-bournemouth
Gardien,8.0,2017,afc-bournemouth
Défense,15.0,2017,afc-bournemouth
Milieu,20.0,2017,afc-bournemouth
Attaquant,10.0,2017,afc-bournemouth
Total,20.0,2017,afc-bournemouth
Gardien,7.0,2018,afc-bournemouth
Défense,30.0,2018,afc-bournemouth
Milieu,25.0,2018,afc-bournemouth
Attaquant,30.0,2018,afc-bournemouth
Total,30.0,2018,afc-bournemouth
Gardien,12.5,2019,afc-bournemouth
Défense,28.0,2019,afc-bournemouth
Milieu,20.0,2019,afc-bournemouth
Attaquant,24.0,2019,afc-bournemouth
Total,28.0,2019,afc-bournemouth
Gardien,2.0,2020,afc-bournemouth
Défense,9.0,2020,afc-bournemouth
Milieu,15.0,2020,afc-bournemouth
Attaquant,16.0,2020,afc-bournemouth
Total,16.0,2020,afc-bournemouth
Gardien,4.5,2014,norwich-city
Défense,4.0,2014,norwich-city
Milieu,8.5,2014,norwich-city
Attaquant,5.0,2014,norwich-city
Total,8.5,2014,norwich-city
Gardien,3.0,2015,norwich-city
Défense,5.0,2015,norwich-city
Milieu,6.0,2015,norwich-city
Attaquant,7.5,2015,norwich-city
Total,7.5,2015,norwich-city
Gardien,3.0,2016,norwich-city
Défense,5.5,2016,norwich-city
Milieu,5.0,2016,norwich-city
Attaquant,4.5,2016,norwich-city
Total,10.0,2016,norwich-city
Gardien,2.0,2017,norwich-city
Défense,4.0,2017,norwich-city
Milieu,10.0,2017,norwich-city
Attaquant,5.0,2017,norwich-city
Total,10.0,2017,norwich-city
Gardien,3.0,2018,norwich-city
Défense,8.0,2018,norwich-city
Milieu,3.5,2018,norwich-city
Attaquant,8.0,2018,norwich-city
Total,8.0,2018,norwich-city
Gardien,4.0,2019,norwich-city
Défense,20.0,2019,norwich-city
Milieu,10.5,2019,norwich-city
Attaquant,14.5,2019,norwich-city
Total,20.0,2019,norwich-city
Gardien,2.5,2020,norwich-city
Défense,25.0,2020,norwich-city
Milieu,10.0,2020,norwich-city
Attaquant,22.0,2020,norwich-city
Total,25.0,2020,norwich-city
Gardien,0.3,2014,fc-middlesbrough
Défense,3.5,2014,fc-middlesbrough
Milieu,2.5,2014,fc-middlesbrough
Attaquant,5.0,2014,fc-middlesbrough
Total,5.0,2014,fc-middlesbrough
Gardien,0.75,2015,fc-middlesbrough
Défense,3.0,2015,fc-middlesbrough
Milieu,5.0,2015,fc-middlesbrough
Attaquant,10.0,2015,fc-middlesbrough
Total,10.0,2015,fc-middlesbrough
Gardien,2.0,2016,fc-middlesbrough
Défense,14.0,2016,fc-middlesbrough
Milieu,10.0,2016,fc-middlesbrough
Attaquant,10.0,2016,fc-middlesbrough
Total,14.0,2016,fc-middlesbrough
Gardien,4.5,2017,fc-middlesbrough
Défense,10.0,2017,fc-middlesbrough
Milieu,14.0,2017,fc-middlesbrough
Attaquant,12.0,2017,fc-middlesbrough
Total,14.0,2017,fc-middlesbrough
Gardien,4.5,2018,fc-middlesbrough
Défense,7.0,2018,fc-middlesbrough
Milieu,7.0,2018,fc-middlesbrough
Attaquant,10.0,2018,fc-middlesbrough
Total,10.0,2018,fc-middlesbrough
Gardien,2.8,2019,fc-middlesbrough
Défense,5.5,2019,fc-middlesbrough
Milieu,4.0,2019,fc-middlesbrough
Attaquant,5.5,2019,fc-middlesbrough
Total,5.5,2019,fc-middlesbrough
Gardien,2.5,2020,fc-middlesbrough
Défense,7.0,2020,fc-middlesbrough
Milieu,4.0,2020,fc-middlesbrough
Attaquant,3.2,2020,fc-middlesbrough
Total,7.0,2020,fc-middlesbrough
Gardien,1.5,2014,brighton-amp-hove-albion
Défense,1.5,2014,brighton-amp-hove-albion
Milieu,1.5,2014,brighton-amp-hove-albion
Attaquant,3.0,2014,brighton-amp-hove-albion
Total,3.0,2014,brighton-amp-hove-albion
Gardien,1.5,2015,brighton-amp-hove-albion
Défense,3.5,2015,brighton-amp-hove-albion
Milieu,2.0,2015,brighton-amp-hove-albion
Attaquant,3.5,2015,brighton-amp-hove-albion
Total,3.5,2015,brighton-amp-hove-albion
Gardien,2.0,2016,brighton-amp-hove-albion
Défense,5.0,2016,brighton-amp-hove-albion
Milieu,5.0,2016,brighton-amp-hove-albion
Attaquant,8.0,2016,brighton-amp-hove-albion
Total,8.0,2016,brighton-amp-hove-albion
Gardien,8.0,2017,brighton-amp-hove-albion
Défense,12.0,2017,brighton-amp-hove-albion
Milieu,15.0,2017,brighton-amp-hove-albion
Attaquant,15.0,2017,brighton-amp-hove-albion
Total,15.0,2017,brighton-amp-hove-albion
Gardien,10.0,2018,brighton-amp-hove-albion
Défense,12.0,2018,brighton-amp-hove-albion
Milieu,15.0,2018,brighton-amp-hove-albion
Attaquant,15.0,2018,brighton-amp-hove-albion
Total,15.0,2018,brighton-amp-hove-albion
Gardien,8.0,2019,brighton-amp-hove-albion
Défense,16.0,2019,brighton-amp-hove-albion
Milieu,13.5,2019,brighton-amp-hove-albion
Attaquant,17.5,2019,brighton-amp-hove-albion
Total,17.5,2019,brighton-amp-hove-albion
Gardien,8.0,2020,brighton-amp-hove-albion
Défense,28.0,2020,brighton-amp-hove-albion
Milieu,25.0,2020,brighton-amp-hove-albion
Attaquant,20.0,2020,brighton-amp-hove-albion
Total,28.0,2020,brighton-amp-hove-albion
Gardien,0.5,2014,huddersfield-town
Défense,1.5,2014,huddersfield-town
Milieu,1.75,2014,huddersfield-town
Attaquant,1.5,2014,huddersfield-town
Total,1.75,2014,huddersfield-town
Gardien,1.5,2015,huddersfield-town
Défense,1.0,2015,huddersfield-town
Milieu,4.5,2015,huddersfield-town
Attaquant,2.0,2015,huddersfield-town
Total,4.5,2015,huddersfield-town
Gardien,2.5,2016,huddersfield-town
Défense,2.0,2016,huddersfield-town
Milieu,5.0,2016,huddersfield-town
Attaquant,5.0,2016,huddersfield-town
Total,5.0,2016,huddersfield-town
Gardien,5.0,2017,huddersfield-town
Défense,10.0,2017,huddersfield-town
Milieu,10.0,2017,huddersfield-town
Attaquant,10.0,2017,huddersfield-town
Total,10.0,2017,huddersfield-town
Gardien,5.0,2018,huddersfield-town
Défense,15.0,2018,huddersfield-town
Milieu,14.0,2018,huddersfield-town
Attaquant,10.0,2018,huddersfield-town
Total,15.0,2018,huddersfield-town
Gardien,4.5,2019,huddersfield-town
Défense,8.0,2019,huddersfield-town
Milieu,9.5,2019,huddersfield-town
Attaquant,6.5,2019,huddersfield-town
Total,9.5,2019,huddersfield-town
Gardien,0.5,2020,huddersfield-town
Défense,2.0,2020,huddersfield-town
Milieu,5.0,2020,huddersfield-town
Attaquant,5.0,2020,huddersfield-town
Total,5.0,2020,huddersfield-town
Gardien,0.75,2014,wolverhampton-wanderers
Défense,1.3,2014,wolverhampton-wanderers
Milieu,1.5,2014,wolverhampton-wanderers
Attaquant,4.0,2014,wolverhampton-wanderers
Total,4.0,2014,wolverhampton-wanderers
Gardien,1.5,2015,wolverhampton-wanderers
Défense,1.75,2015,wolverhampton-wanderers
Milieu,1.75,2015,wolverhampton-wanderers
Attaquant,9.0,2015,wolverhampton-wanderers
Total,9.0,2015,wolverhampton-wanderers
Gardien,0.75,2016,wolverhampton-wanderers
Défense,3.5,2016,wolverhampton-wanderers
Milieu,2.0,2016,wolverhampton-wanderers
Attaquant,10.0,2016,wolverhampton-wanderers
Total,10.0,2016,wolverhampton-wanderers
Gardien,3.0,2017,wolverhampton-wanderers
Défense,6.0,2017,wolverhampton-wanderers
Milieu,15.0,2017,wolverhampton-wanderers
Attaquant,12.0,2017,wolverhampton-wanderers
Total,15.0,2017,wolverhampton-wanderers
Gardien,20.0,2018,wolverhampton-wanderers
Défense,20.0,2018,wolverhampton-wanderers
Milieu,45.0,2018,wolverhampton-wanderers
Attaquant,35.0,2018,wolverhampton-wanderers
Total,45.0,2018,wolverhampton-wanderers
Gardien,16.0,2019,wolverhampton-wanderers
Défense,16.0,2019,wolverhampton-wanderers
Milieu,40.0,2019,wolverhampton-wanderers
Attaquant,40.0,2019,wolverhampton-wanderers
Total,40.0,2019,wolverhampton-wanderers
Gardien,10.0,2020,wolverhampton-wanderers
Défense,28.0,2020,wolverhampton-wanderers
Milieu,45.0,2020,wolverhampton-wanderers
Attaquant,45.0,2020,wolverhampton-wanderers
Total,45.0,2020,wolverhampton-wanderers
Gardien,2.5,2014,cardiff-city
Défense,4.5,2014,cardiff-city
Milieu,3.5,2014,cardiff-city
Attaquant,2.5,2014,cardiff-city
Total,4.5,2014,cardiff-city
Gardien,2.5,2015,cardiff-city
Défense,4.0,2015,cardiff-city
Milieu,2.5,2015,cardiff-city
Attaquant,5.0,2015,cardiff-city
Total,5.0,2015,cardiff-city
Gardien,3.0,2016,cardiff-city
Défense,3.5,2016,cardiff-city
Milieu,2.5,2016,cardiff-city
Attaquant,3.0,2016,cardiff-city
Total,3.5,2016,cardiff-city
Gardien,0.75,2017,cardiff-city
Défense,5.0,2017,cardiff-city
Milieu,5.0,2017,cardiff-city
Attaquant,8.0,2017,cardiff-city
Total,8.0,2017,cardiff-city
Gardien,8.0,2018,cardiff-city
Défense,5.0,2018,cardiff-city
Milieu,10.0,2018,cardiff-city
Attaquant,10.0,2018,cardiff-city
Total,10.0,2018,cardiff-city
Gardien,2.4,2019,cardiff-city
Défense,4.0,2019,cardiff-city
Milieu,3.2,2019,cardiff-city
Attaquant,5.5,2019,cardiff-city
Total,8.0,2019,cardiff-city
Gardien,2.2,2020,cardiff-city
Défense,5.0,2020,cardiff-city
Milieu,3.0,2020,cardiff-city
Attaquant,17.0,2020,cardiff-city
Total,17.0,2020,cardiff-city
Gardien,0.25,2014,fc-fulham
Défense,3.0,2014,fc-fulham
Milieu,5.0,2014,fc-fulham
Attaquant,2.5,2014,fc-fulham
Total,7.0,2014,fc-fulham
Gardien,1.5,2015,fc-fulham
Défense,2.0,2015,fc-fulham
Milieu,4.0,2015,fc-fulham
Attaquant,3.0,2015,fc-fulham
Total,8.0,2015,fc-fulham
Gardien,2.0,2016,fc-fulham
Défense,4.5,2016,fc-fulham
Milieu,7.0,2016,fc-fulham
Attaquant,4.5,2016,fc-fulham
Total,7.0,2016,fc-fulham
Gardien,2.0,2017,fc-fulham
Défense,5.0,2017,fc-fulham
Milieu,15.0,2017,fc-fulham
Attaquant,15.0,2017,fc-fulham
Total,25.0,2017,fc-fulham
Gardien,12.0,2018,fc-fulham
Défense,15.0,2018,fc-fulham
Milieu,25.0,2018,fc-fulham
Attaquant,25.0,2018,fc-fulham
Total,35.0,2018,fc-fulham
Gardien,4.0,2019,fc-fulham
Défense,8.0,2019,fc-fulham
Milieu,12.0,2019,fc-fulham
Attaquant,20.0,2019,fc-fulham
Total,20.0,2019,fc-fulham
Gardien,17.0,2020,fc-fulham
Défense,22.0,2020,fc-fulham
Milieu,25.0,2020,fc-fulham
Attaquant,16.0,2020,fc-fulham
Total,25.0,2020,fc-fulham
Gardien,0.25,2014,sheffield-united
Défense,1.5,2014,sheffield-united
Milieu,0.5,2014,sheffield-united
Attaquant,0.75,2014,sheffield-united
Total,1.5,2014,sheffield-united
Gardien,0.2,2015,sheffield-united
Défense,1.5,2015,sheffield-united
Milieu,0.5,2015,sheffield-united
Attaquant,1.75,2015,sheffield-united
Total,1.75,2015,sheffield-united
Gardien,0.5,2016,sheffield-united
Défense,1.25,2016,sheffield-united
Milieu,0.75,2016,sheffield-united
Attaquant,3.5,2016,sheffield-united
Total,3.5,2016,sheffield-united
Gardien,0.5,2017,sheffield-united
Défense,1.0,2017,sheffield-united
Milieu,1.0,2017,sheffield-united
Attaquant,5.0,2017,sheffield-united
Total,5.0,2017,sheffield-united
Gardien,2.5,2018,sheffield-united
Défense,6.5,2018,sheffield-united
Milieu,5.0,2018,sheffield-united
Attaquant,4.0,2018,sheffield-united
Total,6.5,2018,sheffield-united
Gardien,14.5,2019,sheffield-united
Défense,9.5,2019,sheffield-united
Milieu,20.0,2019,sheffield-united
Attaquant,9.5,2019,sheffield-united
Total,20.0,2019,sheffield-united
Gardien,12.0,2020,sheffield-united
Défense,15.0,2020,sheffield-united
Milieu,18.0,2020,sheffield-united
Attaquant,12.0,2020,sheffield-united
Total,18.0,2020,sheffield-united
Gardien,0.5,2014,leeds-united
Défense,3.0,2014,leeds-united
Milieu,2.4,2014,leeds-united
Attaquant,1.5,2014,leeds-united
Total,3.0,2014,leeds-united
Gardien,0.5,2015,leeds-united
Défense,4.5,2015,leeds-united
Milieu,4.0,2015,leeds-united
Attaquant,2.5,2015,leeds-united
Total,4.5,2015,leeds-united
Gardien,0.5,2016,leeds-united
Défense,5.0,2016,leeds-united
Milieu,2.5,2016,leeds-united
Attaquant,6.0,2016,leeds-united
Total,6.0,2016,leeds-united
Gardien,2.0,2017,leeds-united
Défense,6.0,2017,leeds-united
Milieu,5.0,2017,leeds-united
Attaquant,18.0,2017,leeds-united
Total,18.0,2017,leeds-united
Gardien,3.0,2018,leeds-united
Défense,6.0,2018,leeds-united
Milieu,8.0,2018,leeds-united
Attaquant,6.0,2018,leeds-united
Total,8.0,2018,leeds-united
Gardien,4.5,2019,leeds-united
Défense,5.5,2019,leeds-united
Milieu,12.0,2019,leeds-united
Attaquant,11.0,2019,leeds-united
Total,12.0,2019,leeds-united
Gardien,20.0,2020,leeds-united
Défense,20.0,2020,leeds-united
Milieu,30.0,2020,leeds-united
Attaquant,30.0,2020,leeds-united
Total,30.0,2020,leeds-united
