Rank,Team,Years,PTS,Win_rate,G,GA,xG,xGA,Value totale,Value attaque,Value défense,coef défense,coef attaque
4,Tottenham,2018,71,0.605,67,39,61.75,49.15,898,271.2,199.75,1.0364055555555554,1.0439754545454545
6,Tottenham,2019,59,0.421,61,47,49.02,54.13,806,247.0,139.375,1.0396917391304346,1.040737
7,Tottenham,2020,62,0.474,68,45,56.68,52.55,703,268.5,118.312,1.0241821052631577,1.0784955555555558
6,Liverpool,2014,62,0.474,52,48,51.7,38.25,324,95.6,69.0,1.0245741176470586,1.0443223076923078
8,Liverpool,2015,60,0.421,63,50,54.37,37.88,375,107.8,76.5,1.0376192857142856,1.0334539999999999
4,Liverpool,2016,76,0.579,78,42,66.63,37.65,425,120.8,77.75,1.0407511111111114,1.0394366666666666
4,Liverpool,2017,75,0.553,84,38,77.49,35.75,857,309.9,147.188,1.0292586666666665,1.0455646666666667
2,Liverpool,2018,97,0.789,89,22,79.46,29.15,1170,394.1,239.438,1.02086,1.01641
1,Liverpool,2019,99,0.842,85,33,75.19,39.57,1000,312.0,236.5,1.0170884210526314,1.0460135714285712
3,Liverpool,2020,69,0.526,68,42,72.21,47.3,969,314.4,211.625,1.0359176470588236,1.0427153333333334
7,Southampton,2014,60,0.474,54,33,54.97,39.11,135,38.7,30.312,0.9931429411764706,0.9580907692307691
6,Southampton,2015,63,0.474,59,41,56.2,44.29,201,53.9,46.438,1.0134906666666668,0.9834878571428571
8,Southampton,2016,46,0.316,41,48,49.98,43.08,273,103.8,53.375,1.0018729411764706,0.9761537499999999
17,Southampton,2017,36,0.184,37,56,41.88,46.56,260,90.0,47.875,1.0157488235294119,1.0410233333333332
16,Southampton,2018,39,0.237,45,65,49.67,59.27,359,132.8,65.625,0.9782179999999998,1.002403125
11,Southampton,2019,52,0.395,51,60,56.5,56.59,303,109.6,49.25,0.9765461111111112,0.9886557142857144
15,Southampton,2020,43,0.316,47,68,45.28,58.55,336,101.8,49.875,0.9647976470588233,0.9929438461538462
8,Swansea,2014,56,0.421,46,49,40.9,55.94,130,45.6,23.125,0.9922449999999999,1.0155461538461539
12,Swansea,2015,47,0.316,42,52,39.96,53.63,145,44.9,26.812,0.983404736842105,1.0026363636363635
15,Swansea,2016,41,0.316,45,70,39.5,65.13,157,43.8,31.625,0.9766143750000001,0.9754045454545456
18,Swansea,2017,33,0.211,28,56,29.71,61.83,165,48.6,30.5,0.9952813333333332,0.954364
9,Stoke,2014,54,0.395,48,45,46.26,47.03,110,27.7,23.938,1.0082594444444444,0.9857476923076922
9,Stoke,2015,51,0.368,41,55,42.63,54.35,147,49.1,27.062,1.01206,0.9719292307692308
13,Stoke,2016,44,0.289,41,56,47.87,48.67,186,73.6,30.25,0.9892570588235292,0.976108
19,Stoke,2017,33,0.184,35,68,36.75,65.54,192,50.6,47.375,0.9766346666666667,0.9882112499999999
