Rank,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS,Years
1,Juventus,38,26,9,3,72,24,87,59.08,29.13,74.79,2014
2,Roma,38,19,13,6,54,31,70,50.85,36.79,62.16,2014
3,Lazio,38,21,6,11,71,38,69,62.0,35.87,67.79,2014
4,Fiorentina,38,18,10,10,61,46,64,60.67,48.5,61.11,2014
5,Napoli,38,18,9,11,70,54,63,64.5,34.37,70.72,2014
6,Genoa,38,16,11,11,62,47,59,57.32,60.37,50.55,2014
7,Sampdoria,38,13,17,8,48,42,56,47.59,48.37,52.85,2014
8,Inter,38,14,13,11,59,48,55,57.17,44.32,60.8,2014
9,Torino,38,14,12,12,48,45,54,51.78,42.69,56.95,2014
10,AC Milan,38,13,13,12,56,50,52,47.07,53.99,48.33,2014
11,Palermo,38,12,13,13,53,55,49,54.97,44.01,58.68,2014
12,Sassuolo,38,12,13,13,49,57,49,42.91,55.19,44.1,2014
13,Verona,38,11,13,14,49,65,46,46.88,63.41,41.97,2014
14,Chievo,38,10,13,15,28,41,43,33.01,48.99,41.41,2014
15,Empoli,38,8,18,12,46,52,42,49.66,43.42,56.94,2014
16,Udinese,38,10,11,17,43,56,41,34.86,54.75,37.46,2014
17,Atalanta,38,7,16,15,38,57,37,40.94,59.4,39.26,2014
18,Cagliari,38,8,10,20,48,68,34,53.92,54.17,53.05,2014
19,Parma,38,6,8,24,33,75,26,31.77,60.74,31.52,2014
20,Cesena,38,4,12,22,36,73,24,34.62,63.08,34.75,2014
1,Juventus,38,29,4,5,75,20,91,62.99,23.0,78.74,2015
2,Napoli,38,25,7,6,80,32,82,69.53,26.69,79.07,2015
3,Roma,38,23,11,4,83,41,80,64.43,39.79,69.85,2015
4,Inter,38,20,7,11,50,38,67,54.3,44.25,58.84,2015
5,Fiorentina,38,18,10,10,60,42,64,53.19,36.22,63.31,2015
6,Sassuolo,38,16,13,9,49,40,61,47.32,42.93,53.62,2015
7,AC Milan,38,15,12,11,49,43,57,53.91,40.91,60.29,2015
