Rank,Team,Years,PTS,win_rate,G,GA,xG,xGA,Value totale,Value attaque,Value défense
19,Verona,2017,25,0.184,30,78,33.76,72.71,56,19.5,8.812
11,Verona,2019,49,0.316,47,51,52.49,53.95,112,19.3,31.312
10,Verona,2020,43,0.263,43,48,47.97,52.45,157,28.9,33.938
14,Chievo,2014,43,0.263,28,41,33.01,48.99,62,16.2,12.25
9,Chievo,2015,50,0.342,43,45,40.59,51.09,49,17.8,7.375
14,Chievo,2016,43,0.316,43,61,42.74,55.01,45,12.6,5.875
14,Chievo,2017,40,0.263,36,59,34.42,55.28,55,16.6,9.0
20,Chievo,2018,20,0.053,25,75,36.48,62.69,54,10.7,14.562
15,Empoli,2014,42,0.211,46,52,49.66,43.42,54,6.9,16.062
11,Empoli,2015,46,0.316,40,49,37.84,47.51,74,10.6,15.375
18,Empoli,2016,32,0.211,29,61,35.09,67.01,55,7.8,9.625
18,Empoli,2018,38,0.263,51,70,52.06,63.33,105,22.0,19.875
16,Udinese,2014,41,0.263,43,56,34.86,54.75,106,21.6,22.75
16,Udinese,2015,39,0.263,35,60,46.31,51.42,93,16.9,21.312
13,Udinese,2016,45,0.316,47,56,44.94,54.66,101,20.2,22.375
13,Udinese,2017,40,0.316,48,63,45.2,50.71,107,21.1,22.062
12,Udinese,2018,43,0.289,39,53,42.49,62.23,201,39.1,32.812
14,Udinese,2019,45,0.316,37,51,43.69,52.54,121,22.9,20.938
14,Udinese,2020,40,0.263,42,58,48.24,56.38,172,32.4,33.625
17,Atalanta,2014,37,0.184,38,57,40.94,59.4,83,16.7,12.688
13,Atalanta,2015,45,0.289,41,47,46.08,51.41,78,17.5,14.312
4,Atalanta,2016,72,0.553,62,41,61.39,34.35,161,32.2,38.125
7,Atalanta,2017,60,0.421,57,39,64.29,36.5,207,48.9,53.438
3,Atalanta,2018,69,0.526,77,46,74.43,41.85,367,108.5,76.438
3,Atalanta,2019,78,0.605,98,48,86.17,41.73,291,82.6,73.375
3,Atalanta,2020,78,0.605,90,47,82.01,39.94,428,95.8,112.75
18,Cagliari,2014,34,0.211,48,68,53.92,54.17,76,27.7,11.938
12,Cagliari,2016,47,0.368,55,76,42.42,68.32,62,18.5,13.812
16,Cagliari,2017,39,0.289,33,61,38.27,57.91,98,27.3,18.188
15,Cagliari,2018,41,0.263,36,54,40.94,63.74,155,38.3,25.188
13,Cagliari,2019,45,0.289,52,56,41.92,60.98,167,37.5,29.062
16,Cagliari,2020,37,0.237,43,59,45.6,65.26,187,51.2,30.375
19,Parma,2014,26,0.158,33,75,31.77,60.74,67,19.0,12.0
16,Parma,2018,41,0.263,41,61,41.1,64.98,95,31.8,19.125
10,Parma,2019,49,0.368,56,57,47.12,64.13,128,62.2,13.125
20,Parma,2020,20,0.079,39,83,42.98,66.69,128,41.9,27.688
20,Cesena,2014,24,0.105,36,73,34.62,63.08,32,7.4,5.75
14,Bologna,2015,42,0.289,33,45,35.48,51.84,75,18.9,11.438
15,Bologna,2016,41,0.289,40,58,36.51,58.3,95,18.2,15.75
15,Bologna,2017,39,0.289,40,52,36.11,48.8,103,22.0,17.0
10,Bologna,2018,44,0.289,48,56,48.1,51.06,119,37.7,20.312
12,Bologna,2019,47,0.316,52,65,57.41,54.87,129,44.8,22.5
12,Bologna,2020,41,0.263,51,65,57.53,67.59,152,48.4,33.25
18,Carpi,2015,38,0.237,37,57,43.37,51.8,52,10.5,12.938
19,Frosinone,2015,31,0.211,35,76,33.84,74.23,38,9.5,6.688
19,Frosinone,2018,25,0.132,29,69,36.1,64.59,54,19.1,7.812
17,Crotone,2016,34,0.237,34,58,34.17,61.23,36,10.6,7.625
18,Crotone,2017,35,0.237,40,66,33.24,59.43,47,14.0,7.625
19,Crotone,2020,23,0.158,45,92,39.64,77.48,52,20.1,7.938
20,Pescara,2016,15,0.053,35,83,43.12,68.41,48,14.0,7.625
17,SPAL,2017,38,0.211,39,59,34.61,60.18,63,8.4,11.125
13,SPAL,2018,42,0.289,44,56,43.28,54.01,97,27.0,14.0
20,SPAL,2019,20,0.132,27,77,39.07,71.97,73,25.5,12.438
20,Benevento,2017,21,0.158,33,84,38.21,77.31,57,20.6,11.25
18,Benevento,2020,33,0.184,40,75,38.65,70.48,50,20.0,9.0
18,Lecce,2019,35,0.237,52,85,53.47,91.97,52,17.6,6.0
19,Brescia,2019,25,0.158,35,79,43.25,78.38,83,15.9,14.062
15,Spezia,2020,39,0.237,52,72,47.9,70.59,71,17.4,13.75
