Positions,Âge,Valeur marchande (millions),Valeur marchande moyenne (millions),Years,Crew
Gardien,"22,13",12.73,1.59,2018, empoli
Défense,"23,52",25.88,1.13,2018, empoli
Milieu de terrain,"22,69",44.95,2.81,2018, empoli
Attaquant,"23,50",22.05,1.84,2018, empoli
Total,"23,10",105.6,1.79,2018, empoli
Gardien,"23,14",1.85,0.264,2019, empoli
Défense,"24,79",6.9,0.493,2019, empoli
Milieu de terrain,"21,46",15.18,1.17,2019, empoli
Attaquant,"23,00",14.18,1.29,2019, empoli
Total,"23,13",38.1,0.847,2019, empoli
Gardien,"22,80",4.1,0.82,2020, empoli
Défense,"23,08",12.1,0.931,2020, empoli
Milieu de terrain,"21,33",24.08,2.01,2020, empoli
Attaquant,"24,86",9.05,1.29,2020, empoli
Total,"22,81",49.33,1.33,2020, empoli
Gardien,"22,00",12.95,2.16,2014,udinese calcio
Défense,"23,94",30.55,1.7,2014,udinese calcio
Milieu de terrain,"21,00",40.98,2.56,2014,udinese calcio
Attaquant,"24,70",22.3,2.23,2014,udinese calcio
Total,"22,92",106.78,2.14,2014,udinese calcio
Gardien,"22,25",5.9,1.48,2015,udinese calcio
Défense,"25,87",29.2,1.95,2015,udinese calcio
Milieu de terrain,"24,94",41.2,2.42,2015,udinese calcio
Attaquant,"26,71",16.7,2.39,2015,udinese calcio
Total,"25,30",93.0,2.16,2015,udinese calcio
Gardien,"20,20",8.18,1.64,2016,udinese calcio
Défense,"24,50",30.98,2.21,2016,udinese calcio
Milieu de terrain,"23,06",42.23,2.64,2016,udinese calcio
Attaquant,"24,44",20.58,2.29,2016,udinese calcio
Total,"23,48",101.95,2.32,2016,udinese calcio
Gardien,"23,17",6.3,1.05,2017,udinese calcio
Défense,"23,20",29.65,1.98,2017,udinese calcio
Milieu de terrain,"22,21",51.98,3.71,2017,udinese calcio
Attaquant,"23,64",20.03,1.82,2017,udinese calcio
Total,"23,00",107.95,2.35,2017,udinese calcio
Gardien,"22,63",39.1,4.89,2018,udinese calcio
Défense,"24,42",36.6,1.93,2018,udinese calcio
Milieu de terrain,"23,50",87.25,5.45,2018,udinese calcio
Attaquant,"23,62",38.25,2.94,2018,udinese calcio
Total,"23,71",201.2,3.59,2018,udinese calcio
Gardien,"25,67",12.55,4.18,2019,udinese calcio
Défense,"24,50",25.98,1.86,2019,udinese calcio
Milieu de terrain,"22,08",61.13,4.7,2019,udinese calcio
Attaquant,"24,89",21.53,2.39,2019,udinese calcio
Total,"23,87",121.18,3.11,2019,udinese calcio
Gardien,"22,17",21.45,3.58,2020,udinese calcio
Défense,"26,75",42.1,3.51,2020,udinese calcio
Milieu de terrain,"23,15",76.75,5.9,2020,udinese calcio
Attaquant,"25,91",31.7,2.88,2020,udinese calcio
Total,"24,76",172.0,4.1,2020,udinese calcio
Gardien,"28,00",12.53,2.51,2014,atalanta bergamo
Défense,"27,57",14.68,1.05,2014,atalanta bergamo
Milieu de terrain,"24,20",39.8,2.65,2014,atalanta bergamo
Attaquant,"25,00",16.48,2.06,2014,atalanta bergamo
Total,"25,93",83.48,1.99,2014,atalanta bergamo
Gardien,"21,20",9.45,1.89,2015,atalanta bergamo
Défense,"27,21",18.85,1.35,2015,atalanta bergamo
Milieu de terrain,"25,87",31.95,2.13,2015,atalanta bergamo
Attaquant,"26,10",18.2,1.82,2015,atalanta bergamo
Total,"25,82",78.45,1.78,2015,atalanta bergamo
Gardien,"23,00",16.3,2.33,2016,atalanta bergamo
Défense,"25,33",52.95,3.53,2016,atalanta bergamo
Milieu de terrain,"24,91",58.5,5.32,2016,atalanta bergamo
Attaquant,"23,91",33.95,3.09,2016,atalanta bergamo
Total,"24,50",161.7,3.68,2016,atalanta bergamo
Gardien,"25,33",10.65,3.55,2017,atalanta bergamo
Défense,"23,67",77.98,6.5,2017,atalanta bergamo
Milieu de terrain,"22,27",65.38,5.94,2017,atalanta bergamo
Attaquant,"21,09",53.58,4.87,2017,atalanta bergamo
Total,"22,62",207.58,5.61,2017,atalanta bergamo
Gardien,"22,20",14.63,1.46,2018,atalanta bergamo
Défense,"21,55",107.1,3.25,2018,atalanta bergamo
Milieu de terrain,"21,74",125.6,5.46,2018,atalanta bergamo
Attaquant,"21,77",120.35,5.47,2018,atalanta bergamo
Total,"21,73",367.68,4.18,2018,atalanta bergamo
Gardien,"23,20",15.38,3.08,2019,atalanta bergamo
Défense,"24,18",107.55,6.33,2019,atalanta bergamo
Milieu de terrain,"24,00",74.2,10.6,2019,atalanta bergamo
Attaquant,"23,88",94.3,11.79,2019,atalanta bergamo
Total,"23,95",291.43,7.88,2019,atalanta bergamo
Gardien,"24,17",21.98,3.66,2020,atalanta bergamo
Défense,"23,56",162.2,10.14,2020,atalanta bergamo
Milieu de terrain,"23,09",142.7,12.97,2020,atalanta bergamo
Attaquant,"27,00",102.0,17.0,2020,atalanta bergamo
Total,"24,05",428.88,11.0,2020,atalanta bergamo
Gardien,"22,00",5.8,1.45,2014,cagliari calcio
Défense,"25,00",16.9,1.69,2014,cagliari calcio
Milieu de terrain,"23,85",21.35,1.64,2014,cagliari calcio
Attaquant,"22,22",32.6,3.62,2014,cagliari calcio
Total,"23,56",76.65,2.13,2014,cagliari calcio
Gardien,"27,17",2.93,0.488,2015,cagliari calcio
Défense,"21,71",12.85,0.918,2015,cagliari calcio
Milieu de terrain,"21,07",16.65,1.19,2015,cagliari calcio
Attaquant,"21,60",20.85,2.09,2015,cagliari calcio
Total,"22,23",53.28,1.21,2015,cagliari calcio
Gardien,"26,57",2.5,0.357,2016,cagliari calcio
Défense,"22,11",20.4,1.13,2016,cagliari calcio
Milieu de terrain,"23,82",17.65,1.6,2016,cagliari calcio
Attaquant,"24,50",21.53,2.15,2016,cagliari calcio
Total,"23,72",62.08,1.35,2016,cagliari calcio
Gardien,"22,00",9.65,1.93,2017,cagliari calcio
Défense,"24,00",24.8,1.65,2017,cagliari calcio
Milieu de terrain,"24,90",33.68,3.37,2017,cagliari calcio
Attaquant,"25,45",30.4,2.76,2017,cagliari calcio
Total,"24,37",98.53,2.4,2017,cagliari calcio
Gardien,"27,50",20.6,5.15,2018,cagliari calcio
Défense,"25,67",30.23,2.02,2018,cagliari calcio
Milieu de terrain,"23,76",63.65,3.74,2018,cagliari calcio
Attaquant,"24,85",40.9,3.15,2018,cagliari calcio
Total,"24,94",155.38,3.17,2018,cagliari calcio
Gardien,"28,20",22.88,4.58,2019,cagliari calcio
Défense,"24,14",35.45,2.53,2019,cagliari calcio
Milieu de terrain,"25,00",71.38,5.49,2019,cagliari calcio
Attaquant,"23,67",38.23,4.25,2019,cagliari calcio
Total,"24,80",167.93,4.1,2019,cagliari calcio
Gardien,"25,25",22.3,5.58,2020,cagliari calcio
Défense,"25,06",37.53,2.35,2020,cagliari calcio
Milieu de terrain,"24,91",72.6,6.6,2020,cagliari calcio
Attaquant,"22,55",55.1,5.01,2020,cagliari calcio
Total,"24,38",187.53,4.46,2020,cagliari calcio
Gardien,"23,00",5.83,0.832,2014,parma calcio 1913
Défense,"24,32",16.78,0.883,2014,parma calcio 1913
Milieu de terrain,"22,94",22.68,1.33,2014,parma calcio 1913
Attaquant,"26,17",21.85,1.82,2014,parma calcio 1913
Total,"24,13",67.13,1.22,2014,parma calcio 1913
Gardien,"17,25",0.1,0.025,2015,parma calcio 1913
Défense,"21,50",0.875,0.073,2015,parma calcio 1913
Milieu de terrain,"23,43",0.8,0.114,2015,parma calcio 1913
Attaquant,"24,64",1.38,0.125,2015,parma calcio 1913
Total,"22,41",3.15,0.093,2015,parma calcio 1913
Gardien,"21,71",1.08,0.154,2016,parma calcio 1913
Défense,"24,87",1.9,0.127,2016,parma calcio 1913
Milieu de terrain,"27,00",2.4,0.24,2016,parma calcio 1913
Attaquant,"27,78",1.73,0.192,2016,parma calcio 1913
Total,"25,49",7.1,0.173,2016,parma calcio 1913
Gardien,"27,33",0.725,0.242,2017,parma calcio 1913
Défense,"26,50",4.55,0.325,2017,parma calcio 1913
Milieu de terrain,"29,00",5.18,0.518,2017,parma calcio 1913
Attaquant,"25,57",12.03,0.859,2017,parma calcio 1913
Total,"26,85",22.48,0.548,2017,parma calcio 1913
Gardien,"24,33",7.78,1.3,2018,parma calcio 1913
Défense,"24,00",27.48,1.31,2018,parma calcio 1913
Milieu de terrain,"25,32",22.75,1.2,2018,parma calcio 1913
Attaquant,"24,58",37.75,1.57,2018,parma calcio 1913
Total,"24,59",95.75,1.37,2018,parma calcio 1913
Gardien,"23,40",14.5,2.9,2019,parma calcio 1913
Défense,"26,45",16.35,1.49,2019,parma calcio 1913
Milieu de terrain,"26,27",22.1,2.01,2019,parma calcio 1913
Attaquant,"23,69",75.8,5.83,2019,parma calcio 1913
Total,"25,13",128.75,3.22,2019,parma calcio 1913
Gardien,"22,60",4.4,0.88,2020,parma calcio 1913
Défense,"24,72",40.95,2.28,2020,parma calcio 1913
Milieu de terrain,"24,67",35.3,2.35,2020,parma calcio 1913
Attaquant,"23,27",48.05,3.2,2020,parma calcio 1913
Total,"24,09",128.7,2.43,2020,parma calcio 1913
Gardien,"25,75",6.78,1.69,2014,cesena 
Défense,"24,60",7.0,0.7,2014,cesena 
Milieu de terrain,"25,06",10.03,0.627,2014,cesena 
Attaquant,"24,71",8.65,1.24,2014,cesena 
Total,"24,95",32.45,0.877,2014,cesena 
Gardien,"23,40",2.9,0.58,2015,cesena 
Défense,"24,45",5.33,0.484,2015,cesena 
Milieu de terrain,"20,69",12.43,0.956,2015,cesena 
Attaquant,"23,20",8.5,0.85,2015,cesena 
Total,"22,74",29.15,0.747,2015,cesena 
Gardien,"23,29",1.25,0.179,2016,cesena 
Défense,"22,50",4.5,0.25,2016,cesena 
Milieu de terrain,"21,90",7.8,0.39,2016,cesena 
Attaquant,"23,80",7.93,0.793,2016,cesena 
Total,"22,62",21.48,0.39,2016,cesena 
Gardien,"25,00",0.8,0.2,2017,cesena 
Défense,"23,38",3.8,0.292,2017,cesena 
Milieu de terrain,"22,94",8.93,0.525,2017,cesena 
Attaquant,"21,88",4.13,0.516,2017,cesena 
Total,"23,07",17.65,0.42,2017,cesena 
Gardien,"22,75",0.175,0.044,2018,cesena 
Défense,"21,42",0.975,0.081,2018,cesena 
Milieu de terrain,"23,08",0.875,0.073,2018,cesena 
Attaquant,"24,75",0.9,0.113,2018,cesena 
Total,"22,86",2.93,0.081,2018,cesena 
Gardien,"23,50",0.275,0.069,2019,cesena 
Défense,"22,70",1.3,0.13,2019,cesena 
Milieu de terrain,"23,50",1.6,0.133,2019,cesena 
Attaquant,"21,08",1.78,0.137,2019,cesena 
Total,"22,49",4.95,0.127,2019,cesena 
Gardien,"21,57",0.85,0.121,2020,cesena 
Défense,"22,09",1.68,0.152,2020,cesena 
Milieu de terrain,"22,82",1.58,0.143,2020,cesena 
Attaquant,"22,10",1.78,0.178,2020,cesena 
Total,"22,21",5.88,0.151,2020,cesena 
Gardien,"23,29",1.28,0.182,2014, bologna
Défense,"23,71",10.6,0.757,2014, bologna
Milieu de terrain,"24,80",10.08,0.672,2014, bologna
Attaquant,"24,90",7.68,0.768,2014, bologna
Total,"24,26",29.63,0.644,2014, bologna
Gardien,"25,25",3.88,0.969,2015, bologna
Défense,"25,23",14.63,1.13,2015, bologna
Milieu de terrain,"23,53",37.5,2.5,2015, bologna
Attaquant,"25,80",19.23,1.92,2015, bologna
Total,"24,76",75.23,1.79,2015, bologna
Gardien,"23,17",4.48,0.746,2016, bologna
Défense,"25,12",19.03,1.12,2016, bologna
Milieu de terrain,"22,44",54.58,3.41,2016, bologna
Attaquant,"23,67",16.93,1.88,2016, bologna
Total,"23,71",95.0,1.98,2016, bologna
Gardien,"23,50",1.7,0.283,2017, bologna
Défense,"25,77",21.2,1.63,2017, bologna
Milieu de terrain,"23,42",60.4,5.03,2017, bologna
Attaquant,"24,10",20.25,2.03,2017, bologna
Total,"24,34",103.55,2.53,2017, bologna
Gardien,"24,17",7.53,1.25,2018, bologna
Défense,"24,20",27.53,1.84,2018, bologna
Milieu de terrain,"23,53",41.8,2.79,2018, bologna
Attaquant,"24,25",42.83,3.57,2018, bologna
Total,"24,00",119.68,2.49,2018, bologna
Gardien,"24,60",5.88,1.18,2019, bologna
Défense,"23,08",31.33,2.61,2019, bologna
Milieu de terrain,"23,62",40.55,3.12,2019, bologna
Attaquant,"23,40",51.9,5.19,2019, bologna
Total,"23,53",129.65,3.24,2019, bologna
Gardien,"25,00",4.3,0.86,2020, bologna
Défense,"23,71",48.7,2.86,2020, bologna
Milieu de terrain,"22,80",44.8,4.48,2020, bologna
Attaquant,"21,85",55.1,4.24,2020, bologna
Total,"23,11",152.9,3.4,2020, bologna
Gardien,"23,00",4.03,0.503,2014,carpi  1909
Défense,"22,33",7.8,0.65,2014,carpi  1909
Milieu de terrain,"22,00",6.75,0.563,2014,carpi  1909
Attaquant,"21,30",6.48,0.648,2014,carpi  1909
Total,"22,12",25.05,0.596,2014,carpi  1909
Gardien,"25,60",5.23,1.05,2015,carpi  1909
Défense,"24,50",18.55,1.33,2015,carpi  1909
Milieu de terrain,"24,53",17.28,1.15,2015,carpi  1909
Attaquant,"25,86",11.0,1.57,2015,carpi  1909
Total,"24,88",52.05,1.27,2015,carpi  1909
Gardien,"20,43",3.78,0.539,2016,carpi  1909
Défense,"25,08",8.85,0.738,2016,carpi  1909
Milieu de terrain,"21,40",5.98,0.398,2016,carpi  1909
Attaquant,"22,65",10.48,0.616,2016,carpi  1909
Total,"22,55",29.08,0.57,2016,carpi  1909
Gardien,"24,00",1.1,0.367,2017,carpi  1909
Défense,"23,38",6.55,0.504,2017,carpi  1909
Milieu de terrain,"22,50",5.35,0.446,2017,carpi  1909
Attaquant,"23,46",5.8,0.446,2017,carpi  1909
Total,"23,20",18.8,0.459,2017,carpi  1909
Gardien,"21,71",1.33,0.189,2018,carpi  1909
Défense,"23,06",4.2,0.263,2018,carpi  1909
Milieu de terrain,"22,17",7.6,0.422,2018,carpi  1909
Attaquant,"24,06",5.13,0.285,2018,carpi  1909
Total,"22,93",18.25,0.309,2018,carpi  1909
Gardien,"22,25",0.4,0.1,2019,carpi  1909
Défense,"23,92",1.75,0.135,2019,carpi  1909
Milieu de terrain,"21,90",1.35,0.135,2019,carpi  1909
Attaquant,"23,15",1.9,0.146,2019,carpi  1909
Total,"23,00",5.4,0.135,2019,carpi  1909
Gardien,"22,20",0.35,0.07,2020,carpi  1909
Défense,"22,17",1.15,0.096,2020,carpi  1909
Milieu de terrain,"19,74",1.16,0.061,2020,carpi  1909
Attaquant,"24,09",1.56,0.142,2020,carpi  1909
Total,"21,64",4.22,0.09,2020,carpi  1909
Gardien,"24,00",0.55,0.183,2014,frosinone calcio
Défense,"24,73",5.18,0.47,2014,frosinone calcio
Milieu de terrain,"23,27",5.68,0.378,2014,frosinone calcio
Attaquant,"27,14",5.68,0.811,2014,frosinone calcio
Total,"24,53",17.08,0.474,2014,frosinone calcio
Gardien,"24,00",10.98,1.83,2015,frosinone calcio
Défense,"26,27",8.45,0.768,2015,frosinone calcio
Milieu de terrain,"25,30",7.68,0.768,2015,frosinone calcio
Attaquant,"24,50",11.2,1.4,2015,frosinone calcio
Total,"25,20",38.3,1.09,2015,frosinone calcio
Gardien,"22,80",4.08,0.815,2016,frosinone calcio
Défense,"23,24",9.98,0.587,2016,frosinone calcio
Milieu de terrain,"24,00",6.58,0.598,2016,frosinone calcio
Attaquant,"24,00",8.0,0.889,2016,frosinone calcio
Total,"23,55",28.63,0.682,2016,frosinone calcio
Gardien,"24,40",1.65,0.33,2017,frosinone calcio
Défense,"22,85",7.23,0.556,2017,frosinone calcio
Milieu de terrain,"23,46",7.43,0.571,2017,frosinone calcio
Attaquant,"24,38",7.88,0.984,2017,frosinone calcio
Total,"23,56",24.18,0.62,2017,frosinone calcio
Gardien,"22,60",5.25,1.05,2018,frosinone calcio
Défense,"25,83",10.98,0.915,2018,frosinone calcio
Milieu de terrain,"24,73",15.55,1.04,2018,frosinone calcio
Attaquant,"24,67",22.75,1.9,2018,frosinone calcio
Total,"24,77",54.53,1.24,2018,frosinone calcio
Gardien,"21,00",1.03,0.171,2019,frosinone calcio
Défense,"26,18",6.33,0.575,2019,frosinone calcio
Milieu de terrain,"23,78",5.4,0.6,2019,frosinone calcio
Attaquant,"26,11",7.25,0.806,2019,frosinone calcio
Total,"24,66",20.0,0.571,2019,frosinone calcio
Gardien,"22,80",1.18,0.235,2020,frosinone calcio
Défense,"26,29",4.9,0.35,2020,frosinone calcio
Milieu de terrain,"23,17",5.0,0.417,2020,frosinone calcio
Attaquant,"24,18",7.65,0.695,2020,frosinone calcio
Total,"24,43",18.73,0.446,2020,frosinone calcio
Gardien,"23,71",1.4,0.2,2014, crotone
Défense,"22,00",2.9,0.223,2014, crotone
Milieu de terrain,"22,53",5.3,0.353,2014, crotone
Attaquant,"22,31",6.1,0.469,2014, crotone
Total,"22,50",15.7,0.327,2014, crotone
Gardien,"21,80",0.8,0.16,2015, crotone
Défense,"22,07",7.03,0.502,2015, crotone
Milieu de terrain,"24,11",3.23,0.358,2015, crotone
Attaquant,"24,50",9.55,0.955,2015, crotone
Total,"23,16",20.6,0.542,2015, crotone
Gardien,"23,50",1.75,0.438,2016, crotone
Défense,"23,91",11.75,1.07,2016, crotone
Milieu de terrain,"22,27",10.7,0.973,2016, crotone
Attaquant,"25,91",12.5,1.14,2016, crotone
Total,"23,97",36.7,0.992,2016, crotone
Gardien,"22,00",1.4,0.28,2017, crotone
Défense,"24,20",10.4,1.04,2017, crotone
Milieu de terrain,"22,92",20.6,1.58,2017, crotone
Attaquant,"22,67",15.45,1.29,2017, crotone
Total,"23,05",47.85,1.2,2017, crotone
Gardien,"24,00",0.625,0.156,2018, crotone
Défense,"22,26",7.8,0.411,2018, crotone
Milieu de terrain,"22,93",10.05,0.718,2018, crotone
Attaquant,"21,75",10.38,0.648,2018, crotone
Total,"22,42",28.85,0.544,2018, crotone
Gardien,"27,00",0.525,0.175,2019, crotone
Défense,"24,00",3.65,0.281,2019, crotone
Milieu de terrain,"23,22",7.13,0.792,2019, crotone
Attaquant,"24,75",7.6,0.633,2019, crotone
Total,"24,30",18.9,0.511,2019, crotone
Gardien,"25,50",0.85,0.213,2020, crotone
Défense,"24,67",11.05,0.921,2020, crotone
Milieu de terrain,"24,27",17.15,1.14,2020, crotone
Attaquant,"26,50",23.7,2.37,2020, crotone
Total,"25,05",52.75,1.29,2020, crotone
Gardien,"22,86",1.3,0.186,2014,delfino pescara 1936
Défense,"21,67",9.25,0.44,2014,delfino pescara 1936
Milieu de terrain,"24,27",9.7,0.647,2014,delfino pescara 1936
Attaquant,"22,93",11.15,0.796,2014,delfino pescara 1936
Total,"22,81",31.4,0.551,2014,delfino pescara 1936
Gardien,"25,60",1.08,0.215,2015,delfino pescara 1936
Défense,"23,04",8.5,0.37,2015,delfino pescara 1936
Milieu de terrain,"21,08",11.85,0.988,2015,delfino pescara 1936
Attaquant,"22,38",15.25,0.953,2015,delfino pescara 1936
Total,"22,66",36.68,0.655,2015,delfino pescara 1936
Gardien,"31,40",1.6,0.32,2016,delfino pescara 1936
Défense,"24,00",10.58,0.661,2016,delfino pescara 1936
Milieu de terrain,"22,47",20.05,1.34,2016,delfino pescara 1936
Attaquant,"22,07",15.9,1.14,2016,delfino pescara 1936
Total,"23,74",48.13,0.963,2016,delfino pescara 1936
Gardien,"22,67",1.5,0.25,2017,delfino pescara 1936
Défense,"26,36",6.95,0.496,2017,delfino pescara 1936
Milieu de terrain,"22,46",12.03,0.925,2017,delfino pescara 1936
Attaquant,"22,46",9.3,0.715,2017,delfino pescara 1936
Total,"23,67",29.78,0.647,2017,delfino pescara 1936
Gardien,"23,17",1.33,0.221,2018,delfino pescara 1936
Défense,"23,41",12.3,0.559,2018,delfino pescara 1936
Milieu de terrain,"22,00",8.55,0.534,2018,delfino pescara 1936
Attaquant,"21,39",9.68,0.538,2018,delfino pescara 1936
Total,"22,44",31.85,0.514,2018,delfino pescara 1936
Gardien,"25,00",1.43,0.285,2019,delfino pescara 1936
Défense,"25,33",5.18,0.345,2019,delfino pescara 1936
Milieu de terrain,"22,63",8.45,0.528,2019,delfino pescara 1936
Attaquant,"23,54",6.05,0.465,2019,delfino pescara 1936
Total,"23,94",21.1,0.431,2019,delfino pescara 1936
Gardien,"22,20",0.65,0.13,2020,delfino pescara 1936
Défense,"25,44",5.33,0.333,2020,delfino pescara 1936
Milieu de terrain,"24,94",6.53,0.408,2020,delfino pescara 1936
Attaquant,"21,31",4.95,0.381,2020,delfino pescara 1936
Total,"23,88",17.45,0.349,2020,delfino pescara 1936
Gardien,"19,33",0.35,0.117,2014,spal
Défense,"22,33",1.48,0.123,2014,spal
Milieu de terrain,"21,46",1.58,0.121,2014,spal
Attaquant,"22,50",1.5,0.188,2014,spal
Total,"21,81",4.9,0.136,2014,spal
Gardien,"19,60",0.675,0.135,2015,spal
Défense,"23,63",1.05,0.131,2015,spal
Milieu de terrain,"23,20",2.6,0.173,2015,spal
Attaquant,"22,86",1.3,0.186,2015,spal
Total,"22,71",5.63,0.161,2015,spal
Gardien,"22,40",4.78,0.955,2016,spal
Défense,"22,77",5.25,0.404,2016,spal
Milieu de terrain,"22,63",8.05,0.424,2016,spal
Attaquant,"22,89",6.33,0.703,2016,spal
Total,"22,70",24.4,0.53,2016,spal
Gardien,"22,00",15.33,3.07,2017,spal
Défense,"24,24",12.7,0.747,2017,spal
Milieu de terrain,"24,54",28.1,2.16,2017,spal
Attaquant,"26,29",7.38,1.05,2017,spal
Total,"24,40",63.5,1.51,2017,spal
Gardien,"24,29",4.95,0.707,2018,spal
Défense,"24,31",17.95,1.12,2018,spal
Milieu de terrain,"23,61",46.3,2.57,2018,spal
Attaquant,"25,60",28.23,2.82,2018,spal
Total,"24,31",97.43,1.91,2018,spal
Gardien,"22,75",3.58,0.894,2019,spal
Défense,"25,69",17.15,1.32,2019,spal
Milieu de terrain,"23,93",23.1,1.54,2019,spal
Attaquant,"25,10",29.8,2.98,2019,spal
Total,"24,64",73.63,1.75,2019,spal
Gardien,"22,33",3.28,0.546,2020,spal
Défense,"22,50",7.9,0.988,2020,spal
Milieu de terrain,"24,14",17.95,1.28,2020,spal
Attaquant,"24,00",17.9,1.49,2020,spal
Total,"23,50",47.03,1.18,2020,spal
Gardien,"21,60",0.475,0.095,2014,benevento calcio
Défense,"22,30",1.6,0.16,2014,benevento calcio
Milieu de terrain,"25,45",2.0,0.182,2014,benevento calcio
Attaquant,"23,67",1.88,0.208,2014,benevento calcio
Total,"23,54",5.95,0.17,2014,benevento calcio
Gardien,"24,67",0.25,0.083,2015,benevento calcio
Défense,"24,21",2.13,0.152,2015,benevento calcio
Milieu de terrain,"24,60",2.18,0.218,2015,benevento calcio
Attaquant,"24,38",1.68,0.209,2015,benevento calcio
Total,"24,40",6.23,0.178,2015,benevento calcio
Gardien,"22,14",4.5,0.643,2016,benevento calcio
Défense,"22,50",4.65,0.388,2016,benevento calcio
Milieu de terrain,"23,60",6.78,0.452,2016,benevento calcio
Attaquant,"22,58",8.48,0.706,2016,benevento calcio
Total,"22,83",24.4,0.53,2016,benevento calcio
Gardien,"24,00",3.1,0.517,2017,benevento calcio
Défense,"24,53",16.33,0.96,2017,benevento calcio
Milieu de terrain,"23,55",14.28,1.3,2017,benevento calcio
Attaquant,"23,93",24.1,1.72,2017,benevento calcio
Total,"24,06",57.8,1.2,2017,benevento calcio
Gardien,"26,80",1.23,0.245,2018,benevento calcio
Défense,"24,60",7.43,0.495,2018,benevento calcio
Milieu de terrain,"23,14",8.88,0.634,2018,benevento calcio
Attaquant,"23,00",11.08,1.01,2018,benevento calcio
Total,"24,00",28.6,0.636,2018,benevento calcio
Gardien,"31,00",1.95,0.65,2019,benevento calcio
Défense,"24,83",6.45,0.538,2019,benevento calcio
Milieu de terrain,"24,00",6.13,0.557,2019,benevento calcio
Attaquant,"25,71",6.4,0.914,2019,benevento calcio
Total,"25,30",20.93,0.634,2019,benevento calcio
Gardien,"28,00",3.8,0.95,2020,benevento calcio
Défense,"27,60",13.8,1.38,2020,benevento calcio
Milieu de terrain,"25,23",8.03,0.617,2020,benevento calcio
Attaquant,"25,89",24.5,2.72,2020,benevento calcio
Total,"26,36",50.13,1.39,2020,benevento calcio
Gardien,"22,80",0.6,0.12,2014,us lecce
Défense,"24,53",1.7,0.113,2014,us lecce
Milieu de terrain,"25,33",1.2,0.1,2014,us lecce
Attaquant,"24,55",1.68,0.152,2014,us lecce
Total,"24,56",5.18,0.12,2014,us lecce
Gardien,"25,00",0.6,0.2,2015,us lecce
Défense,"24,40",2.03,0.135,2015,us lecce
Milieu de terrain,"24,25",1.63,0.135,2015,us lecce
Attaquant,"23,92",2.68,0.223,2015,us lecce
Total,"24,26",6.93,0.165,2015,us lecce
Gardien,"23,33",0.9,0.15,2016,us lecce
Défense,"25,57",1.78,0.127,2016,us lecce
Milieu de terrain,"22,09",2.6,0.236,2016,us lecce
Attaquant,"22,50",1.8,0.18,2016,us lecce
Total,"23,56",7.08,0.173,2016,us lecce
Gardien,"20,50",0.525,0.131,2017,us lecce
Défense,"25,55",1.68,0.152,2017,us lecce
Milieu de terrain,"22,25",2.53,0.21,2017,us lecce
Attaquant,"24,00",1.9,0.19,2017,us lecce
Total,"23,51",6.63,0.179,2017,us lecce
Gardien,"20,50",0.9,0.15,2018,us lecce
Défense,"27,07",6.58,0.47,2018,us lecce
Milieu de terrain,"24,87",8.73,0.582,2018,us lecce
Attaquant,"23,29",10.3,0.736,2018,us lecce
Total,"24,51",26.5,0.541,2018,us lecce
Gardien,"23,20",1.68,0.335,2019,us lecce
Défense,"23,56",7.1,0.394,2019,us lecce
Milieu de terrain,"25,36",24.35,1.74,2019,us lecce
Attaquant,"23,20",19.2,1.92,2019,us lecce
Total,"23,98",52.33,1.11,2019,us lecce
Gardien,"23,60",1.8,0.36,2020,us lecce
Défense,"27,08",6.95,0.535,2020,us lecce
Milieu de terrain,"23,27",11.73,1.07,2020,us lecce
Attaquant,"23,25",13.75,1.15,2020,us lecce
Total,"24,51",34.23,0.835,2020,us lecce
Gardien,"21,17",0.65,0.108,2014,brescia calcio
Défense,"21,25",2.43,0.202,2014,brescia calcio
Milieu de terrain,"22,21",4.28,0.305,2014,brescia calcio
Attaquant,"24,00",3.13,0.391,2014,brescia calcio
Total,"22,13",10.48,0.262,2014,brescia calcio
Gardien,"23,20",0.75,0.15,2015,brescia calcio
Défense,"21,13",4.03,0.252,2015,brescia calcio
Milieu de terrain,"22,00",7.3,0.73,2015,brescia calcio
Attaquant,"23,25",3.73,0.31,2015,brescia calcio
Total,"22,16",15.8,0.367,2015,brescia calcio
Gardien,"21,63",1.45,0.181,2016,brescia calcio
Défense,"21,78",8.78,0.488,2016,brescia calcio
Milieu de terrain,"22,00",7.33,0.523,2016,brescia calcio
Attaquant,"21,88",4.2,0.525,2016,brescia calcio
Total,"21,83",21.75,0.453,2016,brescia calcio
Gardien,"20,83",1.45,0.242,2017,brescia calcio
Défense,"22,78",7.85,0.436,2017,brescia calcio
Milieu de terrain,"22,21",14.8,1.06,2017,brescia calcio
Attaquant,"22,91",4.85,0.441,2017,brescia calcio
Total,"22,41",28.95,0.591,2017,brescia calcio
Gardien,"24,33",0.75,0.25,2018,brescia calcio
Défense,"23,33",12.23,0.679,2018,brescia calcio
Milieu de terrain,"22,64",38.13,3.47,2018,brescia calcio
Attaquant,"22,33",8.35,0.928,2018,brescia calcio
Total,"23,00",59.45,1.45,2018,brescia calcio
Gardien,"24,50",4.6,1.15,2019,brescia calcio
Défense,"24,18",17.0,1.55,2019,brescia calcio
Milieu de terrain,"25,00",47.78,3.98,2019,brescia calcio
Attaquant,"26,17",14.45,2.41,2019,brescia calcio
