Positions,Âge,Valeur marchande (millions),Valeur marchande moyenne (millions),Years,Crew
Attaquant,"25,00",81.6,13.6,2020,lazio rom
Total,"24,59",324.85,7.38,2020,lazio rom
Gardien,"26,00",11.93,1.99,2014,ac florenz
Défense,"24,06",84.2,4.68,2014,ac florenz
Milieu de terrain,"25,46",51.88,3.99,2014,ac florenz
Attaquant,"25,00",70.73,5.89,2014,ac florenz
Total,"24,90",218.73,4.46,2014,ac florenz
Gardien,"22,25",8.88,2.22,2015,ac florenz
Défense,"26,82",41.05,3.73,2015,ac florenz
Milieu de terrain,"25,64",58.2,5.29,2015,ac florenz
Attaquant,"24,15",82.4,6.34,2015,ac florenz
Total,"25,13",190.53,4.89,2015,ac florenz
Gardien,"20,43",13.6,1.94,2016,ac florenz
Défense,"24,58",49.93,4.16,2016,ac florenz
Milieu de terrain,"24,60",54.65,5.47,2016,ac florenz
Attaquant,"22,62",98.9,7.61,2016,ac florenz
Total,"23,29",217.08,5.17,2016,ac florenz
Gardien,"18,80",8.38,1.68,2017,ac florenz
Défense,"21,42",46.0,3.83,2017,ac florenz
Milieu de terrain,"24,33",71.93,5.99,2017,ac florenz
Attaquant,"22,33",110.6,9.22,2017,ac florenz
Total,"22,22",236.9,5.78,2017,ac florenz
Gardien,"20,00",28.28,4.71,2018,ac florenz
Défense,"22,29",84.35,4.96,2018,ac florenz
Milieu de terrain,"22,17",87.9,4.88,2018,ac florenz
Attaquant,"22,07",114.8,7.65,2018,ac florenz
Total,"21,95",315.33,5.63,2018,ac florenz
Gardien,"21,00",12.0,2.4,2019,ac florenz
Défense,"23,57",83.8,5.99,2019,ac florenz
Milieu de terrain,"24,67",68.73,5.73,2019,ac florenz
Attaquant,"24,18",137.8,12.53,2019,ac florenz
Total,"23,74",302.33,7.2,2019,ac florenz
Gardien,"24,80",17.4,3.48,2020,ac florenz
Défense,"24,18",80.78,4.75,2020,ac florenz
Milieu de terrain,"24,91",62.5,5.68,2020,ac florenz
Attaquant,"25,38",125.85,15.73,2020,ac florenz
Total,"24,68",286.53,6.99,2020,ac florenz
Gardien,"28,20",6.7,1.34,2014,ssc neapel
Défense,"26,09",48.85,4.44,2014,ssc neapel
Milieu de terrain,"24,78",77.33,8.59,2014,ssc neapel
Attaquant,"24,78",129.3,14.37,2014,ssc neapel
Total,"25,71",262.18,7.71,2014,ssc neapel
Gardien,"25,60",9.88,1.98,2015,ssc neapel
Défense,"25,64",69.5,6.32,2015,ssc neapel
Milieu de terrain,"24,20",98.1,9.81,2015,ssc neapel
Attaquant,"24,38",144.45,18.06,2015,ssc neapel
Total,"24,91",321.93,9.47,2015,ssc neapel
Gardien,"28,00",5.2,1.73,2016,ssc neapel
Défense,"24,75",103.28,8.61,2016,ssc neapel
Milieu de terrain,"24,83",143.7,11.98,2016,ssc neapel
Attaquant,"23,60",135.2,13.52,2016,ssc neapel
Total,"24,73",387.38,10.47,2016,ssc neapel
Gardien,"26,25",2.8,0.7,2017,ssc neapel
Défense,"24,56",155.33,9.71,2017,ssc neapel
Milieu de terrain,"23,20",177.98,17.8,2017,ssc neapel
Attaquant,"23,60",168.18,16.82,2017,ssc neapel
Total,"24,15",504.28,12.61,2017,ssc neapel
Gardien,"21,80",35.9,3.59,2018,ssc neapel
Défense,"24,93",187.3,13.38,2018,ssc neapel
Milieu de terrain,"22,56",234.9,14.68,2018,ssc neapel
Attaquant,"23,57",188.8,13.49,2018,ssc neapel
Total,"23,30",646.9,11.98,2018,ssc neapel
Gardien,"23,60",31.6,6.32,2019,ssc neapel
Défense,"26,91",175.6,15.96,2019,ssc neapel
Milieu de terrain,"24,00",176.73,19.64,2019,ssc neapel
Attaquant,"27,38",164.35,20.54,2019,ssc neapel
Total,"25,73",548.28,16.61,2019,ssc neapel
Gardien,"24,00",25.65,6.41,2020,ssc neapel
Défense,"26,36",148.78,13.53,2020,ssc neapel
Milieu de terrain,"23,38",157.18,19.65,2020,ssc neapel
Attaquant,"25,22",198.6,22.07,2020,ssc neapel
Total,"25,00",530.2,16.57,2020,ssc neapel
Gardien,"22,80",16.95,3.39,2014,genua c
Défense,"24,50",28.63,1.59,2014,genua c
Milieu de terrain,"23,00",30.08,2.73,2014,genua c
Attaquant,"24,86",43.33,3.09,2014,genua c
Total,"24,08",118.98,2.48,2014,genua c
Gardien,"22,80",20.9,4.18,2015,genua c
Défense,"23,17",30.28,1.68,2015,genua c
Milieu de terrain,"23,58",29.93,2.49,2015,genua c
Attaquant,"23,25",36.45,3.04,2015,genua c
Total,"23,26",117.55,2.5,2015,genua c
Gardien,"24,20",17.23,3.45,2016,genua c
Défense,"25,81",25.28,1.58,2016,genua c
Milieu de terrain,"24,42",34.23,2.85,2016,genua c
Attaquant,"24,00",31.45,2.86,2016,genua c
Total,"24,80",108.18,2.46,2016,genua c
Gardien,"22,75",17.18,4.29,2017,genua c
Défense,"26,13",32.13,2.14,2017,genua c
Milieu de terrain,"26,10",26.3,2.63,2017,genua c
Attaquant,"23,73",59.5,3.97,2017,genua c
Total,"25,00",135.1,3.07,2017,genua c
Gardien,"22,63",18.23,2.28,2018,genua c
Défense,"23,79",42.55,1.77,2018,genua c
Milieu de terrain,"22,27",43.68,1.99,2018,genua c
Attaquant,"22,07",87.28,5.82,2018,genua c
Total,"22,80",191.73,2.78,2018,genua c
Gardien,"25,83",19.43,3.24,2019,genua c
Défense,"26,77",40.7,3.13,2019,genua c
Milieu de terrain,"25,50",26.83,2.24,2019,genua c
Attaquant,"23,00",56.03,4.67,2019,genua c
Total,"25,23",142.98,3.33,2019,genua c
Gardien,"26,80",8.4,1.68,2020,genua c
Défense,"27,17",33.53,2.79,2020,genua c
Milieu de terrain,"24,88",37.95,2.37,2020,genua c
Attaquant,"24,00",31.23,2.84,2020,genua c
Total,"25,50",111.1,2.53,2020,genua c
Gardien,"25,80",11.9,2.38,2014,sampdoria genua
Défense,"25,77",30.3,2.33,2014,sampdoria genua
Milieu de terrain,"23,17",33.68,2.81,2014,sampdoria genua
Attaquant,"24,18",60.25,5.48,2014,sampdoria genua
Total,"24,59",136.13,3.32,2014,sampdoria genua
Gardien,"26,25",6.75,1.69,2015,sampdoria genua
Défense,"26,07",39.7,2.65,2015,sampdoria genua
Milieu de terrain,"24,08",41.05,3.16,2015,sampdoria genua
Attaquant,"24,09",39.03,3.55,2015,sampdoria genua
Total,"24,98",126.53,2.94,2015,sampdoria genua
Gardien,"22,86",4.78,0.682,2016,sampdoria genua
Défense,"23,57",28.4,2.03,2016,sampdoria genua
Milieu de terrain,"24,07",48.13,3.44,2016,sampdoria genua
Attaquant,"24,14",36.28,5.18,2016,sampdoria genua
Total,"23,71",117.58,2.8,2016,sampdoria genua
Gardien,"25,50",4.28,0.713,2017,sampdoria genua
Défense,"23,85",38.75,2.98,2017,sampdoria genua
Milieu de terrain,"23,82",89.0,8.09,2017,sampdoria genua
Attaquant,"21,78",58.38,6.49,2017,sampdoria genua
Total,"23,62",190.4,4.88,2017,sampdoria genua
Gardien,"23,14",16.85,2.41,2018,sampdoria genua
Défense,"21,89",64.48,3.58,2018,sampdoria genua
Milieu de terrain,"22,72",86.35,4.8,2018,sampdoria genua
Attaquant,"22,75",49.08,3.07,2018,sampdoria genua
