Team,Value
Juventus Turin,640.40
Inter,573.30
Napoli,517.75
AC Milan,466.90
AS Roma,418.35
Atalanta BC,415.35
Lazio Rome,326.60
Fiorentina,248.80
Sassuolo,216.90
Torino,184.13
Cagliari,153.53
FC Bologna,142.48
Sampdoria,124.80
Hellas Verona,108.45
Udinese,101.60
Genoa,99.20
FC Empoli,71.60
Spezia Calcio,69.85
Venezia,66.38
Salernitana,37.80
