Rank,Team,Years,PTS,win_rate,G,GA,xG,xGA,Value totale,Value attaque,Value défense,coef défense,coef attaque
12,Torino,2015,45,0.316,52,55,49.42,41.29,89,22.0,27.125,0.9875746666666668,1.011605
9,Torino,2016,53,0.342,71,66,57.4,61.72,162,46.5,36.438,1.01407,1.04255625
9,Torino,2017,54,0.342,54,46,46.59,49.11,175,61.7,36.062,1.0202621428571426,1.0144830769230768
7,Torino,2018,63,0.421,52,37,46.47,48.94,239,76.1,56.688,1.015374,1.012161111111111
16,Torino,2019,40,0.289,46,68,43.49,63.49,163,46.8,43.625,1.0306339999999998,1.0036825
17,Torino,2020,37,0.184,50,69,49.6,64.22,175,59.5,36.062,1.030414,1.0038366666666667
10,AC Milan,2014,52,0.342,56,50,47.07,53.99,239,73.1,48.688,1.053783125,1.0397215384615384
7,AC Milan,2015,57,0.395,49,43,53.91,40.91,213,71.8,37.5,1.0480078947368423,1.0519016666666665
6,AC Milan,2016,63,0.474,57,45,59.67,50.21,254,70.4,50.375,1.0235430769230769,1.0715592307692308
6,AC Milan,2017,64,0.474,56,42,50.88,36.78,406,99.6,102.0,1.0330961538461538,1.0529453846153847
5,AC Milan,2018,68,0.5,55,36,52.16,41.7,578,168.7,118.438,1.0311731250000002,1.071937
6,AC Milan,2019,66,0.5,63,46,65.27,46.42,404,107.7,96.188,1.0380306250000002,1.039330909090909
2,AC Milan,2020,79,0.632,74,41,75.05,48.84,546,99.6,130.125,1.0313376923076922,1.054772
17,Palerme,2015,39,0.263,38,65,36.55,61.84,68,15.4,11.75,1.0112333333333334,0.9583207692307691
19,Palerme,2016,26,0.158,33,77,28.92,60.94,41,10.8,9.125,0.9731524999999999,0.9341600000000001
12,Sassuolo,2014,49,0.316,49,57,42.91,55.19,91,33.1,16.062,0.9706726315789477,1.0175458333333334
6,Sassuolo,2015,61,0.421,49,40,47.32,42.93,97,36.7,19.438,0.969047894736842,0.99459
10,Sassuolo,2016,49,0.368,60,61,50.57,61.9,145,62.0,19.5,0.9885385714285716,0.9693709090909092
11,Sassuolo,2017,43,0.289,29,59,47.15,50.63,126,49.5,25.812,0.9941592857142857,1.0177407692307692
11,Sassuolo,2018,43,0.237,53,60,49.75,61.11,242,71.5,56.438,1.0038142857142858,0.990330909090909
8,Sassuolo,2019,51,0.368,69,63,53.42,65.07,168,49.6,37.0,0.9976099999999999,0.9671550000000002
8,Sassuolo,2020,62,0.447,64,56,61.61,54.82,240,87.4,39.875,0.9693154999999999,0.9834233333333332
13,Hellas verone,2014,46,0.289,49,65,46.88,63.41,42,12.6,8.0,1.007294,0.9663638461538463
20,Hellas verone,2015,28,0.132,34,63,40.17,61.71,47,10.4,11.875,0.9846079999999999,0.9689258333333332
10,Hellas verone,2020,43,0.263,43,48,47.97,52.45,157,28.9,33.938,1.0019409090909088,0.9707875
14,Chievo,2014,43,0.263,28,41,33.01,48.99,62,16.2,12.25,0.9853305882352942,0.9665246153846153
9,Chievo,2015,50,0.342,43,45,40.59,51.09,49,17.8,7.375,0.993706923076923,0.9991222222222222
14,Chievo,2016,43,0.316,43,61,42.74,55.01,45,12.6,5.875,0.9616613333333334,0.9959008333333336
14,Chievo,2017,40,0.263,36,59,34.42,55.28,55,16.6,9.0,0.9571771428571428,1.0304627272727274
20,Chievo,2018,20,0.053,25,75,36.48,62.69,54,10.7,14.562,0.9580091666666667,0.9959745454545456
11,Empoli,2015,46,0.316,40,49,37.84,47.51,74,10.6,15.375,0.9701900000000002,0.9816719999999999
18,Empoli,2016,32,0.211,29,61,35.09,67.01,55,7.8,9.625,0.9974149999999998,0.9948538461538461
16,Udinese,2014,41,0.263,43,56,34.86,54.75,106,21.6,22.75,0.9942222222222222,1.0088062500000001
16,Udinese,2015,39,0.263,35,60,46.31,51.42,93,16.9,21.312,1.0205107142857142,1.0270433333333333
13,Udinese,2016,45,0.316,47,56,44.94,54.66,101,20.2,22.375,0.9851425,1.0215608333333333
13,Udinese,2017,40,0.316,48,63,45.2,50.71,107,21.1,22.062,0.99782,1.0152283333333332
12,Udinese,2018,43,0.289,39,53,42.49,62.23,201,39.1,32.812,0.9808224999999999,0.9718530769230771
14,Udinese,2019,45,0.316,37,51,43.69,52.54,121,22.9,20.938,0.9790683333333335,0.9981820000000001
14,Udinese,2020,40,0.263,42,58,48.24,56.38,172,32.4,33.625,0.96367,0.9994155555555556
17,Atalanta,2014,37,0.184,38,57,40.94,59.4,83,16.7,12.688,0.9720743750000002,0.9963881818181819
13,Atalanta,2015,45,0.289,41,47,46.08,51.41,78,17.5,14.312,0.9799921428571429,1.0493089999999998
4,Atalanta,2016,72,0.553,62,41,61.39,34.35,161,32.2,38.125,0.9766,0.9670011111111108
7,Atalanta,2017,60,0.421,57,39,64.29,36.5,207,48.9,53.438,1.0199953846153846,0.9826266666666668
3,Atalanta,2018,69,0.526,77,46,74.43,41.85,367,108.5,76.438,1.0027361538461537,0.9917272727272727
3,Atalanta,2019,78,0.605,98,48,86.17,41.73,291,82.6,73.375,0.9904976923076924,0.9929688888888888
3,Atalanta,2020,78,0.605,90,47,82.01,39.94,428,95.8,112.75,1.005803076923077,1.0193290000000002
18,Cagliari,2014,34,0.211,48,68,53.92,54.17,76,27.7,11.938,0.9969193750000003,0.978289090909091
16,Cagliari,2017,39,0.289,33,61,38.27,57.91,98,27.3,18.188,0.9766714285714286,0.960446153846154
15,Cagliari,2018,41,0.263,36,54,40.94,63.74,155,38.3,25.188,0.99239,0.9669792307692309
13,Cagliari,2019,45,0.289,52,56,41.92,60.98,167,37.5,29.062,0.9861123076923076,0.9671123076923078
16,Cagliari,2020,37,0.237,43,59,45.6,65.26,187,51.2,30.375,0.9997064285714287,0.9878009999999999
19,Parma,2014,26,0.158,33,75,31.77,60.74,67,19.0,12.0,1.0072308333333333,0.9745618181818181
10,Parma,2019,49,0.368,56,57,47.12,64.13,128,62.2,13.125,0.9633457142857145,0.9986618181818181
20,Parma,2020,20,0.079,39,83,42.98,66.69,128,41.9,27.688,0.9906438461538462,0.9997619999999999
15,Bologne,2016,41,0.289,40,58,36.51,58.3,95,18.2,15.75,0.970664375,0.9737416666666666
15,Bologne,2017,39,0.289,40,52,36.11,48.8,103,22.0,17.0,0.9815266666666668,1.0173450000000002
10,Bologne,2018,44,0.289,48,56,48.1,51.06,119,37.7,20.312,0.9918359999999999,0.9931399999999999
12,Bologne,2019,47,0.316,52,65,57.41,54.87,129,44.8,22.5,0.9749428571428572,1.0205161538461538
12,Bologne,2020,41,0.263,51,65,57.53,67.59,152,48.4,33.25,0.9793013333333332,1.0179927272727272
18,Crotone,2017,35,0.237,40,66,33.24,59.43,47,14.0,7.625,0.9482409090909091,0.919617
13,SPAL,2018,42,0.289,44,56,43.28,54.01,97,27.0,14.0,0.95584,0.9901745454545455
20,SPAL,2019,20,0.132,27,77,39.07,71.97,73,25.5,12.438,0.9691654545454547,0.9777263636363638
