Position,Valeur maximum,Years,Crew
Milieu,15.5,2019,fc-bologna
Attaquant,20.0,2019,fc-bologna
Total,20.0,2019,fc-bologna
Gardien,3.8,2020,fc-bologna
Défense,20.0,2020,fc-bologna
Milieu,12.0,2020,fc-bologna
Attaquant,20.0,2020,fc-bologna
Total,20.0,2020,fc-bologna
Gardien,2.8,2014,carpi-fc-1909
Défense,1.6,2014,carpi-fc-1909
Milieu,1.6,2014,carpi-fc-1909
Attaquant,3.0,2014,carpi-fc-1909
Total,3.0,2014,carpi-fc-1909
Gardien,2.5,2015,carpi-fc-1909
Défense,3.5,2015,carpi-fc-1909
Milieu,4.0,2015,carpi-fc-1909
Attaquant,2.6,2015,carpi-fc-1909
Total,4.0,2015,carpi-fc-1909
Gardien,2.3,2016,carpi-fc-1909
Défense,2.3,2016,carpi-fc-1909
Milieu,1.1,2016,carpi-fc-1909
Attaquant,3.0,2016,carpi-fc-1909
Total,3.0,2016,carpi-fc-1909
Gardien,0.9,2017,carpi-fc-1909
Défense,1.5,2017,carpi-fc-1909
Milieu,1.0,2017,carpi-fc-1909
Attaquant,2.0,2017,carpi-fc-1909
Total,2.0,2017,carpi-fc-1909
Gardien,0.8,2018,carpi-fc-1909
Défense,0.5,2018,carpi-fc-1909
Milieu,2.0,2018,carpi-fc-1909
Attaquant,0.7,2018,carpi-fc-1909
Total,2.0,2018,carpi-fc-1909
Gardien,0.3,2019,carpi-fc-1909
Défense,0.3,2019,carpi-fc-1909
Milieu,0.3,2019,carpi-fc-1909
Attaquant,0.35,2019,carpi-fc-1909
Total,0.35,2019,carpi-fc-1909
Gardien,0.1,2020,carpi-fc-1909
Défense,0.25,2020,carpi-fc-1909
Milieu,0.25,2020,carpi-fc-1909
Attaquant,0.25,2020,carpi-fc-1909
Total,0.4,2020,carpi-fc-1909
Gardien,0.4,2014,frosinone-calcio
Défense,1.2,2014,frosinone-calcio
Milieu,1.6,2014,frosinone-calcio
Attaquant,2.0,2014,frosinone-calcio
Total,2.0,2014,frosinone-calcio
Gardien,6.0,2015,frosinone-calcio
Défense,1.5,2015,frosinone-calcio
Milieu,1.5,2015,frosinone-calcio
Attaquant,3.0,2015,frosinone-calcio
Total,6.0,2015,frosinone-calcio
Gardien,3.5,2016,frosinone-calcio
Défense,1.8,2016,frosinone-calcio
Milieu,1.7,2016,frosinone-calcio
Attaquant,3.5,2016,frosinone-calcio
Total,3.5,2016,frosinone-calcio
Gardien,1.0,2017,frosinone-calcio
Défense,1.5,2017,frosinone-calcio
Milieu,1.8,2017,frosinone-calcio
Attaquant,2.8,2017,frosinone-calcio
Total,2.8,2017,frosinone-calcio
Gardien,4.0,2018,frosinone-calcio
Défense,2.0,2018,frosinone-calcio
Milieu,3.5,2018,frosinone-calcio
Attaquant,10.0,2018,frosinone-calcio
Total,10.0,2018,frosinone-calcio
Gardien,0.65,2019,frosinone-calcio
Défense,1.6,2019,frosinone-calcio
Milieu,1.4,2019,frosinone-calcio
Attaquant,2.4,2019,frosinone-calcio
Total,2.4,2019,frosinone-calcio
Gardien,0.7,2020,frosinone-calcio
Défense,1.0,2020,frosinone-calcio
Milieu,0.95,2020,frosinone-calcio
Attaquant,1.7,2020,frosinone-calcio
Total,1.7,2020,frosinone-calcio
Gardien,0.4,2014,fc-crotone
Défense,0.9,2014,fc-crotone
Milieu,1.5,2014,fc-crotone
Attaquant,1.8,2014,fc-crotone
Total,1.8,2014,fc-crotone
Gardien,0.4,2015,fc-crotone
Défense,1.8,2015,fc-crotone
Milieu,1.3,2015,fc-crotone
Attaquant,3.8,2015,fc-crotone
Total,3.8,2015,fc-crotone
Gardien,1.0,2016,fc-crotone
Défense,4.0,2016,fc-crotone
Milieu,3.0,2016,fc-crotone
Attaquant,5.0,2016,fc-crotone
Total,5.0,2016,fc-crotone
Gardien,1.0,2017,fc-crotone
Défense,2.8,2017,fc-crotone
Milieu,10.0,2017,fc-crotone
Attaquant,3.5,2017,fc-crotone
Total,10.0,2017,fc-crotone
Gardien,0.4,2018,fc-crotone
Défense,1.8,2018,fc-crotone
Milieu,2.5,2018,fc-crotone
Attaquant,3.0,2018,fc-crotone
Total,3.0,2018,fc-crotone
Gardien,0.325,2019,fc-crotone
Défense,0.675,2019,fc-crotone
Milieu,2.0,2019,fc-crotone
Attaquant,1.7,2019,fc-crotone
Total,2.0,2019,fc-crotone
Gardien,0.5,2020,fc-crotone
Défense,2.5,2020,fc-crotone
Milieu,1.8,2020,fc-crotone
Attaquant,8.0,2020,fc-crotone
Total,8.0,2020,fc-crotone
Gardien,0.7,2014,delfino-pescara-1936
Défense,1.5,2014,delfino-pescara-1936
Milieu,2.0,2014,delfino-pescara-1936
Attaquant,2.0,2014,delfino-pescara-1936
Total,2.0,2014,delfino-pescara-1936
Gardien,0.7,2015,delfino-pescara-1936
Défense,2.0,2015,delfino-pescara-1936
Milieu,3.0,2015,delfino-pescara-1936
Attaquant,6.5,2015,delfino-pescara-1936
Total,6.5,2015,delfino-pescara-1936
Gardien,0.6,2016,delfino-pescara-1936
Défense,2.5,2016,delfino-pescara-1936
Milieu,3.8,2016,delfino-pescara-1936
Attaquant,6.0,2016,delfino-pescara-1936
Total,6.0,2016,delfino-pescara-1936
Gardien,0.7,2017,delfino-pescara-1936
Défense,1.8,2017,delfino-pescara-1936
Milieu,2.5,2017,delfino-pescara-1936
Attaquant,1.5,2017,delfino-pescara-1936
Total,2.5,2017,delfino-pescara-1936
Gardien,0.8,2018,delfino-pescara-1936
Défense,5.0,2018,delfino-pescara-1936
Milieu,2.5,2018,delfino-pescara-1936
Attaquant,2.5,2018,delfino-pescara-1936
Total,5.0,2018,delfino-pescara-1936
Gardien,0.525,2019,delfino-pescara-1936
Défense,1.9,2019,delfino-pescara-1936
Milieu,1.5,2019,delfino-pescara-1936
Attaquant,1.8,2019,delfino-pescara-1936
Total,1.9,2019,delfino-pescara-1936
Gardien,0.3,2020,delfino-pescara-1936
Défense,1.0,2020,delfino-pescara-1936
Milieu,1.0,2020,delfino-pescara-1936
Attaquant,1.3,2020,delfino-pescara-1936
Total,1.3,2020,delfino-pescara-1936
Gardien,0.225,2014,spal
Défense,0.35,2014,spal
Milieu,0.275,2014,spal
Attaquant,0.4,2014,spal
Total,0.4,2014,spal
Gardien,0.4,2015,spal
Défense,0.375,2015,spal
Milieu,0.5,2015,spal
Attaquant,0.475,2015,spal
Total,0.5,2015,spal
Gardien,4.0,2016,spal
Défense,1.0,2016,spal
Milieu,1.6,2016,spal
Attaquant,2.5,2016,spal
Total,4.0,2016,spal
Gardien,12.0,2017,spal
Défense,2.5,2017,spal
Milieu,7.0,2017,spal
Attaquant,3.5,2017,spal
Total,12.0,2017,spal
Gardien,2.0,2018,spal
Défense,5.5,2018,spal
Milieu,6.0,2018,spal
Attaquant,20.0,2018,spal
Total,20.0,2018,spal
Gardien,2.4,2019,spal
Défense,4.5,2019,spal
Milieu,3.5,2019,spal
Attaquant,14.5,2019,spal
Total,14.5,2019,spal
Gardien,2.2,2020,spal
Défense,3.2,2020,spal
Milieu,3.0,2020,spal
Attaquant,6.0,2020,spal
Total,6.0,2020,spal
Gardien,0.2,2014,benevento-calcio
Défense,0.4,2014,benevento-calcio
Milieu,0.4,2014,benevento-calcio
Attaquant,0.5,2014,benevento-calcio
Total,0.5,2014,benevento-calcio
Gardien,0.125,2015,benevento-calcio
Défense,0.4,2015,benevento-calcio
Milieu,0.45,2015,benevento-calcio
Attaquant,0.3,2015,benevento-calcio
Total,0.45,2015,benevento-calcio
Gardien,3.5,2016,benevento-calcio
Défense,1.0,2016,benevento-calcio
Milieu,2.0,2016,benevento-calcio
Attaquant,1.8,2016,benevento-calcio
Total,3.5,2016,benevento-calcio
Gardien,1.7,2017,benevento-calcio
Défense,2.5,2017,benevento-calcio
Milieu,4.0,2017,benevento-calcio
Attaquant,4.0,2017,benevento-calcio
Total,4.0,2017,benevento-calcio
Gardien,1.0,2018,benevento-calcio
Défense,1.5,2018,benevento-calcio
Milieu,3.0,2018,benevento-calcio
Attaquant,2.0,2018,benevento-calcio
Total,3.0,2018,benevento-calcio
Gardien,1.7,2019,benevento-calcio
Défense,1.3,2019,benevento-calcio
Milieu,1.6,2019,benevento-calcio
Attaquant,1.5,2019,benevento-calcio
Total,1.7,2019,benevento-calcio
Gardien,3.5,2020,benevento-calcio
Défense,3.5,2020,benevento-calcio
Milieu,1.8,2020,benevento-calcio
Attaquant,8.0,2020,benevento-calcio
Total,8.0,2020,benevento-calcio
Gardien,0.3,2014,us-lecce
Défense,0.225,2014,us-lecce
Milieu,0.175,2014,us-lecce
Attaquant,0.4,2014,us-lecce
Total,0.4,2014,us-lecce
Gardien,0.3,2015,us-lecce
Défense,0.3,2015,us-lecce
Milieu,0.2,2015,us-lecce
Attaquant,0.45,2015,us-lecce
Total,0.45,2015,us-lecce
Gardien,0.35,2016,us-lecce
Défense,0.275,2016,us-lecce
Milieu,0.6,2016,us-lecce
Attaquant,0.5,2016,us-lecce
Total,0.6,2016,us-lecce
Gardien,0.4,2017,us-lecce
Défense,0.3,2017,us-lecce
Milieu,0.45,2017,us-lecce
Attaquant,0.35,2017,us-lecce
Total,0.45,2017,us-lecce
Gardien,0.6,2018,us-lecce
Défense,2.0,2018,us-lecce
Milieu,2.0,2018,us-lecce
Attaquant,2.5,2018,us-lecce
Total,2.5,2018,us-lecce
Gardien,0.8,2019,us-lecce
Défense,1.4,2019,us-lecce
Milieu,8.0,2019,us-lecce
Attaquant,5.2,2019,us-lecce
Total,8.0,2019,us-lecce
Gardien,1.2,2020,us-lecce
Défense,2.0,2020,us-lecce
Milieu,2.5,2020,us-lecce
Attaquant,2.5,2020,us-lecce
Total,3.5,2020,us-lecce
Gardien,0.15,2014,brescia-calcio
Défense,0.9,2014,brescia-calcio
Milieu,1.1,2014,brescia-calcio
Attaquant,0.75,2014,brescia-calcio
Total,1.1,2014,brescia-calcio
Gardien,0.5,2015,brescia-calcio
Défense,1.0,2015,brescia-calcio
Milieu,2.0,2015,brescia-calcio
Attaquant,2.0,2015,brescia-calcio
Total,2.0,2015,brescia-calcio
Gardien,1.0,2016,brescia-calcio
Défense,1.5,2016,brescia-calcio
Milieu,2.2,2016,brescia-calcio
Attaquant,2.0,2016,brescia-calcio
Total,2.2,2016,brescia-calcio
Gardien,1.0,2017,brescia-calcio
Défense,2.5,2017,brescia-calcio
Milieu,7.0,2017,brescia-calcio
Attaquant,1.2,2017,brescia-calcio
Total,7.0,2017,brescia-calcio
Gardien,0.6,2018,brescia-calcio
Défense,2.5,2018,brescia-calcio
Milieu,25.0,2018,brescia-calcio
Attaquant,4.0,2018,brescia-calcio
Total,25.0,2018,brescia-calcio
Gardien,4.0,2019,brescia-calcio
Défense,6.5,2019,brescia-calcio
Milieu,31.5,2019,brescia-calcio
Attaquant,5.5,2019,brescia-calcio
Total,31.5,2019,brescia-calcio
Gardien,1.7,2020,brescia-calcio
Défense,5.0,2020,brescia-calcio
Milieu,2.5,2020,brescia-calcio
Attaquant,5.5,2020,brescia-calcio
Total,5.5,2020,brescia-calcio
Gardien,0.5,2014,spezia-calcio
Défense,1.4,2014,spezia-calcio
Milieu,1.7,2014,spezia-calcio
Attaquant,2.0,2014,spezia-calcio
Total,2.0,2014,spezia-calcio
Gardien,0.6,2015,spezia-calcio
Défense,1.0,2015,spezia-calcio
Milieu,1.4,2015,spezia-calcio
Attaquant,1.5,2015,spezia-calcio
Total,1.5,2015,spezia-calcio
Gardien,1.0,2016,spezia-calcio
Défense,2.5,2016,spezia-calcio
Milieu,1.5,2016,spezia-calcio
Attaquant,1.5,2016,spezia-calcio
Total,2.5,2016,spezia-calcio
Gardien,1.2,2017,spezia-calcio
Défense,0.9,2017,spezia-calcio
Milieu,2.0,2017,spezia-calcio
Attaquant,1.5,2017,spezia-calcio
Total,2.0,2017,spezia-calcio
Gardien,0.8,2018,spezia-calcio
Défense,2.0,2018,spezia-calcio
Milieu,1.0,2018,spezia-calcio
Attaquant,6.0,2018,spezia-calcio
Total,6.0,2018,spezia-calcio
Gardien,1.3,2019,spezia-calcio
Défense,1.8,2019,spezia-calcio
Milieu,1.4,2019,spezia-calcio
Attaquant,1.1,2019,spezia-calcio
Total,1.8,2019,spezia-calcio
Gardien,2.5,2020,spezia-calcio
Défense,3.0,2020,spezia-calcio
Milieu,7.5,2020,spezia-calcio
Attaquant,4.0,2020,spezia-calcio
Total,7.5,2020,spezia-calcio
