Position,Valeur maximum,Years,Crew
Milieu,40.0,2016,ssc-neapel
Attaquant,35.0,2016,ssc-neapel
Total,40.0,2016,ssc-neapel
Gardien,1.0,2017,ssc-neapel
Défense,60.0,2017,ssc-neapel
Milieu,50.0,2017,ssc-neapel
Attaquant,60.0,2017,ssc-neapel
Total,60.0,2017,ssc-neapel
Gardien,25.0,2018,ssc-neapel
Défense,75.0,2018,ssc-neapel
Milieu,60.0,2018,ssc-neapel
Attaquant,65.0,2018,ssc-neapel
Total,75.0,2018,ssc-neapel
Gardien,28.0,2019,ssc-neapel
Défense,56.0,2019,ssc-neapel
Milieu,48.0,2019,ssc-neapel
Attaquant,48.0,2019,ssc-neapel
Total,56.0,2019,ssc-neapel
Gardien,20.0,2020,ssc-neapel
Défense,48.0,2020,ssc-neapel
Milieu,50.0,2020,ssc-neapel
Attaquant,50.0,2020,ssc-neapel
Total,50.0,2020,ssc-neapel
Gardien,15.0,2014,genua-cfc
Défense,7.5,2014,genua-cfc
Milieu,6.0,2014,genua-cfc
Attaquant,9.0,2014,genua-cfc
Total,15.0,2014,genua-cfc
Gardien,17.5,2015,genua-cfc
Défense,6.0,2015,genua-cfc
Milieu,8.0,2015,genua-cfc
Attaquant,12.0,2015,genua-cfc
Total,17.5,2015,genua-cfc
Gardien,15.0,2016,genua-cfc
Défense,7.5,2016,genua-cfc
Milieu,8.0,2016,genua-cfc
Attaquant,11.0,2016,genua-cfc
Total,15.0,2016,genua-cfc
Gardien,16.0,2017,genua-cfc
Défense,13.0,2017,genua-cfc
Milieu,7.5,2017,genua-cfc
Attaquant,25.0,2017,genua-cfc
Total,25.0,2017,genua-cfc
Gardien,15.0,2018,genua-cfc
Défense,15.0,2018,genua-cfc
Milieu,10.0,2018,genua-cfc
Attaquant,40.0,2018,genua-cfc
Total,40.0,2018,genua-cfc
Gardien,9.5,2019,genua-cfc
Défense,13.5,2019,genua-cfc
Milieu,8.0,2019,genua-cfc
Attaquant,17.5,2019,genua-cfc
Total,17.5,2019,genua-cfc
Gardien,7.0,2020,genua-cfc
Défense,9.0,2020,genua-cfc
Milieu,5.0,2020,genua-cfc
Attaquant,15.0,2020,genua-cfc
Total,15.0,2020,genua-cfc
Gardien,5.5,2014,sampdoria-genua
Défense,6.5,2014,sampdoria-genua
Milieu,10.0,2014,sampdoria-genua
Attaquant,14.0,2014,sampdoria-genua
Total,14.0,2014,sampdoria-genua
Gardien,5.0,2015,sampdoria-genua
Défense,7.5,2015,sampdoria-genua
Milieu,12.5,2015,sampdoria-genua
Attaquant,10.0,2015,sampdoria-genua
Total,12.5,2015,sampdoria-genua
Gardien,4.0,2016,sampdoria-genua
Défense,7.0,2016,sampdoria-genua
Milieu,9.0,2016,sampdoria-genua
Attaquant,17.0,2016,sampdoria-genua
Total,17.0,2016,sampdoria-genua
Gardien,2.0,2017,sampdoria-genua
Défense,12.0,2017,sampdoria-genua
Milieu,30.0,2017,sampdoria-genua
Attaquant,20.0,2017,sampdoria-genua
Total,30.0,2017,sampdoria-genua
Gardien,15.0,2018,sampdoria-genua
Défense,25.0,2018,sampdoria-genua
Milieu,24.0,2018,sampdoria-genua
Attaquant,12.0,2018,sampdoria-genua
Total,25.0,2018,sampdoria-genua
