Position,Valeur maximum,Years,Crew
Défense,13.0,2014,olympique-marseille
Milieu,12.0,2014,olympique-marseille
Attaquant,13.0,2014,olympique-marseille
Total,13.0,2014,olympique-marseille
Gardien,10.0,2015,olympique-marseille
Défense,10.0,2015,olympique-marseille
Milieu,8.0,2015,olympique-marseille
Attaquant,15.0,2015,olympique-marseille
Total,15.0,2015,olympique-marseille
Gardien,0.5,2016,olympique-marseille
Défense,2.5,2016,olympique-marseille
Milieu,12.0,2016,olympique-marseille
Attaquant,26.0,2016,olympique-marseille
Total,26.0,2016,olympique-marseille
Gardien,2.5,2017,olympique-marseille
Défense,16.0,2017,olympique-marseille
Milieu,18.0,2017,olympique-marseille
Attaquant,50.0,2017,olympique-marseille
Total,50.0,2017,olympique-marseille
Gardien,2.5,2018,olympique-marseille
Défense,15.0,2018,olympique-marseille
Milieu,28.0,2018,olympique-marseille
Attaquant,45.0,2018,olympique-marseille
Total,45.0,2018,olympique-marseille
Gardien,2.4,2019,olympique-marseille
Défense,20.0,2019,olympique-marseille
Milieu,27.0,2019,olympique-marseille
Attaquant,32.0,2019,olympique-marseille
Total,32.0,2019,olympique-marseille
Gardien,2.0,2020,olympique-marseille
Défense,25.0,2020,olympique-marseille
Milieu,37.0,2020,olympique-marseille
Attaquant,22.0,2020,olympique-marseille
Total,37.0,2020,olympique-marseille
Gardien,10.0,2014,as-saint-etienne
Défense,8.0,2014,as-saint-etienne
Milieu,6.0,2014,as-saint-etienne
Attaquant,6.5,2014,as-saint-etienne
Total,10.0,2014,as-saint-etienne
Gardien,10.0,2015,as-saint-etienne
Défense,8.0,2015,as-saint-etienne
Milieu,4.5,2015,as-saint-etienne
Attaquant,8.0,2015,as-saint-etienne
Total,10.0,2015,as-saint-etienne
Gardien,6.0,2016,as-saint-etienne
Défense,7.5,2016,as-saint-etienne
Milieu,9.0,2016,as-saint-etienne
Attaquant,4.5,2016,as-saint-etienne
Total,9.0,2016,as-saint-etienne
Gardien,5.0,2017,as-saint-etienne
Défense,5.0,2017,as-saint-etienne
Milieu,9.0,2017,as-saint-etienne
Attaquant,8.0,2017,as-saint-etienne
Total,9.0,2017,as-saint-etienne
Gardien,3.5,2018,as-saint-etienne
Défense,12.0,2018,as-saint-etienne
Milieu,14.0,2018,as-saint-etienne
Attaquant,16.0,2018,as-saint-etienne
Total,16.0,2018,as-saint-etienne
Gardien,2.4,2019,as-saint-etienne
Défense,22.5,2019,as-saint-etienne
Milieu,7.2,2019,as-saint-etienne
Attaquant,8.0,2019,as-saint-etienne
Total,22.5,2019,as-saint-etienne
Gardien,3.5,2020,as-saint-etienne
Défense,40.0,2020,as-saint-etienne
Milieu,12.0,2020,as-saint-etienne
Attaquant,9.0,2020,as-saint-etienne
Total,40.0,2020,as-saint-etienne
Gardien,2.5,2014,ogc-nizza
Défense,4.0,2014,ogc-nizza
Milieu,7.5,2014,ogc-nizza
Attaquant,4.0,2014,ogc-nizza
Total,7.5,2014,ogc-nizza
Gardien,2.5,2015,ogc-nizza
Défense,4.5,2015,ogc-nizza
Milieu,10.0,2015,ogc-nizza
Attaquant,5.5,2015,ogc-nizza
Total,10.0,2015,ogc-nizza
Gardien,5.5,2016,ogc-nizza
Défense,9.0,2016,ogc-nizza
Milieu,14.0,2016,ogc-nizza
Attaquant,15.0,2016,ogc-nizza
Total,15.0,2016,ogc-nizza
Gardien,3.5,2017,ogc-nizza
Défense,15.0,2017,ogc-nizza
Milieu,30.0,2017,ogc-nizza
Attaquant,24.0,2017,ogc-nizza
Total,30.0,2017,ogc-nizza
Gardien,10.0,2018,ogc-nizza
Défense,20.0,2018,ogc-nizza
Milieu,14.0,2018,ogc-nizza
Attaquant,25.0,2018,ogc-nizza
Total,25.0,2018,ogc-nizza
Gardien,8.0,2019,ogc-nizza
Défense,20.0,2019,ogc-nizza
Milieu,14.5,2019,ogc-nizza
Attaquant,16.0,2019,ogc-nizza
Total,20.0,2019,ogc-nizza
Gardien,10.0,2020,ogc-nizza
Défense,18.0,2020,ogc-nizza
Milieu,22.0,2020,ogc-nizza
Attaquant,30.0,2020,ogc-nizza
Total,30.0,2020,ogc-nizza
Gardien,1.0,2014,stade-reims
Défense,4.0,2014,stade-reims
Milieu,3.0,2014,stade-reims
Attaquant,2.5,2014,stade-reims
Total,4.0,2014,stade-reims
Gardien,1.0,2015,stade-reims
Défense,4.5,2015,stade-reims
Milieu,3.0,2015,stade-reims
Attaquant,2.5,2015,stade-reims
Total,4.5,2015,stade-reims
Gardien,1.0,2016,stade-reims
Défense,2.0,2016,stade-reims
Milieu,1.0,2016,stade-reims
Attaquant,1.75,2016,stade-reims
Total,2.0,2016,stade-reims
Gardien,1.0,2017,stade-reims
Défense,2.5,2017,stade-reims
Milieu,1.5,2017,stade-reims
Attaquant,2.5,2017,stade-reims
Total,2.5,2017,stade-reims
Gardien,9.0,2018,stade-reims
Défense,6.0,2018,stade-reims
Milieu,7.5,2018,stade-reims
Attaquant,11.0,2018,stade-reims
Total,11.0,2018,stade-reims
Gardien,5.5,2019,stade-reims
Défense,7.2,2019,stade-reims
Milieu,6.0,2019,stade-reims
Attaquant,9.0,2019,stade-reims
Total,9.0,2019,stade-reims
Gardien,9.0,2020,stade-reims
Défense,7.0,2020,stade-reims
Milieu,7.0,2020,stade-reims
Attaquant,14.0,2020,stade-reims
Total,14.0,2020,stade-reims
Gardien,8.0,2014,fc-stade-rennes
Défense,6.0,2014,fc-stade-rennes
Milieu,4.5,2014,fc-stade-rennes
Attaquant,10.0,2014,fc-stade-rennes
Total,10.0,2014,fc-stade-rennes
Gardien,8.0,2015,fc-stade-rennes
Défense,5.0,2015,fc-stade-rennes
Milieu,7.0,2015,fc-stade-rennes
Attaquant,12.0,2015,fc-stade-rennes
Total,12.0,2015,fc-stade-rennes
Gardien,7.5,2016,fc-stade-rennes
Défense,4.0,2016,fc-stade-rennes
Milieu,4.0,2016,fc-stade-rennes
Attaquant,8.0,2016,fc-stade-rennes
Total,8.0,2016,fc-stade-rennes
Gardien,7.0,2017,fc-stade-rennes
Défense,15.0,2017,fc-stade-rennes
Milieu,12.0,2017,fc-stade-rennes
Attaquant,14.0,2017,fc-stade-rennes
Total,15.0,2017,fc-stade-rennes
Gardien,6.0,2018,fc-stade-rennes
Défense,8.0,2018,fc-stade-rennes
Milieu,12.0,2018,fc-stade-rennes
Attaquant,30.0,2018,fc-stade-rennes
Total,30.0,2018,fc-stade-rennes
Gardien,7.0,2019,fc-stade-rennes
Défense,8.0,2019,fc-stade-rennes
Milieu,37.5,2019,fc-stade-rennes
Attaquant,16.0,2019,fc-stade-rennes
Total,37.5,2019,fc-stade-rennes
Gardien,25.0,2020,fc-stade-rennes
Défense,12.0,2020,fc-stade-rennes
Milieu,55.0,2020,fc-stade-rennes
Attaquant,30.0,2020,fc-stade-rennes
Total,55.0,2020,fc-stade-rennes
Gardien,4.5,2014,montpellier-hsc
Défense,4.0,2014,montpellier-hsc
Milieu,6.5,2014,montpellier-hsc
Attaquant,4.5,2014,montpellier-hsc
Total,6.5,2014,montpellier-hsc
Gardien,3.0,2015,montpellier-hsc
Défense,2.0,2015,montpellier-hsc
Milieu,5.0,2015,montpellier-hsc
Attaquant,4.2,2015,montpellier-hsc
Total,5.0,2015,montpellier-hsc
Gardien,2.0,2016,montpellier-hsc
Défense,3.5,2016,montpellier-hsc
Milieu,12.0,2016,montpellier-hsc
Attaquant,5.5,2016,montpellier-hsc
Total,12.0,2016,montpellier-hsc
Gardien,6.0,2017,montpellier-hsc
Défense,14.0,2017,montpellier-hsc
Milieu,10.0,2017,montpellier-hsc
Attaquant,3.5,2017,montpellier-hsc
Total,14.0,2017,montpellier-hsc
Gardien,17.0,2018,montpellier-hsc
Défense,8.0,2018,montpellier-hsc
Milieu,12.0,2018,montpellier-hsc
Attaquant,12.5,2018,montpellier-hsc
Total,17.0,2018,montpellier-hsc
Gardien,8.0,2019,montpellier-hsc
Défense,4.8,2019,montpellier-hsc
Milieu,9.5,2019,montpellier-hsc
Attaquant,10.5,2019,montpellier-hsc
Total,10.5,2019,montpellier-hsc
Gardien,8.0,2020,montpellier-hsc
Défense,6.5,2020,montpellier-hsc
Milieu,11.0,2020,montpellier-hsc
Attaquant,16.0,2020,montpellier-hsc
Total,16.0,2020,montpellier-hsc
