id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,year
3211,Martin Braithwaite,34,2105,6,8.2639,2,2.0119,72,15,0,0,F M S,Toulouse,6,8.2639,11.3792,1.6237,2014
3237,Aissa Mandi,32,2805,6,4.306,2,2.5672,22,22,3,0,D,Reims,6,4.306,6.9678,5.067,2014
3243,Gaëtan Charbonnier,33,2423,6,6.6455,5,3.4692,55,32,9,0,F M S,Reims,4,5.1253,10.8367,4.9751,2014
3328,Floyd Ayité,30,2338,6,3.5137,2,3.0203,55,28,4,0,F M S,SC Bastia,6,3.5137,6.1433,1.578,2014
3406,Emiliano Sala,24,1266,6,5.4508,1,0.7693,30,8,2,0,F M S,"Bordeaux,Caen",4,3.9306,4.0506,0.44,2014
3478,Sloan Privat,20,980,6,5.9157,1,0.9311,40,9,1,0,F S,Caen,6,5.9157,4.5869,0.8936,2014
3696,Morgan Sanson,32,2744,6,5.5302,3,3.799,44,37,3,0,F M S,Montpellier,6,5.5302,13.2663,6.485,2014
942,Florian Thauvin,36,2609,5,7.0324,4,4.597,70,54,2,0,D F M S,Marseille,5,7.0324,13.8319,4.8367,2014
1012,Ricky van Wolfswinkel,28,1612,5,5.4542,4,1.9444,31,12,2,0,F S,Saint-Etienne,5,5.4542,6.2507,0.5499,2014
3228,Giovanni Sio,13,811,5,2.5102,0,0.5407,20,8,2,1,F M S,SC Bastia,5,2.5102,2.5749,0.2277,2014
3295,Javier Pastore,34,2764,5,5.0486,12,9.3117,43,53,4,0,F M S,Paris Saint Germain,5,5.0486,28.0002,18.1233,2014
3343,Ryad Boudebouz,34,2831,5,5.0194,3,3.058,37,50,3,0,F M S,SC Bastia,1,1.9791,8.1251,5.4763,2014
3527,Julien Féret,37,2923,5,3.0113,5,4.6414,34,64,3,0,M S,Caen,3,1.4911,12.0342,7.9858,2014
4716,Clarck N&#039;Sikulu,28,1805,5,5.9023,1,1.2685,39,11,2,0,F M S,Evian Thonon Gaillard,5,5.9023,7.8418,1.412,2014
4738,Yeni N&#039;Gbakoto,30,1880,5,5.6686,1,1.1845,53,24,2,1,F M S,Metz,1,2.6284,3.8233,1.9161,2014
4758,Alexy Bosetti,27,1219,5,3.8665,1,1.2063,31,14,3,0,F M S,Nice,5,3.8665,6.3853,2.0034,2014
668,Idrissa Gueye,32,2734,4,1.9814,2,1.3284,35,30,4,0,M S,Lille,4,1.9814,8.7345,7.0123,2014
961,Jordan Amavi,36,3235,4,1.3705,0,3.3653,17,32,11,0,D,Nice,4,1.3705,6.2292,3.7722,2014
2998,Yohan Mollo,23,1146,4,1.929,1,2.0262,27,34,4,0,F M S,Saint-Etienne,4,1.929,3.9671,1.6788,2014
3208,Óscar Trejo,31,2135,4,2.4996,3,2.5995,31,27,4,0,M S,Toulouse,4,2.4996,6.5117,2.8746,2014
