Positions,Âge,Valeur marchande (millions),Valeur marchande moyenne (millions),Years,Crew
Total,"24,28","331,03","8,49",2019,as monaco
Gardien,"27,00","14,80","4,93",2020,as monaco
Défense,"22,27","112,55","10,23",2020,as monaco
Milieu de terrain,"22,20","118,00","11,80",2020,as monaco
Attaquant,"23,33","125,00","13,89",2020,as monaco
Total,"22,97","370,35","11,22",2020,as monaco
Gardien,"27,67","4,65","1,55",2014,losc lille
Défense,"24,60","25,25","2,53",2014,losc lille
Milieu de terrain,"25,13","18,00","2,25",2014,losc lille
Attaquant,"22,20","34,75","3,48",2014,losc lille
Total,"24,26","82,65","2,67",2014,losc lille
Gardien,"26,25","3,40",850 K €,2015,losc lille
Défense,"25,33","14,75","1,64",2015,losc lille
Milieu de terrain,"25,11","12,55","1,39",2015,losc lille
Attaquant,"22,83","40,10","3,34",2015,losc lille
Total,"24,50","70,80","2,08",2015,losc lille
Gardien,"24,67","1,95",650 K €,2016,losc lille
Défense,"24,29","21,25","1,52",2016,losc lille
Milieu de terrain,"23,29","22,20","1,59",2016,losc lille
Attaquant,"23,07","38,65","2,58",2016,losc lille
Total,"23,61","84,05","1,83",2016,losc lille
Gardien,"20,33","4,95","1,65",2017,losc lille
Défense,"21,10","18,80","1,88",2017,losc lille
Milieu de terrain,"21,27","38,00","3,45",2017,losc lille
Attaquant,"20,88","35,00","4,38",2017,losc lille
Total,"21,03","96,75","3,02",2017,losc lille
Gardien,"21,33","18,50","6,17",2018,losc lille
Défense,"23,82","60,60","5,51",2018,losc lille
Milieu de terrain,"21,13","49,45","6,18",2018,losc lille
Attaquant,"23,00","139,00","13,90",2018,losc lille
Total,"22,66","267,55","8,36",2018,losc lille
Gardien,"23,50","20,70","10,35",2019,losc lille
Défense,"23,80","57,88","5,79",2019,losc lille
Milieu de terrain,"23,00","62,10","7,76",2019,losc lille
Attaquant,"21,36","107,10","9,74",2019,losc lille
Total,"22,71","247,78","7,99",2019,losc lille
Gardien,"25,33","26,00","8,67",2020,losc lille
Défense,"23,90","75,20","7,52",2020,losc lille
Milieu de terrain,"21,00","82,65","10,33",2020,losc lille
Attaquant,"21,82","139,35","12,67",2020,losc lille
Total,"22,59","323,20","10,10",2020,losc lille
Gardien,"23,00","10,75","3,58",2014,olympique marseille
Défense,"22,00","34,65","3,15",2014,olympique marseille
Milieu de terrain,"23,22","26,10","2,90",2014,olympique marseille
Attaquant,"21,45","68,20","6,20",2014,olympique marseille
Total,"22,24","139,70","4,11",2014,olympique marseille
Gardien,"27,00","10,50","3,50",2015,olympique marseille
Défense,"22,13","41,50","2,77",2015,olympique marseille
Milieu de terrain,"24,40","33,45","3,35",2015,olympique marseille
